epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
64,1.257,0.684,0.038725570449953305,61.57,81.84,0:03:14.581167,0:00:19.295119,yes,no
65,1.250,0.637,0.03839566987447492,61.96,83.43,0:03:14.722641,0:00:19.273267,yes,no
66,1.256,0.549,0.03806246411789873,61.70,85.26,0:03:14.742317,0:00:19.299036,yes,no
67,1.256,0.540,0.037726035393759294,61.58,84.62,0:03:14.836849,0:00:19.304713,yes,no
68,1.260,0.643,0.0373864667108102,61.42,84.19,0:03:14.798418,0:00:19.288067,yes,no
69,1.254,0.552,0.03704384185254289,61.64,86.36,0:03:14.730423,0:00:19.461755,yes,no
70,1.261,0.638,0.03669824535651435,61.46,82.55,0:03:14.694577,0:00:19.297198,yes,no
71,1.259,0.659,0.03634976249348868,61.45,82.04,0:03:14.655933,0:00:19.301739,yes,no
72,1.256,0.571,0.03599847924639789,61.59,83.79,0:03:14.695046,0:00:19.295924,yes,no
73,1.239,0.596,0.03564448228912683,62.40,85.86,0:03:14.821096,0:00:19.344914,yes,no
74,1.235,0.617,0.03528785896512774,62.39,84.61,0:03:14.730740,0:00:19.272688,yes,no
75,1.253,0.537,0.03492869726586953,61.62,86.89,0:03:14.642497,0:00:19.433511,yes,no
76,1.228,0.566,0.03456708580912726,62.72,85.63,0:03:14.750679,0:00:19.305075,yes,no
77,1.247,0.618,0.03420311381711697,62.04,82.30,0:03:14.761663,0:00:19.278483,yes,no
78,1.226,0.591,0.03383687109448145,62.58,83.57,0:03:14.396241,0:00:19.277962,yes,no
79,1.246,0.557,0.03346844800613231,61.95,86.32,0:03:14.431128,0:00:19.277376,yes,no
80,1.254,0.633,0.03309793545495376,61.63,83.53,0:03:14.491667,0:00:19.275194,yes,no
81,1.228,0.615,0.03272542485937371,62.60,84.35,0:03:14.451467,0:00:19.273091,yes,no
82,1.245,0.552,0.03235100813080762,61.98,87.13,0:03:14.708478,0:00:19.466246,yes,no
83,1.221,0.593,0.03197477765098076,62.89,84.90,0:03:14.738833,0:00:19.291881,yes,no
84,1.233,0.595,0.03159682624913434,62.45,85.75,0:03:14.655539,0:00:19.299654,yes,no
85,1.228,0.589,0.031217247179121384,62.63,85.41,0:03:14.547182,0:00:19.276275,yes,no
86,1.214,0.602,0.03083613409639766,63.33,84.44,0:03:14.471355,0:00:19.275010,yes,no
87,1.218,0.549,0.03045358103491359,63.00,85.48,0:03:14.397702,0:00:19.272568,yes,no
88,1.233,0.543,0.03006968238391284,62.36,87.02,0:03:14.428062,0:00:19.273712,yes,no
89,1.224,0.554,0.029684532864643145,62.66,86.20,0:03:14.449785,0:00:19.280848,yes,no
90,1.228,0.492,0.02929822750698526,62.70,87.66,0:03:14.733026,0:00:19.430937,yes,no
91,1.227,0.557,0.028910861626005795,62.56,88.29,0:03:14.618124,0:00:19.447094,yes,no
92,1.204,0.593,0.028522530798439593,63.37,86.47,0:03:14.835124,0:00:19.282692,yes,no
93,1.233,0.644,0.028133330839107632,62.30,84.24,0:03:14.796127,0:00:19.295043,yes,no
