epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.024,1.543,0.05,28.42,45.66,0:03:13.212678,0:00:19.166251,yes,no
2,1.747,1.245,0.04999691581204152,40.40,55.33,0:03:13.054377,0:00:19.178717,yes,no
3,1.635,1.058,0.04998766400914329,45.66,62.31,0:03:13.032935,0:00:19.174844,yes,no
4,1.543,1.003,0.049972246874049255,49.93,66.20,0:03:12.862433,0:00:19.166612,yes,no
5,1.490,0.956,0.049950668210706796,52.31,67.42,0:03:12.912904,0:00:19.185498,yes,no
6,1.455,0.921,0.04992293334332821,53.70,69.26,0:03:12.803081,0:00:19.162940,yes,no
7,1.441,0.772,0.04988904911507701,54.25,74.60,0:03:12.918403,0:00:19.170881,yes,no
8,1.420,0.759,0.049849023886379504,55.18,78.13,0:03:13.052069,0:00:19.194700,yes,no
9,1.418,0.955,0.04980286753286196,55.47,68.34,0:03:13.121106,0:00:19.133477,yes,no
10,1.405,0.824,0.049750591442913945,55.89,73.82,0:03:13.079906,0:00:19.229276,yes,no
11,1.386,0.884,0.049692208514878454,56.77,71.72,0:03:12.848194,0:00:19.123806,yes,no
12,1.364,0.711,0.049627733153869355,57.66,78.67,0:03:12.791929,0:00:19.173791,yes,no
13,1.373,0.893,0.049557181268217225,57.13,73.53,0:03:12.818160,0:00:19.121473,yes,no
14,1.352,0.778,0.04948057026554415,58.13,76.43,0:03:12.925579,0:00:19.094419,yes,no
15,1.323,0.676,0.04939791904846869,59.02,80.28,0:03:12.679851,0:00:19.158415,yes,no
16,1.348,0.689,0.04930924800994192,58.05,79.97,0:03:13.093915,0:00:19.116098,yes,no
17,1.348,0.774,0.049214579028215785,58.00,77.53,0:03:13.033024,0:00:19.130293,yes,no
18,1.348,0.714,0.04911393546144496,58.02,78.52,0:03:13.045830,0:00:19.100145,yes,no
19,1.335,0.677,0.049007342141923586,58.57,79.98,0:03:13.036778,0:00:19.097904,yes,no
20,1.313,0.687,0.04889482536995826,59.51,79.96,0:03:12.879420,0:00:19.116629,yes,no
21,1.304,0.744,0.04877641290737885,59.73,76.52,0:03:12.962163,0:00:19.118399,yes,no
22,1.325,0.749,0.04865213397068864,59.11,76.73,0:03:12.723243,0:00:19.099326,yes,no
23,1.313,0.766,0.04852201922385564,59.51,76.35,0:03:12.893964,0:00:19.108949,yes,no
24,1.311,0.632,0.04838610077074669,59.59,81.59,0:03:12.984146,0:00:19.188572,yes,no
25,1.302,0.585,0.04824441214720629,59.75,82.69,0:03:13.018579,0:00:19.171502,yes,no
26,1.309,0.648,0.048096988312782175,59.64,82.84,0:03:13.006343,0:00:19.177072,yes,no
27,1.307,0.657,0.04794386564209953,59.67,81.07,0:03:12.865639,0:00:19.203962,yes,no
28,1.301,0.618,0.04778508191588613,59.97,83.71,0:03:12.864225,0:00:19.163913,yes,no
29,1.312,0.664,0.04762067631165049,59.34,80.13,0:03:12.757084,0:00:19.099427,yes,no
30,1.300,0.794,0.047450689394015394,59.91,75.68,0:03:12.738292,0:00:19.099954,yes,no
31,1.312,0.624,0.0472751631047092,59.49,81.69,0:03:12.986599,0:00:19.127300,yes,no
32,1.287,0.609,0.04709414075221735,60.38,82.57,0:03:12.945906,0:00:19.111433,yes,no
33,1.297,0.729,0.046907667001096595,60.06,79.06,0:03:13.173773,0:00:19.115497,yes,no
34,1.298,0.632,0.04671578786095479,59.98,82.24,0:03:12.999237,0:00:19.132336,yes,no
35,1.282,0.702,0.0465185506750986,60.52,79.77,0:03:12.937351,0:00:19.102302,yes,no
36,1.266,0.645,0.04631600410885232,61.02,82.67,0:03:13.072653,0:00:19.123301,yes,no
37,1.299,0.656,0.04610819813755039,60.12,82.07,0:03:12.999729,0:00:19.117360,yes,no
38,1.281,0.720,0.045895184034206775,60.66,77.71,0:03:12.961056,0:00:19.101703,yes,no
39,1.289,0.686,0.04567701435686406,60.20,81.28,0:03:12.730289,0:00:19.095693,yes,no
40,1.272,0.593,0.0454537429356256,60.85,84.00,0:03:12.718985,0:00:19.161528,yes,no
41,1.293,0.606,0.045225424859373704,60.33,84.30,0:03:12.879774,0:00:19.170803,yes,no
42,1.273,0.673,0.04499211646217729,60.91,80.42,0:03:13.027486,0:00:19.114937,yes,no
43,1.279,0.641,0.044753875309392274,60.85,83.23,0:03:12.989389,0:00:19.101937,yes,no
44,1.291,0.608,0.044510760183458266,60.38,83.17,0:03:12.891090,0:00:19.169353,yes,no
45,1.307,0.662,0.044262831069394756,59.33,81.16,0:03:12.773350,0:00:19.096747,yes,no
46,1.266,0.590,0.0440101491400008,61.03,84.09,0:03:12.770432,0:00:19.098726,yes,no
47,1.271,0.657,0.043752776740761515,61.04,80.79,0:03:12.789121,0:00:19.109414,yes,no
48,1.287,0.582,0.04349077737446526,60.41,83.72,0:03:12.734396,0:00:19.102652,yes,no
49,1.269,0.609,0.043224215685535305,60.96,83.13,0:03:12.708324,0:00:19.118972,yes,no
50,1.276,0.678,0.04295315744407974,60.53,79.91,0:03:13.094557,0:00:19.123976,yes,no
51,1.283,0.543,0.0426776695296637,60.48,83.71,0:03:12.946939,0:00:19.114413,yes,no
52,1.273,0.548,0.04239781991480787,60.84,85.78,0:03:12.908954,0:00:19.161111,yes,no
53,1.264,0.569,0.04211367764821723,61.32,85.08,0:03:12.935223,0:00:19.098036,yes,no
54,1.261,0.626,0.04182531283774434,61.27,82.92,0:03:12.709257,0:00:19.101321,yes,no
55,1.266,0.585,0.041532796633091305,61.29,85.07,0:03:12.707538,0:00:19.102072,yes,no
