epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used
1,2.035,1.613,0.05,26.67,41.70,0:01:37.431801,0:00:06.559359,yes
2,1.829,1.381,0.04999691581204152,36.39,51.78,0:01:37.273639,0:00:06.554804,yes
3,1.698,1.294,0.04998766400914329,42.86,53.28,0:01:37.684652,0:00:06.529416,yes
4,1.604,1.073,0.049972246874049255,47.36,65.04,0:01:37.306164,0:00:06.634571,yes
5,1.541,0.836,0.049950668210706796,50.21,73.71,0:01:37.055438,0:00:06.525234,yes
6,1.486,0.884,0.04992293334332821,52.45,71.82,0:01:37.323176,0:00:06.230478,yes
7,1.462,0.867,0.04988904911507701,53.67,72.76,0:01:37.826781,0:00:06.250552,yes
8,1.404,0.740,0.049849023886379504,55.68,77.79,0:01:37.277671,0:00:06.534420,yes
9,1.405,0.784,0.04980286753286196,56.13,75.78,0:01:38.069980,0:00:06.278860,yes
10,1.401,0.794,0.049750591442913945,56.36,77.27,0:01:38.256223,0:00:06.277205,yes
11,1.397,0.731,0.049692208514878454,55.96,77.73,0:01:38.152337,0:00:06.333164,yes
12,1.381,0.736,0.049627733153869355,56.78,78.68,0:01:38.105678,0:00:06.550771,yes
13,1.377,0.795,0.049557181268217225,57.14,76.44,0:01:37.130731,0:00:06.260803,yes
14,1.354,0.724,0.04948057026554415,58.05,78.81,0:01:37.228978,0:00:06.515064,yes
15,1.338,0.709,0.04939791904846869,58.49,79.65,0:01:37.077335,0:00:06.543953,yes
16,1.348,0.764,0.04930924800994192,58.30,76.99,0:01:37.257546,0:00:06.257171,yes
17,1.318,0.730,0.049214579028215785,59.22,77.97,0:01:37.351687,0:00:06.255218,yes
18,1.330,0.729,0.04911393546144496,58.85,79.01,0:01:37.380363,0:00:06.283477,yes
19,1.330,0.734,0.049007342141923586,59.03,79.65,0:01:37.181121,0:00:06.228366,yes
20,1.327,0.687,0.04889482536995826,59.28,80.88,0:01:37.301970,0:00:06.543971,yes
21,1.343,0.680,0.04877641290737885,58.38,81.58,0:01:37.311300,0:00:06.542652,yes
22,1.334,0.695,0.04865213397068864,58.73,81.69,0:01:37.292036,0:00:06.541222,yes
23,1.305,0.673,0.04852201922385564,59.92,81.55,0:01:37.070686,0:00:06.229099,yes
24,1.319,0.726,0.04838610077074669,59.42,80.12,0:01:37.711221,0:00:06.258951,yes
25,1.310,0.714,0.04824441214720629,59.79,80.61,0:01:37.174617,0:00:06.234156,yes
26,1.291,0.775,0.048096988312782175,60.71,78.40,0:01:37.022096,0:00:06.227969,yes
27,1.311,0.686,0.04794386564209953,59.59,82.84,0:01:37.290796,0:00:06.546469,yes
28,1.280,0.684,0.04778508191588613,60.91,80.84,0:01:37.242246,0:00:06.247209,yes
29,1.287,0.602,0.04762067631165049,60.81,83.02,0:01:37.233112,0:00:06.540272,yes
30,1.309,0.684,0.047450689394015394,59.96,82.77,0:01:37.286852,0:00:06.253279,yes
31,1.306,0.705,0.0472751631047092,59.97,80.80,0:01:37.243774,0:00:06.232003,yes
32,1.278,0.610,0.04709414075221735,61.15,84.01,0:01:36.964849,0:00:06.522241,yes
33,1.311,0.609,0.046907667001096595,59.91,82.48,0:01:37.397294,0:00:06.252999,yes
34,1.297,0.615,0.04671578786095479,60.35,83.09,0:01:37.243393,0:00:06.257809,yes
35,1.298,0.724,0.0465185506750986,60.42,78.57,0:01:37.292415,0:00:06.253322,yes
36,1.286,0.583,0.04631600410885232,60.76,84.85,0:01:37.386209,0:00:06.561843,yes
37,1.273,0.696,0.04610819813755039,61.02,81.00,0:01:37.285738,0:00:06.239369,yes
38,1.287,0.620,0.045895184034206775,60.34,83.63,0:01:37.034939,0:00:06.235307,yes
39,1.272,0.690,0.04567701435686406,61.12,81.44,0:01:36.973727,0:00:06.230974,yes
40,1.265,0.695,0.0454537429356256,61.66,80.76,0:01:36.965654,0:00:06.232152,yes
41,1.261,0.810,0.045225424859373704,61.87,75.64,0:01:37.320663,0:00:06.336887,yes
42,1.292,0.609,0.04499211646217729,60.71,84.90,0:01:37.354200,0:00:06.539200,yes
43,1.269,0.731,0.044753875309392274,61.38,79.48,0:01:37.096038,0:00:06.230395,yes
44,1.275,0.653,0.044510760183458266,61.00,82.90,0:01:37.240558,0:00:06.249847,yes
45,1.258,0.572,0.044262831069394756,61.88,85.81,0:01:37.136396,0:00:06.518289,yes
46,1.278,0.584,0.0440101491400008,60.99,84.06,0:01:37.132062,0:00:06.245998,yes
47,1.250,0.625,0.043752776740761515,61.97,81.57,0:01:37.227597,0:00:06.250202,yes
48,1.264,0.646,0.04349077737446526,61.69,82.87,0:01:37.121776,0:00:06.237237,yes
49,1.276,0.636,0.043224215685535305,60.94,84.61,0:01:38.927486,0:00:06.363091,yes
50,1.269,0.616,0.04295315744407974,61.51,84.94,0:01:41.837238,0:00:06.311868,yes
51,1.243,0.618,0.0426776695296637,62.46,84.22,0:02:33.839137,0:00:09.334583,yes
52,1.270,0.608,0.04239781991480787,61.32,82.99,0:02:36.071855,0:00:08.403935,yes
53,1.247,0.628,0.04211367764821723,62.22,84.13,0:02:36.558766,0:00:10.316244,yes
54,1.241,0.609,0.04182531283774434,62.33,85.14,0:02:36.606038,0:00:10.296500,yes
55,1.264,0.542,0.041532796633091305,61.51,85.59,0:02:34.240594,0:00:10.276173,yes
56,1.266,0.635,0.0412362012082546,61.27,83.28,0:02:33.598649,0:00:10.008963,yes
57,1.279,0.597,0.04093559974371725,60.82,84.02,0:02:32.985407,0:00:10.015601,yes
58,1.238,0.645,0.04063106640839264,62.46,83.32,0:02:33.059334,0:00:10.002977,yes
59,1.238,0.628,0.04032267634132442,62.76,83.54,0:02:32.660114,0:00:10.048915,yes
60,1.242,0.573,0.040010505633147106,62.43,84.76,0:02:33.105224,0:00:10.021393,yes
61,1.257,0.607,0.03969463130731184,61.72,84.00,0:02:33.188523,0:00:10.087767,yes
62,1.230,0.643,0.03937513130108197,63.03,83.88,0:02:33.173104,0:00:10.094358,yes
63,1.253,0.533,0.03905208444630328,62.05,86.97,0:02:33.317127,0:00:10.531755,yes
64,1.229,0.576,0.038725570449953305,62.76,84.83,0:02:33.089068,0:00:10.200008,yes
65,1.259,0.565,0.03839566987447492,61.43,86.61,0:02:33.691300,0:00:10.172151,yes
66,1.221,0.557,0.03806246411789873,63.03,85.63,0:02:33.317109,0:00:10.010965,yes
67,1.242,0.568,0.037726035393759294,62.15,85.20,0:02:33.698931,0:00:09.969485,yes
68,1.255,0.567,0.0373864667108102,61.79,85.47,0:02:33.159055,0:00:09.977623,yes
69,1.228,0.543,0.03704384185254289,62.82,86.22,0:02:33.164410,0:00:09.960453,yes
70,1.248,0.624,0.03669824535651435,62.15,82.42,0:02:33.207749,0:00:10.101824,yes
71,1.249,0.651,0.03634976249348868,62.21,82.89,0:02:33.038578,0:00:10.166236,yes
72,1.209,0.573,0.03599847924639789,63.39,85.34,0:02:33.172958,0:00:09.978296,yes
73,1.232,0.562,0.03564448228912683,62.71,86.33,0:02:32.981335,0:00:09.992866,yes
74,1.223,0.583,0.03528785896512774,63.21,85.10,0:02:32.906180,0:00:09.992495,yes
75,1.219,0.488,0.03492869726586953,62.92,86.70,0:02:33.765188,0:00:09.707020,yes
76,1.212,0.554,0.03456708580912726,63.18,87.21,0:02:33.824637,0:00:09.483817,yes
77,1.233,0.607,0.03420311381711697,62.90,85.17,0:02:33.234167,0:00:09.852403,yes
78,1.204,0.530,0.03383687109448145,63.75,86.46,0:02:33.958152,0:00:10.006567,yes
79,1.212,0.532,0.03346844800613231,63.26,87.13,0:02:33.457795,0:00:10.146273,yes
80,1.238,0.605,0.03309793545495376,62.40,86.32,0:02:33.472188,0:00:10.005540,yes
81,1.198,0.552,0.03272542485937371,63.75,84.09,0:02:33.362918,0:00:09.969494,yes
82,1.220,0.541,0.03235100813080762,62.85,88.15,0:02:33.255738,0:00:10.373990,yes
83,1.200,0.544,0.03197477765098076,63.91,85.52,0:02:33.092989,0:00:10.129329,yes
84,1.211,0.568,0.03159682624913434,63.24,85.29,0:02:34.383560,0:00:09.980894,yes
85,1.225,0.539,0.031217247179121384,62.74,88.44,0:02:33.309792,0:00:10.406874,yes
86,1.189,0.538,0.03083613409639766,64.21,86.75,0:02:34.050716,0:00:10.277714,yes
87,1.185,0.508,0.03045358103491359,64.54,86.81,0:02:34.686903,0:00:10.297753,yes
88,1.205,0.590,0.03006968238391284,63.95,86.81,0:02:34.101899,0:00:09.979146,yes
89,1.197,0.540,0.029684532864643145,63.68,86.16,0:02:33.403971,0:00:10.270019,yes
90,1.204,0.583,0.02929822750698526,63.70,86.31,0:02:33.180166,0:00:10.204663,yes
91,1.204,0.526,0.028910861626005795,63.74,87.04,0:02:32.696743,0:00:09.983535,yes
92,1.168,0.533,0.028522530798439593,65.12,86.85,0:02:33.529115,0:00:10.197057,yes
93,1.180,0.526,0.028133330839107632,64.55,86.98,0:02:33.510450,0:00:10.137666,yes
94,1.187,0.562,0.027743357777276153,64.29,85.46,0:02:33.220239,0:00:10.024811,yes
95,1.198,0.525,0.027352707832962876,63.96,87.10,0:02:33.582602,0:00:10.021190,yes
96,1.176,0.570,0.026961477393196143,64.78,86.57,0:02:33.681211,0:00:09.984408,yes
97,1.160,0.541,0.026569762988232853,65.31,85.97,0:02:33.694396,0:00:10.051572,yes
98,1.186,0.490,0.02617766126774108,64.43,87.44,0:02:33.449288,0:00:09.987448,yes
99,1.185,0.574,0.025785268976953223,64.44,87.18,0:02:33.259757,0:00:09.785187,yes
100,1.159,0.488,0.02539268293279553,65.23,88.93,0:02:33.883889,0:00:09.620105,yes
101,1.189,0.496,0.025000000000000012,64.11,87.58,0:02:33.398577,0:00:09.691195,yes
102,1.200,0.566,0.0246073170672045,63.71,87.00,0:02:33.139223,0:00:10.228421,yes
103,1.161,0.463,0.024214731023046804,65.11,89.34,0:02:32.961536,0:00:10.282808,yes
104,1.173,0.503,0.023822338732258946,64.61,87.61,0:02:33.413542,0:00:09.990849,yes
105,1.176,0.492,0.023430237011767177,64.65,88.52,0:02:33.447479,0:00:10.196667,yes
106,1.155,0.533,0.02303852260680389,65.42,86.32,0:02:33.280162,0:00:10.242893,yes
107,1.170,0.540,0.022647292167037154,64.60,87.82,0:02:32.989598,0:00:10.016536,yes
108,1.147,0.524,0.02225664222272388,65.67,87.83,0:02:33.307529,0:00:09.998874,yes
109,1.170,0.549,0.02186666916089241,64.49,85.81,0:02:33.343112,0:00:10.071332,yes
110,1.156,0.510,0.02147746920156045,65.44,88.11,0:02:33.095611,0:00:10.193877,yes
111,1.143,0.463,0.021089138373994242,65.72,89.05,0:02:33.416386,0:00:10.026087,yes
112,1.146,0.455,0.02070177249301477,65.42,89.97,0:02:33.724889,0:00:10.517064,yes
113,1.135,0.437,0.0203154671353569,66.03,89.36,0:02:33.222589,0:00:10.061748,yes
114,1.144,0.495,0.019930317616087205,65.56,88.03,0:02:32.939527,0:00:10.187136,yes
115,1.154,0.485,0.019546418965086458,65.19,89.39,0:02:33.206183,0:00:09.974642,yes
116,1.149,0.424,0.019163865903602376,65.58,89.99,0:02:33.199620,0:00:10.515845,yes
117,1.145,0.438,0.018782752820878643,65.65,90.89,0:02:31.107906,0:00:10.285946,yes
118,1.149,0.496,0.01840317375086569,65.38,89.28,0:02:33.057058,0:00:10.184412,yes
119,1.128,0.479,0.018025222349019283,66.19,88.45,0:02:33.643796,0:00:10.217173,yes
120,1.138,0.444,0.017648991869192415,65.86,89.62,0:02:33.221028,0:00:10.195813,yes
121,1.131,0.434,0.017274575140626334,65.95,90.37,0:02:33.453942,0:00:10.210765,yes
122,1.096,0.443,0.016902064545046273,67.34,90.03,0:02:34.072486,0:00:10.226736,yes
123,1.108,0.392,0.016531551993867726,66.77,90.63,0:02:33.301408,0:00:10.238262,yes
124,1.130,0.453,0.016163128905518586,66.30,90.77,0:02:33.312238,0:00:10.198730,yes
125,1.089,0.434,0.015796886182883066,67.73,89.50,0:02:32.991312,0:00:09.874550,yes
126,1.126,0.482,0.015432914190872771,66.10,89.72,0:02:33.536690,0:00:09.326710,yes
127,1.091,0.418,0.01507130273413049,67.41,90.55,0:02:33.691813,0:00:09.671598,yes
128,1.109,0.409,0.01471214103487229,66.53,90.55,0:02:33.834869,0:00:10.004855,yes
129,1.118,0.432,0.014355517710873194,66.40,90.41,0:02:33.087212,0:00:10.027161,yes
130,1.122,0.384,0.01400152075360213,66.23,90.87,0:02:33.609117,0:00:10.226121,yes
131,1.101,0.380,0.01365023750651134,67.04,91.28,0:02:33.255710,0:00:10.452686,yes
132,1.083,0.420,0.013301754643485679,67.65,91.73,0:02:33.224153,0:00:10.509005,yes
133,1.101,0.405,0.012956158147457122,66.84,91.45,0:02:33.386568,0:00:09.981389,yes
134,1.103,0.395,0.012613533289189816,66.66,92.04,0:02:33.029869,0:00:10.443842,yes
135,1.087,0.397,0.012273964606240723,67.39,91.36,0:02:32.923012,0:00:10.157991,yes
136,1.077,0.375,0.011937535882101285,67.87,92.35,0:02:33.523249,0:00:10.378403,yes
137,1.078,0.377,0.011604330125525083,67.84,91.79,0:02:32.997926,0:00:10.181021,yes
138,1.066,0.375,0.011274429550046707,68.14,92.25,0:02:33.520040,0:00:09.982262,yes
139,1.093,0.393,0.010947915553696737,67.06,91.49,0:02:33.776230,0:00:10.154635,yes
140,1.074,0.413,0.01062486869891804,67.44,92.14,0:02:33.156866,0:00:09.987400,yes
141,1.043,0.379,0.01030536869268818,68.98,91.98,0:02:33.287200,0:00:09.980171,yes
142,1.068,0.393,0.009989494366852907,67.88,91.78,0:02:33.512412,0:00:10.204395,yes
143,1.070,0.368,0.00967732365867559,67.85,92.11,0:02:33.279644,0:00:09.986236,yes
