epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,2.025,1.844,0.05,24.85,36.36,0:03:50.556139,0:00:06.596020
2,1.727,1.451,0.04999691581204152,36.82,48.31,0:03:51.068947,0:00:06.668414
3,1.628,1.419,0.04998766400914329,41.59,50.94,0:03:51.606555,0:00:06.609379
