epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used
66,1.252,0.535,0.03806246411789873,61.96,85.97,0:01:37.281161,0:00:06.239485,yes
67,1.250,0.666,0.037726035393759294,62.07,81.53,0:01:37.422875,0:00:06.265128,yes
68,1.256,0.573,0.0373864667108102,61.88,85.85,0:01:37.492045,0:00:06.242873,yes
69,1.249,0.652,0.03704384185254289,62.13,81.51,0:01:37.426336,0:00:06.286605,yes
70,1.242,0.556,0.03669824535651435,62.13,86.19,0:01:37.471047,0:00:06.253044,yes
71,1.248,0.654,0.03634976249348868,61.89,81.38,0:01:37.402980,0:00:06.253117,yes
72,1.243,0.569,0.03599847924639789,62.10,85.95,0:01:37.412021,0:00:06.273276,yes
73,1.246,0.563,0.03564448228912683,62.07,86.68,0:01:37.339424,0:00:06.245367,yes
74,1.216,0.588,0.03528785896512774,63.23,84.22,0:01:37.270542,0:00:06.267905,yes
75,1.229,0.536,0.03492869726586953,62.61,86.76,0:01:37.474517,0:00:06.264110,yes
76,1.243,0.570,0.03456708580912726,62.14,85.69,0:01:37.461711,0:00:06.269091,yes
77,1.223,0.590,0.03420311381711697,62.89,85.59,0:01:37.468238,0:00:06.278633,yes
78,1.221,0.541,0.03383687109448145,62.97,85.53,0:01:37.453768,0:00:06.268011,yes
79,1.206,0.530,0.03346844800613231,63.74,86.64,0:01:37.233318,0:00:06.246071,yes
80,1.191,0.558,0.03309793545495376,64.01,86.28,0:01:37.343965,0:00:06.267966,yes
81,1.213,0.502,0.03272542485937371,63.16,88.04,0:01:37.916722,0:00:06.542096,yes
82,1.214,0.494,0.03235100813080762,63.18,88.01,0:01:37.245603,0:00:06.240461,yes
83,1.216,0.616,0.03197477765098076,63.14,86.78,0:01:37.178385,0:00:06.245562,yes
84,1.229,0.490,0.03159682624913434,62.43,87.01,0:01:37.278207,0:00:06.260843,yes
85,1.205,0.570,0.031217247179121384,63.56,85.84,0:01:37.537692,0:00:06.266530,yes
86,1.172,0.583,0.03083613409639766,64.86,85.42,0:01:37.531061,0:00:06.253118,yes
87,1.195,0.539,0.03045358103491359,64.04,87.64,0:01:37.388575,0:00:06.253539,yes
88,1.185,0.605,0.03006968238391284,64.67,83.74,0:01:37.474847,0:00:06.290506,yes
89,1.182,0.511,0.029684532864643145,64.35,87.16,0:01:37.609668,0:00:06.269401,yes
90,1.195,0.503,0.02929822750698526,63.91,87.79,0:01:37.489573,0:00:06.240672,yes
91,1.225,0.500,0.028910861626005795,62.98,88.50,0:01:37.196469,0:00:06.537271,yes
92,1.176,0.509,0.028522530798439593,64.85,88.07,0:01:37.379772,0:00:06.266982,yes
93,1.193,0.504,0.028133330839107632,64.21,86.80,0:01:37.503814,0:00:06.273484,yes
94,1.187,0.530,0.027743357777276153,63.91,86.99,0:01:37.472117,0:00:06.266096,yes
95,1.182,0.487,0.027352707832962876,64.50,87.93,0:01:37.258946,0:00:06.252156,yes
96,1.179,0.495,0.026961477393196143,64.70,87.74,0:01:37.211316,0:00:06.244024,yes
97,1.187,0.476,0.026569762988232853,64.15,89.31,0:01:37.256872,0:00:06.555633,yes
98,1.186,0.534,0.02617766126774108,64.10,87.47,0:01:38.016188,0:00:06.252236,yes
99,1.202,0.592,0.025785268976953223,63.46,84.00,0:01:37.208220,0:00:06.248742,yes
100,1.180,0.565,0.02539268293279553,64.49,83.87,0:01:37.203598,0:00:06.246634,yes
101,1.171,0.459,0.025000000000000012,64.37,89.42,0:01:37.481954,0:00:06.553282,yes
102,1.174,0.518,0.0246073170672045,64.79,88.43,0:01:37.491639,0:00:06.265380,yes
103,1.166,0.501,0.024214731023046804,64.86,88.11,0:01:37.594376,0:00:06.268160,yes
104,1.180,0.484,0.023822338732258946,64.33,89.18,0:01:37.485788,0:00:06.270851,yes
105,1.175,0.482,0.023430237011767177,64.91,88.57,0:01:37.915428,0:00:06.549613,yes
106,1.155,0.467,0.02303852260680389,65.46,89.29,0:01:38.140506,0:00:06.251030,yes
107,1.164,0.433,0.022647292167037154,64.87,89.35,0:01:37.418770,0:00:06.262648,yes
108,1.143,0.503,0.02225664222272388,65.83,89.03,0:01:37.456115,0:00:06.261379,yes
109,1.154,0.508,0.02186666916089241,65.29,88.19,0:01:37.428755,0:00:06.265464,yes
110,1.145,0.462,0.02147746920156045,65.75,89.92,0:01:37.436566,0:00:06.560271,yes
111,1.176,0.444,0.021089138373994242,64.42,89.35,0:01:37.436462,0:00:06.263206,yes
112,1.152,0.464,0.02070177249301477,65.29,88.14,0:01:37.418786,0:00:06.260155,yes
113,1.144,0.534,0.0203154671353569,65.48,86.94,0:01:37.415328,0:00:06.262725,yes
114,1.137,0.448,0.019930317616087205,65.97,89.96,0:01:37.438161,0:00:06.550914,yes
115,1.151,0.457,0.019546418965086458,65.54,89.85,0:01:37.212749,0:00:06.293477,yes
116,1.127,0.461,0.019163865903602376,66.03,89.55,0:01:37.669637,0:00:06.235578,yes
117,1.129,0.470,0.018782752820878643,66.09,88.89,0:01:37.106039,0:00:06.228527,yes
118,1.123,0.422,0.01840317375086569,66.39,89.85,0:01:37.083367,0:00:06.244152,yes
119,1.125,0.491,0.018025222349019283,66.29,89.50,0:01:37.259575,0:00:06.237675,yes
120,1.121,0.504,0.017648991869192415,66.34,89.20,0:01:37.434749,0:00:06.246940,yes
121,1.117,0.450,0.017274575140626334,66.60,90.13,0:01:37.365307,0:00:06.557567,yes
122,1.117,0.464,0.016902064545046273,66.69,89.75,0:01:37.431352,0:00:06.253538,yes
123,1.085,0.450,0.016531551993867726,67.51,90.18,0:01:37.333254,0:00:06.587922,yes
124,1.140,0.416,0.016163128905518586,65.57,90.75,0:01:37.499330,0:00:06.563031,yes
125,1.112,0.461,0.015796886182883066,66.78,88.88,0:01:37.432569,0:00:06.270989,yes
126,1.090,0.407,0.015432914190872771,67.48,89.14,0:01:37.430775,0:00:06.270048,yes
127,1.103,0.428,0.01507130273413049,67.37,90.57,0:01:37.430779,0:00:06.269915,yes
128,1.113,0.437,0.01471214103487229,66.87,89.58,0:01:37.251494,0:00:06.246501,yes
129,1.094,0.421,0.014355517710873194,67.30,90.99,0:01:37.142521,0:00:06.531847,yes
130,1.096,0.417,0.01400152075360213,67.15,91.60,0:01:37.182129,0:00:06.533174,yes
131,1.104,0.408,0.01365023750651134,66.87,91.04,0:01:37.419894,0:00:06.239348,yes
132,1.100,0.469,0.013301754643485679,67.07,89.45,0:01:37.259344,0:00:06.270244,yes
133,1.091,0.426,0.012956158147457122,67.17,90.32,0:01:38.058687,0:00:06.268381,yes
134,1.111,0.410,0.012613533289189816,66.50,91.20,0:01:37.330135,0:00:06.249077,yes
135,1.083,0.428,0.012273964606240723,67.67,90.77,0:01:37.110918,0:00:06.241410,yes
136,1.048,0.369,0.011937535882101285,68.62,91.83,0:01:37.191739,0:00:06.540814,yes
137,1.081,0.386,0.011604330125525083,67.62,92.05,0:01:37.436326,0:00:06.540603,yes
138,1.072,0.396,0.011274429550046707,68.13,91.74,0:01:37.610193,0:00:06.266657,yes
139,1.069,0.444,0.010947915553696737,67.98,90.18,0:01:37.404979,0:00:06.240180,yes
140,1.053,0.405,0.01062486869891804,68.62,92.16,0:01:37.482972,0:00:06.573358,yes
141,1.059,0.392,0.01030536869268818,68.51,91.32,0:01:37.284529,0:00:06.252004,yes
142,1.061,0.386,0.009989494366852907,68.17,91.74,0:01:37.257112,0:00:06.240439,yes
143,1.066,0.367,0.00967732365867559,67.80,91.52,0:01:37.130025,0:00:06.245456,yes
144,1.044,0.351,0.009368933591607374,68.97,91.68,0:01:37.120397,0:00:06.241756,yes
145,1.054,0.382,0.00906440025628276,68.63,91.67,0:01:37.130696,0:00:06.235754,yes
146,1.058,0.377,0.008763798791745414,68.29,91.58,0:01:37.123609,0:00:06.240112,yes
147,1.025,0.370,0.00846720336690871,69.52,92.33,0:01:37.120087,0:00:06.531908,yes
148,1.026,0.361,0.008174687162255667,69.49,93.09,0:01:37.216761,0:00:06.556704,yes
149,1.045,0.384,0.007886322351782785,68.47,92.40,0:01:37.313965,0:00:06.248582,yes
150,1.038,0.355,0.007602180085192145,68.88,92.77,0:01:37.705769,0:00:06.278942,yes
151,1.052,0.382,0.007322330470336316,68.15,92.52,0:01:37.145703,0:00:06.241645,yes
152,1.047,0.308,0.007046842555920285,68.19,93.59,0:01:37.136907,0:00:06.529763,yes
153,1.016,0.357,0.006775784314464719,69.49,92.73,0:01:37.175799,0:00:06.244761,yes
154,1.005,0.321,0.006509222625534758,69.78,93.46,0:01:37.513720,0:00:06.272706,yes
155,1.031,0.356,0.006247223259238513,68.94,93.33,0:01:37.452012,0:00:06.248492,yes
156,1.006,0.358,0.0059898508599992295,69.98,93.28,0:01:37.439551,0:00:06.262027,yes
157,1.017,0.319,0.005737168930605274,69.48,93.57,0:01:37.472498,0:00:06.242026,yes
158,0.991,0.337,0.005489239816541763,70.20,93.19,0:01:37.376672,0:00:06.283278,yes
159,1.012,0.351,0.005246124690607742,69.61,93.68,0:01:37.284313,0:00:06.526006,yes
160,0.980,0.322,0.005007883537822737,70.68,93.53,0:01:37.380214,0:00:06.264103,yes
161,0.967,0.357,0.004774575140626318,70.90,93.65,0:01:37.409725,0:00:06.264606,yes
162,0.978,0.354,0.00454625706437442,70.73,93.49,0:01:37.464815,0:00:06.272202,yes
163,0.995,0.311,0.004322985643135959,69.94,93.70,0:01:37.133097,0:00:06.521798,yes
164,0.951,0.319,0.0041048159657932504,71.65,93.84,0:01:37.220330,0:00:06.590066,yes
165,0.989,0.323,0.0038918018624496302,70.16,94.01,0:01:37.214303,0:00:06.557113,yes
166,0.948,0.312,0.0036839958911477027,71.76,94.10,0:01:37.348307,0:00:06.554938,yes
167,0.950,0.279,0.0034814493249014076,71.35,94.30,0:01:37.294115,0:00:06.556813,yes
168,0.935,0.302,0.003284212139045219,71.92,94.16,0:01:37.793166,0:00:06.245757,yes
169,0.972,0.320,0.003092332998903412,70.54,94.20,0:01:37.200568,0:00:06.260407,yes
170,0.935,0.305,0.002905859247782665,72.10,94.12,0:01:37.385901,0:00:06.259082,yes
171,0.946,0.316,0.0027248368952908068,71.55,94.36,0:01:37.456369,0:00:06.546451,yes
172,0.928,0.282,0.002549310605984613,72.11,94.40,0:01:37.451953,0:00:06.561853,yes
173,0.940,0.271,0.0023793236883495176,71.35,94.72,0:01:37.640138,0:00:06.562496,yes
174,0.914,0.325,0.002214918084113875,72.52,94.57,0:01:37.515434,0:00:06.265931,yes
175,0.917,0.311,0.0020561343579004786,72.47,94.23,0:01:37.457344,0:00:06.272433,yes
176,0.922,0.292,0.0019030116872178384,71.95,94.61,0:01:37.614045,0:00:06.259082,yes
177,0.915,0.286,0.0017555878527937174,72.08,94.59,0:01:37.434185,0:00:06.264148,yes
178,0.922,0.329,0.0016138992292533167,71.77,94.81,0:01:37.447839,0:00:06.546912,yes
179,0.910,0.271,0.0014779807761443645,72.43,95.13,0:01:37.427812,0:00:06.526053,yes
180,0.914,0.284,0.0013478660293113683,71.83,94.88,0:01:37.167177,0:00:06.246202,yes
181,0.907,0.288,0.0012235870926211624,72.43,94.94,0:01:37.164111,0:00:06.243906,yes
182,0.887,0.299,0.0011051746300417477,73.11,94.94,0:01:37.172448,0:00:06.249126,yes
183,0.902,0.271,0.0009926578580764268,72.57,95.15,0:01:37.187938,0:00:06.556371,yes
184,0.898,0.264,0.0008860645385550515,72.77,95.28,0:01:39.442296,0:00:06.630826,yes
