epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.475,0.001,45.22,62.69,0:01:24.558773,0:00:05.708612
2,0.982,0.0009999383162408303,65.36,71.64,0:01:24.552889,0:00:05.678603
3,0.766,0.0009997532801828658,73.17,77.10,0:01:24.545400,0:00:05.677068
4,0.646,0.0009994449374809851,77.47,80.16,0:01:24.704633,0:00:05.695259
5,0.564,0.0009990133642141358,80.56,81.91,0:01:24.720703,0:00:05.722641
6,0.508,0.000998458666866564,82.43,80.06,0:01:24.659344,0:00:05.548591
7,0.455,0.00099778098230154,84.40,82.80,0:01:24.707600,0:00:05.677497
8,0.415,0.0009969804777275899,85.70,84.49,0:01:25.085334,0:00:05.686774
9,0.389,0.000996057350657239,86.64,85.20,0:01:24.649425,0:00:05.684917
10,0.361,0.0009950118288582787,87.46,85.81,0:01:24.604970,0:00:05.678082
11,0.338,0.0009938441702975688,88.30,86.07,0:01:24.617396,0:00:05.694341
12,0.314,0.000992554663077387,89.20,87.18,0:01:24.524860,0:00:05.673140
13,0.295,0.0009911436253643444,89.77,86.43,0:01:24.655409,0:00:05.514467
14,0.279,0.0009896114053108828,90.21,88.09,0:01:24.581561,0:00:05.694738
15,0.266,0.0009879583809693736,90.79,88.40,0:01:24.595189,0:00:05.698379
16,0.248,0.0009861849601988382,91.26,87.90,0:01:24.526384,0:00:05.528090
17,0.231,0.0009842915805643154,92.02,89.19,0:01:24.609527,0:00:05.693930
18,0.217,0.000982278709228899,92.49,88.89,0:01:24.607394,0:00:05.522674
19,0.209,0.0009801468428384714,92.75,89.37,0:01:24.569347,0:00:05.691415
20,0.196,0.0009778965073991648,93.19,88.62,0:01:24.567410,0:00:05.521326
21,0.191,0.0009755282581475766,93.29,89.04,0:01:24.578720,0:00:05.519888
22,0.179,0.0009730426794137723,93.76,88.94,0:01:24.534481,0:00:05.542648
23,0.173,0.0009704403844771124,93.94,89.98,0:01:24.511150,0:00:05.691957
24,0.158,0.0009677220154149334,94.41,89.87,0:01:24.631654,0:00:05.552974
25,0.153,0.0009648882429441253,94.71,89.68,0:01:24.706812,0:00:05.546115
26,0.146,0.000961939766255643,94.77,89.58,0:01:24.769854,0:00:05.590831
27,0.141,0.0009588773128419901,95.06,87.91,0:01:24.773009,0:00:05.542965
28,0.129,0.0009557016383177221,95.53,90.36,0:01:25.015404,0:00:05.702214
29,0.126,0.0009524135262330093,95.53,90.32,0:01:24.641182,0:00:05.575044
30,0.120,0.0009490137878803073,95.83,89.71,0:01:24.542207,0:00:05.522107
