epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.673,0.05,38.33,47.60,0:01:21.256926,0:00:06.654805
2,1.175,0.04999691581204152,57.91,61.58,0:01:21.201243,0:00:06.546524
3,0.937,0.04998766400914329,66.91,69.47,0:01:20.884701,0:00:06.546523
4,0.762,0.049972246874049255,73.48,72.99,0:01:20.828886,0:00:06.541698
5,0.662,0.049950668210706796,77.15,77.02,0:01:20.878979,0:00:06.541498
6,0.593,0.04992293334332821,79.55,75.04,0:01:20.786271,0:00:06.251658
7,0.544,0.04988904911507701,81.24,74.94,0:01:20.845358,0:00:06.228279
8,0.517,0.049849023886379504,82.20,80.88,0:01:20.774308,0:00:06.527475
9,0.494,0.04980286753286196,83.13,81.89,0:01:20.861145,0:00:06.541863
10,0.475,0.049750591442913945,83.61,79.69,0:01:20.835028,0:00:06.238138
11,0.466,0.049692208514878454,84.10,79.17,0:01:20.796981,0:00:06.224378
12,0.445,0.049627733153869355,84.79,74.70,0:01:21.232257,0:00:06.229577
13,0.446,0.049557181268217225,84.71,80.47,0:01:20.819025,0:00:06.257278
14,0.432,0.04948057026554415,85.18,79.21,0:01:20.908414,0:00:06.255556
15,0.419,0.04939791904846869,85.64,84.68,0:01:20.885997,0:00:06.521580
16,0.410,0.04930924800994192,86.15,78.62,0:01:20.902778,0:00:06.231451
17,0.406,0.049214579028215785,86.21,83.55,0:01:20.770655,0:00:06.248409
18,0.393,0.04911393546144496,86.60,82.55,0:01:20.972595,0:00:06.230324
19,0.386,0.049007342141923586,86.88,81.38,0:01:20.866157,0:00:06.252802
20,0.382,0.04889482536995826,87.01,85.41,0:01:21.025559,0:00:06.521164
21,0.374,0.04877641290737885,87.24,83.63,0:01:20.970518,0:00:06.257198
22,0.372,0.04865213397068864,87.39,84.41,0:01:20.929890,0:00:06.259931
23,0.368,0.04852201922385564,87.43,84.50,0:01:20.946996,0:00:06.225557
24,0.363,0.04838610077074669,87.55,86.57,0:01:20.954748,0:00:06.534341
25,0.361,0.04824441214720629,87.88,86.65,0:01:20.911230,0:00:06.519609
26,0.362,0.048096988312782175,87.74,84.22,0:01:20.801065,0:00:06.249209
27,0.351,0.04794386564209953,88.11,83.13,0:01:20.819588,0:00:06.252328
28,0.348,0.04778508191588613,88.15,81.70,0:01:20.768711,0:00:06.230806
29,0.348,0.04762067631165049,88.12,79.85,0:01:20.913025,0:00:06.249770
30,0.346,0.047450689394015394,88.15,85.33,0:01:20.928330,0:00:06.247237
31,0.341,0.0472751631047092,88.33,82.54,0:01:20.918018,0:00:06.247827
32,0.341,0.04709414075221735,88.33,85.39,0:01:21.165275,0:00:06.260163
33,0.337,0.046907667001096595,88.63,86.43,0:01:20.779001,0:00:06.224245
34,0.330,0.04671578786095479,88.82,84.85,0:01:20.789068,0:00:06.229757
35,0.338,0.0465185506750986,88.52,86.02,0:01:20.815617,0:00:06.247083
36,0.327,0.04631600410885232,88.70,86.25,0:01:20.884802,0:00:06.229615
37,0.326,0.04610819813755039,89.04,83.46,0:01:20.782559,0:00:06.230688
38,0.323,0.045895184034206775,88.87,86.90,0:01:20.813236,0:00:06.515300
39,0.323,0.04567701435686406,89.00,87.09,0:01:20.785083,0:00:06.543839
40,0.323,0.0454537429356256,88.90,85.49,0:01:21.004525,0:00:06.250248
41,0.318,0.045225424859373704,89.15,82.39,0:01:21.053154,0:00:06.235732
42,0.317,0.04499211646217729,89.21,86.82,0:01:21.041125,0:00:06.264070
43,0.316,0.044753875309392274,89.19,82.19,0:01:20.967757,0:00:06.287887
44,0.313,0.044510760183458266,89.31,83.77,0:01:20.989746,0:00:06.248883
45,0.308,0.044262831069394756,89.58,84.88,0:01:20.985104,0:00:06.249600
46,0.306,0.0440101491400008,89.60,86.50,0:01:20.935839,0:00:06.249432
47,0.308,0.043752776740761515,89.49,87.47,0:01:20.858890,0:00:06.539063
48,0.305,0.04349077737446526,89.50,85.25,0:01:20.937988,0:00:06.228605
49,0.307,0.043224215685535305,89.51,86.39,0:01:20.788696,0:00:06.246304
50,0.297,0.04295315744407974,89.92,83.40,0:01:20.959765,0:00:06.230001
51,0.296,0.0426776695296637,89.90,87.20,0:01:20.891536,0:00:06.233943
52,0.298,0.04239781991480787,90.09,86.97,0:01:20.777091,0:00:06.250295
53,0.296,0.04211367764821723,89.87,87.56,0:01:21.154707,0:00:06.511928
54,0.294,0.04182531283774434,89.98,87.21,0:01:20.803431,0:00:06.226691
55,0.291,0.041532796633091305,90.03,84.64,0:01:20.904972,0:00:06.248141
56,0.294,0.0412362012082546,90.12,85.48,0:01:20.884483,0:00:06.248612
57,0.289,0.04093559974371725,90.19,88.25,0:01:20.922598,0:00:06.517270
58,0.284,0.04063106640839264,90.29,84.55,0:01:20.830546,0:00:06.248937
59,0.288,0.04032267634132442,90.18,86.90,0:01:20.922105,0:00:06.230007
60,0.282,0.040010505633147106,90.36,86.28,0:01:20.784940,0:00:06.279017
61,0.282,0.03969463130731184,90.36,86.23,0:01:20.986051,0:00:06.250562
62,0.280,0.03937513130108197,90.50,87.66,0:01:20.952921,0:00:06.246834
63,0.276,0.03905208444630328,90.60,86.93,0:01:20.986025,0:00:06.254920
64,0.276,0.038725570449953305,90.54,85.28,0:01:20.988475,0:00:06.263801
65,0.275,0.03839566987447492,90.59,86.73,0:01:20.920776,0:00:06.230591
66,0.271,0.03806246411789873,90.67,87.35,0:01:20.933227,0:00:06.268309
67,0.271,0.037726035393759294,90.73,84.74,0:01:20.915912,0:00:06.254489
68,0.263,0.0373864667108102,91.13,88.12,0:01:20.927684,0:00:06.231077
69,0.262,0.03704384185254289,91.23,85.16,0:01:20.815007,0:00:06.250008
70,0.266,0.03669824535651435,90.94,88.00,0:01:20.937412,0:00:06.251895
71,0.259,0.03634976249348868,91.18,85.60,0:01:20.801952,0:00:06.249201
72,0.260,0.03599847924639789,91.12,85.93,0:01:20.935647,0:00:06.245346
73,0.261,0.03564448228912683,91.04,87.82,0:01:20.958246,0:00:06.339285
74,0.256,0.03528785896512774,91.42,87.56,0:01:21.030755,0:00:06.222870
75,0.251,0.03492869726586953,91.31,87.85,0:01:20.803984,0:00:06.226898
76,0.245,0.03456708580912726,91.79,84.94,0:01:20.863229,0:00:06.249092
77,0.253,0.03420311381711697,91.37,87.75,0:01:20.927438,0:00:06.254230
78,0.242,0.03383687109448145,91.76,86.81,0:01:20.940625,0:00:06.248882
79,0.245,0.03346844800613231,91.68,87.84,0:01:20.956084,0:00:06.247335
80,0.239,0.03309793545495376,91.85,88.38,0:01:20.790869,0:00:06.538173
81,0.244,0.03272542485937371,91.75,86.62,0:01:21.002023,0:00:06.283289
82,0.242,0.03235100813080762,91.82,87.68,0:01:20.993695,0:00:06.220265
83,0.235,0.03197477765098076,92.07,87.44,0:01:20.985400,0:00:06.227943
84,0.237,0.03159682624913434,91.79,88.14,0:01:21.062648,0:00:06.249449
85,0.231,0.031217247179121384,92.19,87.94,0:01:20.950802,0:00:06.230119
