epoch,loss,train_acc,test_acc
1,1.925,29.53,39.27
2,1.477,46.08,53.85
3,1.176,58.26,58.75
4,0.986,65.44,68.85
5,0.877,69.87,70.95
6,0.835,71.19,66.00
7,0.791,72.92,70.99
8,0.777,73.42,72.09
9,0.753,74.25,73.26
10,0.743,74.53,70.17
