epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
78,0.249,0.03383687109448145,91.42,87.43,0:01:20.170176,0:00:06.163680
79,0.244,0.03346844800613231,91.51,88.50,0:01:20.126141,0:00:06.162146
80,0.243,0.03309793545495376,91.69,88.83,0:01:20.026159,0:00:06.160945
81,0.244,0.03272542485937371,91.72,88.72,0:01:20.022722,0:00:06.164471
82,0.236,0.03235100813080762,91.91,89.07,0:01:20.064286,0:00:06.164056
83,0.241,0.03197477765098076,91.83,86.24,0:01:20.023924,0:00:06.168063
84,0.236,0.03159682624913434,91.83,89.16,0:01:20.146650,0:00:06.183394
85,0.235,0.031217247179121384,91.89,86.21,0:01:20.165780,0:00:06.184162
86,0.231,0.03083613409639766,92.06,88.87,0:01:20.122158,0:00:06.184888
87,0.227,0.03045358103491359,92.25,87.10,0:01:20.073524,0:00:06.169258
88,0.231,0.03006968238391284,92.10,89.53,0:01:20.049108,0:00:06.166552
89,0.220,0.029684532864643145,92.47,87.73,0:01:20.025563,0:00:06.164815
90,0.222,0.02929822750698526,92.44,88.26,0:01:20.011270,0:00:06.163607
91,0.223,0.028910861626005795,92.39,88.16,0:01:20.092950,0:00:06.183956
92,0.223,0.028522530798439593,92.39,88.37,0:01:20.133836,0:00:06.175058
93,0.212,0.028133330839107632,92.84,87.27,0:01:20.087192,0:00:06.235236
94,0.209,0.027743357777276153,92.85,88.10,0:01:20.118013,0:00:06.181004
95,0.211,0.027352707832962876,92.80,88.37,0:01:20.274581,0:00:06.330801
96,0.207,0.026961477393196143,92.94,90.07,0:01:20.303059,0:00:06.218029
97,0.208,0.026569762988232853,92.94,85.66,0:01:20.197070,0:00:06.174353
98,0.203,0.02617766126774108,93.03,90.26,0:01:20.008971,0:00:06.166592
99,0.198,0.025785268976953223,93.15,90.17,0:01:20.031345,0:00:06.169216
100,0.195,0.02539268293279553,93.28,89.19,0:01:20.015951,0:00:06.166242
101,0.200,0.025000000000000012,93.14,89.09,0:01:20.163669,0:00:06.187960
102,0.193,0.0246073170672045,93.39,89.15,0:01:20.167522,0:00:06.186386
103,0.190,0.024214731023046804,93.43,88.21,0:01:20.173014,0:00:06.181816
104,0.184,0.023822338732258946,93.63,88.97,0:01:20.155823,0:00:06.162605
105,0.184,0.023430237011767177,93.73,88.88,0:01:20.006611,0:00:06.161467
106,0.182,0.02303852260680389,93.76,89.63,0:01:20.024781,0:00:06.165410
107,0.181,0.022647292167037154,93.74,89.85,0:01:20.024952,0:00:06.166893
108,0.176,0.02225664222272388,93.85,90.57,0:01:20.057552,0:00:06.452919
109,0.174,0.02186666916089241,94.02,90.61,0:01:20.073425,0:00:06.469833
110,0.171,0.02147746920156045,94.11,89.28,0:01:20.170816,0:00:06.185975
111,0.161,0.021089138373994242,94.45,90.63,0:01:20.168910,0:00:06.451076
112,0.165,0.02070177249301477,94.43,90.28,0:01:20.099813,0:00:06.205250
113,0.159,0.0203154671353569,94.54,89.94,0:01:20.321942,0:00:06.191413
114,0.161,0.019930317616087205,94.48,89.86,0:01:20.219876,0:00:06.210388
115,0.156,0.019546418965086458,94.69,90.82,0:01:20.140474,0:00:06.488570
116,0.153,0.019163865903602376,94.76,90.14,0:01:20.453071,0:00:06.244952
117,0.149,0.018782752820878643,94.92,87.54,0:01:20.135133,0:00:06.185991
118,0.150,0.01840317375086569,94.74,89.20,0:01:20.059135,0:00:06.161946
119,0.148,0.018025222349019283,94.95,90.02,0:01:19.986519,0:00:06.164699
120,0.140,0.017648991869192415,95.16,91.10,0:01:20.013319,0:00:06.450217
121,0.137,0.017274575140626334,95.27,88.27,0:01:20.087266,0:00:06.161524
122,0.132,0.016902064545046273,95.43,89.38,0:01:20.107477,0:00:06.189181
123,0.137,0.016531551993867726,95.25,90.68,0:01:19.960621,0:00:06.160147
124,0.127,0.016163128905518586,95.52,91.29,0:01:19.961233,0:00:06.449515
125,0.122,0.015796886182883066,95.80,90.03,0:01:19.987681,0:00:06.169073
126,0.126,0.015432914190872771,95.64,91.21,0:01:19.984257,0:00:06.164994
127,0.116,0.01507130273413049,96.02,91.21,0:01:19.999262,0:00:06.162824
128,0.116,0.01471214103487229,96.03,91.32,0:01:19.998011,0:00:06.454268
129,0.119,0.014355517710873194,95.94,91.77,0:01:20.115411,0:00:06.448397
130,0.110,0.01400152075360213,96.17,91.36,0:01:19.997247,0:00:06.160909
131,0.107,0.01365023750651134,96.31,90.37,0:01:20.132550,0:00:06.185299
132,0.110,0.013301754643485679,96.28,91.82,0:01:19.995418,0:00:06.481944
133,0.103,0.012956158147457122,96.48,91.29,0:01:20.092932,0:00:06.152776
134,0.096,0.012613533289189816,96.63,91.33,0:01:20.113540,0:00:06.183902
135,0.096,0.012273964606240723,96.67,91.86,0:01:20.199461,0:00:06.472753
136,0.090,0.011937535882101285,96.85,91.64,0:01:20.150783,0:00:06.185124
137,0.096,0.011604330125525083,96.78,91.43,0:01:20.493002,0:00:06.188731
138,0.081,0.011274429550046707,97.22,90.85,0:01:20.152676,0:00:06.208895
139,0.083,0.010947915553696737,97.17,91.73,0:01:20.167850,0:00:06.185568
140,0.085,0.01062486869891804,97.12,91.93,0:01:20.162110,0:00:06.467322
141,0.077,0.01030536869268818,97.35,92.02,0:01:20.076886,0:00:06.451144
142,0.073,0.009989494366852907,97.46,92.17,0:01:20.034710,0:00:06.453532
143,0.074,0.00967732365867559,97.34,90.65,0:01:20.005453,0:00:06.161720
144,0.067,0.009368933591607374,97.70,91.10,0:01:19.994561,0:00:06.159407
145,0.068,0.00906440025628276,97.61,91.89,0:01:20.052115,0:00:06.178602
146,0.062,0.008763798791745414,97.83,92.21,0:01:20.068567,0:00:06.443193
