epoch,train_loss,learning_rate,train_acc,test_acc
1,1.955,0.1,26.57,41.57
2,1.447,0.09999383162408304,47.39,54.88
3,1.132,0.09997532801828658,59.96,60.83
4,0.982,0.09994449374809851,65.75,60.59
5,0.874,0.09990133642141359,69.66,68.41
6,0.807,0.09984586668665642,72.28,65.90
7,0.768,0.09977809823015402,73.75,67.43
8,0.755,0.09969804777275901,74.41,64.98
9,0.737,0.09960573506572391,74.69,73.76
10,0.732,0.09950118288582789,74.97,69.38
