epoch,train_loss,learning_rate,train_acc,test_acc
1,1.819,0.1,33.16,45.60
2,1.267,0.09999383162408304,54.25,56.65
3,1.006,0.09997532801828658,64.56,62.93
3,1.006,0.09997532801828658,64.56,62.93
Training_time,Model,Nb_parameters
0:04:41.302190,ResNet,11173962
