epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
78,0.225,0.03383687109448145,92.20,89.45,0:03:39.202513,0:00:13.842774
79,0.226,0.03346844800613231,92.17,87.56,0:03:39.279720,0:00:13.816903
80,0.221,0.03309793545495376,92.46,88.31,0:03:39.170193,0:00:13.814643
81,0.220,0.03272542485937371,92.47,86.97,0:03:39.179219,0:00:13.819965
82,0.221,0.03235100813080762,92.45,88.58,0:03:39.147878,0:00:13.816100
83,0.217,0.03197477765098076,92.54,90.14,0:03:39.253688,0:00:14.074284
84,0.212,0.03159682624913434,92.79,84.50,0:03:39.241020,0:00:13.837707
85,0.211,0.031217247179121384,92.77,90.10,0:03:39.365819,0:00:13.853539
86,0.217,0.03083613409639766,92.47,87.87,0:03:39.349512,0:00:13.836636
87,0.207,0.03045358103491359,92.88,86.42,0:03:39.209084,0:00:13.812233
88,0.208,0.03006968238391284,92.85,87.24,0:03:39.267125,0:00:13.829792
89,0.205,0.029684532864643145,92.91,87.72,0:03:39.288786,0:00:13.829743
90,0.198,0.02929822750698526,93.20,89.64,0:03:39.398776,0:00:13.814718
91,0.196,0.028910861626005795,93.33,88.54,0:03:39.143196,0:00:13.810260
92,0.193,0.028522530798439593,93.42,87.76,0:03:39.207495,0:00:13.847111
93,0.196,0.028133330839107632,93.25,88.04,0:03:39.293325,0:00:13.852147
94,0.195,0.027743357777276153,93.16,89.85,0:03:39.341588,0:00:13.834963
95,0.185,0.027352707832962876,93.55,89.46,0:03:39.178287,0:00:13.835554
96,0.187,0.026961477393196143,93.61,89.41,0:03:39.204034,0:00:13.814040
97,0.186,0.026569762988232853,93.62,90.53,0:03:39.223085,0:00:14.050807
98,0.186,0.02617766126774108,93.59,89.67,0:03:39.312078,0:00:13.805826
99,0.180,0.025785268976953223,93.90,90.42,0:03:39.146942,0:00:13.814618
100,0.179,0.02539268293279553,93.72,89.27,0:03:39.240626,0:00:13.831285
101,0.173,0.025000000000000012,93.95,92.15,0:03:39.338080,0:00:14.075442
102,0.171,0.0246073170672045,94.11,89.62,0:03:39.371127,0:00:13.816044
103,0.169,0.024214731023046804,94.16,91.46,0:03:39.151196,0:00:13.816593
104,0.168,0.023822338732258946,94.10,89.33,0:03:39.179634,0:00:13.814209
105,0.167,0.023430237011767177,94.25,90.64,0:03:39.252822,0:00:13.827839
106,0.161,0.02303852260680389,94.39,91.73,0:03:39.298856,0:00:13.815403
107,0.158,0.022647292167037154,94.43,91.69,0:03:39.165821,0:00:13.815440
108,0.154,0.02225664222272388,94.80,91.31,0:03:39.288911,0:00:13.851011
109,0.158,0.02186666916089241,94.57,89.58,0:03:39.285869,0:00:13.838856
110,0.154,0.02147746920156045,94.68,90.13,0:03:39.232418,0:00:13.823181
111,0.148,0.021089138373994242,94.94,90.81,0:03:39.177844,0:00:13.812374
112,0.151,0.02070177249301477,94.85,90.45,0:03:39.271094,0:00:13.813705
113,0.141,0.0203154671353569,95.14,91.12,0:03:39.324658,0:00:13.810148
114,0.139,0.019930317616087205,95.21,91.09,0:03:39.197610,0:00:13.819429
115,0.140,0.019546418965086458,95.25,92.06,0:03:39.247575,0:00:13.839245
116,0.132,0.019163865903602376,95.44,92.00,0:03:39.303685,0:00:13.849672
117,0.130,0.018782752820878643,95.57,90.11,0:03:39.396927,0:00:13.836517
118,0.136,0.01840317375086569,95.37,92.25,0:03:39.299533,0:00:14.079894
119,0.129,0.018025222349019283,95.63,91.34,0:03:39.254905,0:00:13.839604
120,0.125,0.017648991869192415,95.73,90.32,0:03:39.293818,0:00:13.903898
121,0.119,0.017274575140626334,95.84,91.24,0:03:39.213930,0:00:13.817064
122,0.119,0.016902064545046273,95.87,91.19,0:03:39.127199,0:00:13.818241
123,0.117,0.016531551993867726,95.90,90.55,0:03:39.231530,0:00:13.876510
124,0.116,0.016163128905518586,96.04,91.65,0:03:39.378911,0:00:13.847261
125,0.111,0.015796886182883066,96.21,89.80,0:03:39.250925,0:00:13.854140
126,0.112,0.015432914190872771,96.13,92.41,0:03:39.195774,0:00:14.068706
127,0.107,0.01507130273413049,96.32,90.32,0:03:39.173965,0:00:13.816361
128,0.100,0.01471214103487229,96.59,92.32,0:03:39.256329,0:00:13.803745
129,0.100,0.014355517710873194,96.54,91.24,0:03:39.164160,0:00:13.818504
130,0.093,0.01400152075360213,96.84,92.30,0:03:39.282134,0:00:13.840986
131,0.094,0.01365023750651134,96.75,92.26,0:03:39.347045,0:00:13.843197
132,0.092,0.013301754643485679,96.90,92.88,0:03:39.316741,0:00:14.097624
133,0.089,0.012956158147457122,96.96,91.41,0:03:39.414977,0:00:13.846544
134,0.084,0.012613533289189816,97.17,91.53,0:03:39.343050,0:00:13.825920
135,0.081,0.012273964606240723,97.33,92.07,0:03:39.214818,0:00:13.808653
136,0.077,0.011937535882101285,97.40,92.14,0:03:39.294139,0:00:13.837129
137,0.074,0.011604330125525083,97.53,92.19,0:03:39.266928,0:00:13.822817
138,0.079,0.011274429550046707,97.21,92.97,0:03:39.168868,0:00:14.056157
139,0.071,0.010947915553696737,97.56,92.44,0:03:39.353147,0:00:13.838438
140,0.065,0.01062486869891804,97.85,92.98,0:03:39.348879,0:00:14.074136
141,0.072,0.01030536869268818,97.61,92.59,0:03:39.193874,0:00:13.807314
142,0.064,0.009989494366852907,97.92,93.02,0:03:39.132823,0:00:14.041559
143,0.062,0.00967732365867559,97.87,92.26,0:03:39.218837,0:00:13.830776
144,0.062,0.009368933591607374,97.94,92.65,0:03:39.416712,0:00:13.831316
145,0.056,0.00906440025628276,98.17,92.37,0:03:39.295142,0:00:13.832392
