epoch,loss,train_acc,test_acc
1,2.384,6.25,18.75
2,6.453,9.38,6.25
3,6.108,6.25,12.50
4,13.702,21.88,12.50
5,9.872,9.38,12.50
6,8.172,9.38,6.25
7,5.360,9.38,12.50
8,16.044,9.38,12.50
9,4.902,15.62,6.25
10,5.397,6.25,3.12
