epoch,loss,train_acc,test_acc
1,2.342,15.62,6.25
2,3.661,18.75,12.50
3,5.659,15.62,12.50
4,5.096,9.38,12.50
5,8.803,15.62,12.50
6,2.887,15.62,6.25
7,10.866,6.25,6.25
8,5.638,15.62,9.38
9,9.540,18.75,12.50
10,8.378,3.12,3.12
