epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.104,1.671,0.05,24.08,39.36,0:01:37.166802,0:00:06.336634,yes,no
2,1.900,1.507,0.04999691581204152,32.91,45.37,0:01:36.633732,0:00:06.508052,yes,no
3,1.778,1.280,0.04998766400914329,39.08,55.46,0:01:36.668696,0:00:06.525140,yes,no
4,1.688,1.188,0.049972246874049255,43.76,62.02,0:01:37.037103,0:00:06.510990,yes,no
5,1.614,1.036,0.049950668210706796,46.77,65.87,0:01:37.111839,0:00:06.539415,yes,no
6,1.548,0.963,0.04992293334332821,49.96,69.35,0:01:37.124362,0:00:06.537279,yes,no
7,1.501,0.873,0.04988904911507701,52.04,71.88,0:01:36.999738,0:00:06.523378,yes,no
8,1.469,0.941,0.049849023886379504,53.38,71.73,0:01:37.476666,0:00:06.254563,yes,no
9,1.436,0.838,0.04980286753286196,54.87,72.67,0:01:37.056155,0:00:06.553036,yes,no
10,1.445,0.875,0.049750591442913945,54.29,71.42,0:01:37.108295,0:00:06.250769,yes,no
11,1.418,0.763,0.049692208514878454,55.49,77.42,0:01:37.137316,0:00:06.519470,yes,no
12,1.407,0.800,0.049627733153869355,55.89,74.54,0:01:37.284371,0:00:06.237392,yes,no
13,1.393,0.880,0.049557181268217225,56.36,71.98,0:01:37.261225,0:00:06.227948,yes,no
14,1.389,0.665,0.04948057026554415,56.50,80.63,0:01:37.387015,0:00:06.542275,yes,no
15,1.355,0.680,0.04939791904846869,57.98,80.96,0:01:37.184598,0:00:06.564802,yes,no
16,1.377,0.772,0.04930924800994192,57.37,77.59,0:01:37.103611,0:00:06.222820,yes,no
17,1.336,0.722,0.049214579028215785,58.87,79.63,0:01:36.923935,0:00:06.226306,yes,no
18,1.362,0.840,0.04911393546144496,58.04,73.84,0:01:36.967901,0:00:06.233351,yes,no
19,1.345,0.667,0.049007342141923586,58.58,82.48,0:01:37.092421,0:00:06.531271,yes,no
20,1.337,0.843,0.04889482536995826,58.72,74.28,0:01:37.306177,0:00:06.254663,yes,no
21,1.351,0.723,0.04877641290737885,58.28,80.69,0:01:37.248518,0:00:06.233595,yes,no
22,1.333,0.684,0.04865213397068864,58.97,81.39,0:01:37.143984,0:00:06.230073,yes,no
23,1.354,0.669,0.04852201922385564,58.10,81.09,0:01:37.141351,0:00:06.228091,yes,no
24,1.311,0.643,0.04838610077074669,59.91,82.33,0:01:37.057244,0:00:06.256583,yes,no
25,1.331,0.690,0.04824441214720629,59.01,80.71,0:01:37.654298,0:00:06.257248,yes,no
26,1.336,0.596,0.048096988312782175,58.93,84.50,0:01:37.142186,0:00:06.521166,yes,no
27,1.324,0.686,0.04794386564209953,59.28,81.16,0:01:36.987356,0:00:06.231893,yes,no
28,1.304,0.647,0.04778508191588613,60.22,83.40,0:01:37.050419,0:00:06.242682,yes,no
29,1.302,0.689,0.04762067631165049,60.14,81.98,0:01:37.283121,0:00:06.259223,yes,no
30,1.314,0.707,0.047450689394015394,59.72,80.15,0:01:37.191727,0:00:06.253417,yes,no
31,1.295,0.620,0.0472751631047092,60.40,82.30,0:01:37.350621,0:00:06.233040,yes,no
32,1.292,0.686,0.04709414075221735,60.67,79.16,0:01:37.160282,0:00:06.250905,yes,no
33,1.304,0.668,0.046907667001096595,60.14,81.08,0:01:37.266635,0:00:06.230356,yes,no
34,1.303,0.713,0.04671578786095479,60.14,80.75,0:01:37.184427,0:00:06.232324,yes,no
35,1.301,0.609,0.0465185506750986,60.25,83.74,0:01:37.154387,0:00:06.244105,yes,no
36,1.318,0.643,0.04631600410885232,59.64,82.08,0:01:37.296375,0:00:06.257515,yes,no
37,1.281,0.603,0.04610819813755039,60.99,85.24,0:01:37.301448,0:00:06.543545,yes,no
38,1.305,0.651,0.045895184034206775,60.00,83.08,0:01:37.238638,0:00:06.246874,yes,no
39,1.310,0.611,0.04567701435686406,59.79,82.78,0:01:37.047118,0:00:06.231172,yes,no
40,1.258,0.630,0.0454537429356256,61.61,83.42,0:01:36.984372,0:00:06.230321,yes,no
41,1.281,0.597,0.045225424859373704,61.09,84.34,0:01:37.135599,0:00:06.251491,yes,no
42,1.310,0.672,0.04499211646217729,59.90,82.65,0:01:37.520362,0:00:06.378371,yes,no
43,1.270,0.670,0.044753875309392274,61.36,84.41,0:01:37.273639,0:00:06.248319,yes,no
44,1.273,0.608,0.044510760183458266,61.07,84.33,0:01:37.039826,0:00:06.230149,yes,no
45,1.285,0.535,0.044262831069394756,60.98,85.15,0:01:37.222461,0:00:06.226978,yes,no
46,1.283,0.652,0.0440101491400008,60.94,81.60,0:01:37.205006,0:00:06.287498,yes,no
47,1.257,0.644,0.043752776740761515,61.80,83.60,0:01:37.304574,0:00:06.232291,yes,no
48,1.272,0.613,0.04349077737446526,61.18,83.18,0:01:37.233284,0:00:06.266974,yes,no
49,1.270,0.667,0.043224215685535305,61.33,81.46,0:01:37.351591,0:00:06.249673,yes,no
50,1.250,0.636,0.04295315744407974,62.12,83.48,0:01:37.288440,0:00:06.231708,yes,no
51,1.270,0.637,0.0426776695296637,61.37,83.63,0:01:37.265332,0:00:06.248825,yes,no
52,1.261,0.675,0.04239781991480787,61.51,82.65,0:01:37.018515,0:00:06.241211,yes,no
53,1.262,0.728,0.04211367764821723,61.60,77.82,0:01:36.905128,0:00:06.227360,yes,no
54,1.260,0.632,0.04182531283774434,61.77,83.26,0:01:36.968221,0:00:06.250979,yes,no
55,1.254,0.627,0.041532796633091305,61.74,82.80,0:01:37.216499,0:00:06.259254,yes,no
56,1.264,0.602,0.0412362012082546,61.57,85.05,0:01:37.271151,0:00:06.256283,yes,no
57,1.265,0.639,0.04093559974371725,61.41,82.38,0:01:37.164616,0:00:06.232537,yes,no
58,1.246,0.590,0.04063106640839264,61.97,84.73,0:01:36.933793,0:00:06.228296,yes,no
59,1.235,0.606,0.04032267634132442,62.75,84.32,0:01:37.221335,0:00:06.230022,yes,no
60,1.262,0.601,0.040010505633147106,61.60,84.96,0:01:37.413562,0:00:06.231622,yes,no
61,1.255,0.584,0.03969463130731184,61.89,84.97,0:01:36.938982,0:00:06.233605,yes,no
62,1.221,0.572,0.03937513130108197,63.03,86.91,0:01:36.942269,0:00:06.516824,yes,no
63,1.258,0.550,0.03905208444630328,61.81,86.40,0:01:37.091915,0:00:06.233778,yes,no
64,1.241,0.611,0.038725570449953305,62.57,85.10,0:01:37.289560,0:00:06.253012,yes,no
65,1.253,0.609,0.03839566987447492,61.85,85.44,0:01:37.331493,0:00:06.271872,yes,no
66,1.253,0.602,0.03806246411789873,61.79,84.31,0:01:37.318002,0:00:06.249896,yes,no
67,1.254,0.623,0.037726035393759294,62.04,83.52,0:01:37.463861,0:00:06.258569,yes,no
68,1.246,0.647,0.0373864667108102,62.38,84.02,0:01:37.268796,0:00:06.274007,yes,no
69,1.231,0.569,0.03704384185254289,62.52,86.13,0:01:37.021868,0:00:06.254243,yes,no
70,1.237,0.550,0.03669824535651435,62.35,85.82,0:01:37.299556,0:00:06.249320,yes,no
71,1.255,0.567,0.03634976249348868,61.73,84.86,0:01:37.288164,0:00:06.229195,yes,no
72,1.217,0.532,0.03599847924639789,63.38,85.98,0:01:36.982787,0:00:06.229612,yes,no
73,1.236,0.615,0.03564448228912683,62.63,85.84,0:01:37.137285,0:00:06.254158,yes,no
74,1.231,0.631,0.03528785896512774,62.87,82.54,0:01:37.038720,0:00:06.231463,yes,no
75,1.248,0.491,0.03492869726586953,61.94,86.83,0:01:37.272713,0:00:06.227993,yes,no
76,1.229,0.501,0.03456708580912726,62.77,87.46,0:01:37.022238,0:00:06.543993,yes,no
77,1.225,0.614,0.03420311381711697,62.87,84.26,0:01:37.607035,0:00:06.259979,yes,no
78,1.231,0.555,0.03383687109448145,62.96,84.59,0:01:37.302527,0:00:06.263078,yes,no
79,1.191,0.604,0.03346844800613231,64.18,83.43,0:01:37.002666,0:00:06.289740,yes,no
80,1.218,0.563,0.03309793545495376,63.32,86.24,0:01:37.399759,0:00:06.245740,yes,no
81,1.237,0.517,0.03272542485937371,62.43,86.32,0:01:37.288489,0:00:06.237363,yes,no
82,1.240,0.599,0.03235100813080762,62.26,84.85,0:01:37.368504,0:00:06.230434,yes,no
83,1.204,0.570,0.03197477765098076,63.66,86.26,0:01:37.298447,0:00:06.280443,yes,no
84,1.209,0.561,0.03159682624913434,63.40,85.10,0:01:37.135294,0:00:06.284411,yes,no
85,1.215,0.550,0.031217247179121384,63.25,86.88,0:01:37.177613,0:00:06.255205,yes,no
86,1.206,0.540,0.03083613409639766,63.58,86.22,0:01:37.181078,0:00:06.239660,yes,no
