epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
64,1.430,0.765,0.038725570449953305,55.06,78.11,0:01:46.981846,0:00:05.519983,yes,no
65,1.425,0.821,0.03839566987447492,55.33,77.03,0:01:47.490544,0:00:05.535995,yes,no
66,1.412,0.810,0.03806246411789873,56.13,76.20,0:01:47.102278,0:00:05.538514,yes,no
67,1.423,0.702,0.037726035393759294,55.58,80.03,0:01:47.149604,0:00:05.632259,yes,no
68,1.424,0.765,0.0373864667108102,55.60,78.69,0:01:47.230156,0:00:05.543025,yes,no
69,1.415,0.737,0.03704384185254289,55.71,76.80,0:01:47.257351,0:00:05.551791,yes,no
70,1.407,0.759,0.03669824535651435,56.15,77.14,0:01:47.245686,0:00:05.526006,yes,no
71,1.423,0.894,0.03634976249348868,55.43,71.54,0:01:46.924813,0:00:05.523770,yes,no
72,1.429,0.800,0.03599847924639789,55.42,76.71,0:01:46.948387,0:00:05.516868,yes,no
73,1.410,0.748,0.03564448228912683,56.06,77.83,0:01:46.929329,0:00:05.525298,yes,no
74,1.420,0.786,0.03528785896512774,55.65,76.07,0:01:47.213296,0:00:05.529581,yes,no
75,1.430,0.731,0.03492869726586953,55.01,78.06,0:01:47.279434,0:00:05.552744,yes,no
76,1.430,0.776,0.03456708580912726,55.43,78.43,0:01:47.201005,0:00:05.521644,yes,no
77,1.402,0.948,0.03420311381711697,56.23,70.47,0:01:47.457686,0:00:05.529101,yes,no
78,1.417,0.724,0.03383687109448145,55.66,79.32,0:01:47.318543,0:00:05.534755,yes,no
79,1.409,0.795,0.03346844800613231,55.96,77.04,0:01:47.198075,0:00:05.534344,yes,no
80,1.387,0.747,0.03309793545495376,56.67,77.08,0:01:47.197023,0:00:05.546781,yes,no
81,1.419,0.722,0.03272542485937371,55.72,78.07,0:01:47.698747,0:00:05.540083,yes,no
82,1.405,0.721,0.03235100813080762,56.23,78.90,0:01:47.210984,0:00:05.527183,yes,no
83,1.426,0.839,0.03197477765098076,55.19,74.24,0:01:47.101659,0:00:05.543082,yes,no
84,1.385,0.728,0.03159682624913434,56.91,79.57,0:01:47.083989,0:00:05.519443,yes,no
85,1.403,0.822,0.031217247179121384,56.39,76.49,0:01:46.909123,0:00:05.520292,yes,no
86,1.397,0.750,0.03083613409639766,56.52,78.22,0:01:46.949553,0:00:05.524470,yes,no
87,1.406,0.743,0.03045358103491359,56.30,78.82,0:01:46.942789,0:00:05.529724,yes,no
88,1.395,0.753,0.03006968238391284,56.54,77.51,0:01:47.181327,0:00:05.541677,yes,no
89,1.386,0.784,0.029684532864643145,57.25,79.47,0:01:47.168441,0:00:05.540965,yes,no
90,1.406,0.739,0.02929822750698526,56.20,78.02,0:01:47.246118,0:00:05.527022,yes,no
91,1.376,0.726,0.028910861626005795,57.24,79.51,0:01:47.128409,0:00:05.508009,yes,no
92,1.383,0.683,0.028522530798439593,57.08,79.51,0:01:47.145245,0:00:05.543299,yes,no
93,1.401,0.767,0.028133330839107632,56.49,79.82,0:01:47.204785,0:00:05.521028,yes,no
94,1.396,0.695,0.027743357777276153,56.53,79.30,0:01:47.137274,0:00:05.552786,yes,no
95,1.393,0.701,0.027352707832962876,56.53,80.14,0:01:47.218276,0:00:05.628174,yes,no
96,1.396,0.754,0.026961477393196143,56.45,79.68,0:01:46.817859,0:00:05.521995,yes,no
97,1.394,0.800,0.026569762988232853,56.62,76.18,0:01:47.316296,0:00:05.542516,yes,no
98,1.407,0.752,0.02617766126774108,56.05,78.48,0:01:47.041251,0:00:05.506931,yes,no
99,1.367,0.739,0.025785268976953223,57.71,80.05,0:01:46.852860,0:00:05.531107,yes,no
100,1.395,0.712,0.02539268293279553,56.46,80.34,0:01:47.035508,0:00:05.609701,yes,no
101,1.389,0.775,0.025000000000000012,56.79,76.35,0:01:47.049697,0:00:05.520174,yes,no
102,1.379,0.816,0.0246073170672045,57.18,78.06,0:01:46.919876,0:00:05.519623,yes,no
103,1.368,0.751,0.024214731023046804,57.59,78.13,0:01:46.885065,0:00:05.520661,yes,no
104,1.382,0.680,0.023822338732258946,56.68,80.44,0:01:46.867063,0:00:05.605104,yes,no
105,1.357,0.692,0.023430237011767177,57.70,81.02,0:01:46.882526,0:00:05.610267,yes,no
106,1.363,0.694,0.02303852260680389,57.59,81.34,0:01:47.179992,0:00:05.626213,yes,no
107,1.335,0.661,0.022647292167037154,58.72,80.94,0:01:47.149200,0:00:05.538823,yes,no
108,1.363,0.693,0.02225664222272388,57.56,80.66,0:01:47.232806,0:00:05.545220,yes,no
109,1.357,0.656,0.02186666916089241,57.75,81.86,0:01:47.334852,0:00:05.633925,yes,no
110,1.371,0.755,0.02147746920156045,57.24,78.42,0:01:47.115827,0:00:05.578948,yes,no
111,1.370,0.709,0.021089138373994242,57.02,80.43,0:01:47.166238,0:00:05.545482,yes,no
112,1.343,0.662,0.02070177249301477,58.30,81.72,0:01:47.105732,0:00:05.546146,yes,no
113,1.351,0.774,0.0203154671353569,58.04,80.00,0:01:47.634317,0:00:05.540819,yes,no
114,1.338,0.727,0.019930317616087205,58.38,80.06,0:01:47.012719,0:00:05.542714,yes,no
115,1.344,0.694,0.019546418965086458,58.22,81.05,0:01:46.865226,0:00:05.520171,yes,no
116,1.344,0.651,0.019163865903602376,58.14,82.64,0:01:46.860798,0:00:05.606737,yes,no
117,1.342,0.739,0.018782752820878643,58.42,78.68,0:01:46.837409,0:00:05.527720,yes,no
118,1.323,0.738,0.01840317375086569,59.24,79.75,0:01:46.856008,0:00:05.516271,yes,no
119,1.343,0.653,0.018025222349019283,58.24,83.76,0:01:46.963958,0:00:05.627858,yes,no
120,1.328,0.727,0.017648991869192415,58.81,80.34,0:01:47.123713,0:00:05.553230,yes,no
121,1.322,0.651,0.017274575140626334,59.33,84.08,0:01:46.854419,0:00:05.615025,yes,no
122,1.315,0.759,0.016902064545046273,59.56,79.22,0:01:47.097805,0:00:05.514299,yes,no
123,1.344,0.733,0.016531551993867726,58.34,80.78,0:01:47.332145,0:00:05.550064,yes,no
124,1.335,0.677,0.016163128905518586,58.54,82.22,0:01:47.324077,0:00:05.524314,yes,no
125,1.332,0.682,0.015796886182883066,58.71,82.56,0:01:47.236874,0:00:05.520420,yes,no
126,1.320,0.675,0.015432914190872771,59.18,82.36,0:01:47.102423,0:00:05.588754,yes,no
127,1.331,0.718,0.01507130273413049,58.71,82.57,0:01:47.147565,0:00:05.529124,yes,no
128,1.322,0.678,0.01471214103487229,58.85,82.10,0:01:46.852032,0:00:05.543639,yes,no
129,1.315,0.654,0.014355517710873194,59.28,82.32,0:01:47.686359,0:00:05.550267,yes,no
130,1.294,0.630,0.01400152075360213,60.30,83.79,0:01:47.156485,0:00:05.543414,yes,no
131,1.320,0.653,0.01365023750651134,59.07,82.62,0:01:47.176261,0:00:05.537686,yes,no
132,1.298,0.622,0.013301754643485679,59.73,83.68,0:01:46.943970,0:00:05.547124,yes,no
133,1.314,0.620,0.012956158147457122,59.21,83.32,0:01:47.122597,0:00:05.551594,yes,no
134,1.288,0.627,0.012613533289189816,60.51,83.65,0:01:46.966121,0:00:05.526692,yes,no
135,1.314,0.585,0.012273964606240723,59.42,83.90,0:01:46.825905,0:00:05.521900,yes,no
136,1.293,0.626,0.011937535882101285,60.27,83.52,0:01:46.871598,0:00:05.523364,yes,no
137,1.287,0.569,0.011604330125525083,60.63,84.61,0:01:46.992821,0:00:05.625944,yes,no
138,1.281,0.609,0.011274429550046707,60.66,84.87,0:01:47.292765,0:00:05.632878,yes,no
139,1.277,0.626,0.010947915553696737,60.84,84.60,0:01:47.398940,0:00:05.555754,yes,no
140,1.276,0.674,0.01062486869891804,61.03,84.01,0:01:47.343124,0:00:05.548522,yes,no
141,1.283,0.587,0.01030536869268818,60.46,85.11,0:01:47.301175,0:00:05.666800,yes,no
142,1.278,0.671,0.009989494366852907,60.64,84.48,0:01:47.275675,0:00:05.584391,yes,no
143,1.281,0.681,0.00967732365867559,60.48,83.09,0:01:47.149163,0:00:05.531217,yes,no
144,1.258,0.658,0.009368933591607374,61.50,83.24,0:01:46.921158,0:00:05.523969,yes,no
145,1.277,0.627,0.00906440025628276,60.71,85.33,0:01:47.418558,0:00:05.616088,yes,no
146,1.271,0.612,0.008763798791745414,61.05,85.78,0:01:47.091539,0:00:05.629884,yes,no
147,1.254,0.607,0.00846720336690871,61.59,85.21,0:01:47.047644,0:00:05.521900,yes,no
148,1.236,0.619,0.008174687162255667,61.99,85.66,0:01:46.871410,0:00:05.526829,yes,no
149,1.251,0.605,0.007886322351782785,61.70,86.07,0:01:46.866140,0:00:05.610479,yes,no
150,1.239,0.607,0.007602180085192145,62.20,86.26,0:01:46.864806,0:00:05.613139,yes,no
151,1.262,0.590,0.007322330470336316,61.22,86.23,0:01:46.872041,0:00:05.521753,yes,no
152,1.234,0.576,0.007046842555920285,62.17,86.88,0:01:46.859565,0:00:05.604813,yes,no
153,1.214,0.564,0.006775784314464719,63.33,86.59,0:01:46.832089,0:00:05.520307,yes,no
154,1.245,0.581,0.006509222625534758,62.07,86.40,0:01:46.981347,0:00:05.525814,yes,no
155,1.220,0.593,0.006247223259238513,63.20,86.96,0:01:47.215739,0:00:05.637187,yes,no
156,1.219,0.565,0.0059898508599992295,62.98,87.08,0:01:47.402112,0:00:05.629787,yes,no
157,1.217,0.577,0.005737168930605274,63.21,87.34,0:01:47.234673,0:00:05.669691,yes,no
158,1.221,0.589,0.005489239816541763,62.94,85.16,0:01:47.402589,0:00:05.543889,yes,no
159,1.214,0.576,0.005246124690607742,63.04,87.52,0:01:47.127132,0:00:05.630586,yes,no
160,1.211,0.602,0.005007883537822737,63.03,86.98,0:01:47.154004,0:00:05.546759,yes,no
161,1.189,0.600,0.004774575140626318,64.22,87.98,0:01:47.555376,0:00:05.707246,yes,no
162,1.192,0.579,0.00454625706437442,64.05,88.19,0:01:47.016133,0:00:05.637812,yes,no
163,1.213,0.573,0.004322985643135959,63.14,87.86,0:01:46.997834,0:00:05.523137,yes,no
164,1.200,0.568,0.0041048159657932504,63.55,88.42,0:01:46.928228,0:00:05.606622,yes,no
165,1.194,0.553,0.0038918018624496302,63.73,88.57,0:01:46.975349,0:00:05.609717,yes,no
166,1.172,0.577,0.0036839958911477027,64.62,88.62,0:01:46.966986,0:00:05.610381,yes,no
167,1.194,0.569,0.0034814493249014076,63.85,88.15,0:01:46.930740,0:00:05.522863,yes,no
168,1.193,0.583,0.003284212139045219,63.97,88.53,0:01:46.948777,0:00:05.518340,yes,no
169,1.183,0.529,0.003092332998903412,64.15,89.02,0:01:46.883698,0:00:05.602736,yes,no
170,1.191,0.533,0.002905859247782665,63.84,88.98,0:01:47.076333,0:00:05.522698,yes,no
171,1.168,0.560,0.0027248368952908068,64.86,88.62,0:01:47.342550,0:00:05.529058,yes,no
172,1.143,0.565,0.002549310605984613,65.85,89.07,0:01:47.176487,0:00:05.609354,yes,no
173,1.191,0.546,0.0023793236883495176,63.80,88.83,0:01:47.237327,0:00:05.601186,yes,no
174,1.154,0.528,0.002214918084113875,65.08,89.50,0:01:47.284130,0:00:05.627819,yes,no
175,1.157,0.539,0.0020561343579004786,65.01,89.78,0:01:47.274362,0:00:05.628805,yes,no
176,1.151,0.519,0.0019030116872178384,65.22,89.56,0:01:47.056586,0:00:05.545406,yes,no
177,1.150,0.535,0.0017555878527937174,65.31,90.01,0:01:47.495245,0:00:05.608529,yes,no
178,1.170,0.524,0.0016138992292533167,64.76,90.42,0:01:46.893142,0:00:05.608730,yes,no
179,1.147,0.521,0.0014779807761443645,65.39,90.06,0:01:46.919502,0:00:05.524640,yes,no
180,1.155,0.481,0.0013478660293113683,65.27,90.21,0:01:46.958802,0:00:05.530486,yes,no
181,1.143,0.461,0.0012235870926211624,65.71,90.70,0:01:46.972378,0:00:05.608759,yes,no
182,1.144,0.505,0.0011051746300417477,65.56,90.70,0:01:46.985255,0:00:05.517691,yes,no
183,1.130,0.524,0.0009926578580764268,65.86,91.21,0:01:46.946654,0:00:05.603239,yes,no
184,1.138,0.526,0.0008860645385550515,65.66,91.14,0:01:46.884072,0:00:05.531808,yes,no
185,1.129,0.503,0.0007854209717842264,66.03,90.94,0:01:46.903159,0:00:05.534997,yes,no
186,1.122,0.476,0.0006907519900580866,66.38,91.10,0:01:47.076121,0:00:05.543032,yes,no
187,1.115,0.515,0.0006020809515313173,66.54,90.85,0:01:47.250761,0:00:05.530234,yes,no
188,1.096,0.476,0.0005194297344558538,67.10,91.56,0:01:47.161624,0:00:05.608943,yes,no
189,1.100,0.515,0.00044281873178278225,67.05,91.49,0:01:47.323235,0:00:05.516293,yes,no
190,1.101,0.467,0.0003722668461306535,67.11,91.57,0:01:47.238162,0:00:05.611743,yes,no
