epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used
66,0.697,0.242,0.007612492823579737,66.89,91.59,0:01:59.580023,0:00:06.240006,yes
67,0.701,0.222,0.00754520707875185,66.65,92.27,0:01:59.098581,0:00:06.244119,yes
68,0.690,0.236,0.007477293342162032,67.20,91.85,0:01:59.023080,0:00:06.231723,yes
69,0.686,0.230,0.00740876837050857,67.35,92.32,0:01:59.113167,0:00:06.241293,yes
70,0.692,0.246,0.007339649071302861,66.65,91.81,0:01:59.169847,0:00:06.246082,yes
71,0.689,0.225,0.007269952498697728,66.87,92.27,0:01:59.025637,0:00:06.222265,yes
72,0.702,0.256,0.007199695849279568,66.00,91.42,0:01:58.866078,0:00:06.238272,yes
73,0.678,0.225,0.0071288964578253575,67.81,92.34,0:01:59.226737,0:00:06.276924,yes
74,0.678,0.221,0.007057571793025539,67.63,92.73,0:01:59.191206,0:00:06.543628,yes
75,0.690,0.249,0.006985739453173897,66.59,91.49,0:01:59.181588,0:00:06.247889,yes
76,0.688,0.227,0.006913417161825444,66.76,92.38,0:01:59.115915,0:00:06.231481,yes
77,0.685,0.222,0.0068406227634233855,66.75,92.67,0:01:59.114198,0:00:06.242842,yes
78,0.687,0.228,0.006767374218896281,66.82,92.34,0:01:59.039515,0:00:06.243089,yes
79,0.664,0.215,0.006693689601226453,68.34,92.60,0:01:59.073835,0:00:06.245231,yes
80,0.669,0.211,0.006619587090990743,67.34,92.89,0:01:59.076061,0:00:06.541524,yes
81,0.669,0.230,0.006545084971874733,67.69,92.10,0:01:59.423123,0:00:06.248025,yes
82,0.676,0.232,0.006470201626161516,67.30,92.32,0:01:59.079068,0:00:06.247898,yes
83,0.669,0.216,0.006394955530196143,67.29,92.86,0:01:58.919882,0:00:06.231629,yes
84,0.670,0.231,0.00631936524982686,67.27,92.21,0:01:58.948362,0:00:06.243678,yes
85,0.659,0.211,0.00624344943582427,68.06,92.85,0:01:59.064093,0:00:06.242438,yes
86,0.663,0.208,0.006167226819279525,67.83,92.54,0:01:59.033220,0:00:06.227049,yes
87,0.661,0.234,0.006090716206982711,67.76,91.92,0:01:58.838464,0:00:06.224126,yes
88,0.663,0.230,0.006013936476782561,67.31,92.22,0:01:59.138849,0:00:06.263827,yes
89,0.665,0.223,0.005936906572928622,67.43,92.25,0:01:59.032572,0:00:06.247840,yes
90,0.657,0.237,0.005859645501397045,67.59,92.02,0:01:59.085110,0:00:06.270434,yes
91,0.665,0.220,0.005782172325201152,67.07,92.61,0:01:59.027072,0:00:06.224798,yes
92,0.654,0.205,0.005704506159687911,67.75,92.97,0:01:59.091706,0:00:06.544204,yes
93,0.651,0.223,0.0056266661678215195,67.98,92.52,0:01:59.121975,0:00:06.245060,yes
94,0.659,0.227,0.005548671555455224,67.44,92.18,0:01:59.097619,0:00:06.246189,yes
95,0.649,0.202,0.0054705415665925695,68.12,93.27,0:01:59.382479,0:00:06.514529,yes
96,0.664,0.222,0.005392295478639223,66.82,92.47,0:01:59.116011,0:00:06.248154,yes
97,0.650,0.220,0.005313952597646565,67.72,92.45,0:01:58.931490,0:00:06.223120,yes
98,0.643,0.228,0.00523553225354821,68.15,92.48,0:01:58.829041,0:00:06.222031,yes
99,0.651,0.214,0.005157053795390639,67.44,92.96,0:01:58.820413,0:00:06.219648,yes
100,0.642,0.218,0.005078536586559101,68.22,92.69,0:01:58.825594,0:00:06.221911,yes
101,0.639,0.205,0.004999999999999997,68.27,93.37,0:01:58.813127,0:00:06.515440,yes
102,0.642,0.209,0.004921463413440894,68.07,92.90,0:01:59.120517,0:00:06.278883,yes
103,0.640,0.198,0.004842946204609355,68.13,93.38,0:01:59.125159,0:00:06.507307,yes
104,0.635,0.206,0.004764467746451784,68.22,93.06,0:01:59.288200,0:00:06.223053,yes
105,0.664,0.212,0.00468604740235343,66.34,92.92,0:01:59.228518,0:00:06.245467,yes
106,0.640,0.230,0.004607704521360773,67.87,92.37,0:01:59.221203,0:00:06.241431,yes
107,0.650,0.199,0.0045294584334074255,67.00,93.25,0:01:58.886299,0:00:06.221382,yes
108,0.636,0.208,0.004451328444544771,67.83,93.05,0:01:58.923396,0:00:06.222920,yes
109,0.637,0.207,0.004373333832178476,67.64,92.76,0:01:59.568995,0:00:06.573948,yes
110,0.613,0.212,0.004295493840312086,69.46,92.96,0:01:59.708655,0:00:06.239360,yes
111,0.635,0.216,0.004217827674798844,67.99,92.71,0:01:58.915450,0:00:06.223106,yes
112,0.629,0.215,0.00414035449860295,68.04,92.87,0:01:58.940172,0:00:06.223707,yes
113,0.630,0.205,0.004063093427071376,67.98,93.16,0:01:58.884978,0:00:06.223694,yes
114,0.622,0.208,0.003986063523217437,68.23,93.05,0:01:58.846897,0:00:06.220877,yes
115,0.634,0.198,0.003909283793017288,67.76,93.29,0:01:59.016217,0:00:06.236839,yes
116,0.616,0.195,0.0038327731807204714,68.80,93.35,0:01:59.129126,0:00:06.219567,yes
117,0.641,0.220,0.003756550564175725,66.73,92.60,0:01:59.164948,0:00:06.224168,yes
118,0.623,0.215,0.0036806347501731345,68.30,92.55,0:01:59.332717,0:00:06.230251,yes
119,0.623,0.214,0.003605044469803853,67.79,92.91,0:01:59.109822,0:00:06.227724,yes
120,0.618,0.204,0.00352979837383848,68.37,93.11,0:01:59.244287,0:00:06.248779,yes
121,0.620,0.204,0.0034549150281252636,67.93,93.01,0:01:59.114652,0:00:06.244787,yes
122,0.625,0.203,0.0033804129090092517,67.95,93.13,0:01:59.119864,0:00:06.238493,yes
123,0.611,0.194,0.003306310398773542,68.30,93.60,0:01:59.119346,0:00:06.515908,yes
124,0.611,0.199,0.003232625781103714,68.30,93.29,0:01:59.287916,0:00:06.242344,yes
125,0.622,0.190,0.0031593772365766104,67.64,93.61,0:01:58.966911,0:00:06.516509,yes
126,0.608,0.201,0.0030865828381745515,68.66,93.19,0:01:58.919472,0:00:06.226285,yes
127,0.603,0.205,0.0030142605468260956,68.58,93.12,0:01:58.881519,0:00:06.242690,yes
128,0.614,0.206,0.0029424282069744553,67.92,92.97,0:01:59.076217,0:00:06.244239,yes
129,0.611,0.200,0.002871103542174636,68.06,93.28,0:01:59.070329,0:00:06.243299,yes
130,0.604,0.199,0.0028003041507204235,68.51,93.38,0:01:58.912358,0:00:06.232700,yes
131,0.607,0.194,0.002730047501302266,68.24,93.62,0:01:59.120350,0:00:06.565449,yes
132,0.608,0.198,0.0026603509286971336,68.01,93.38,0:01:59.054591,0:00:06.295653,yes
133,0.607,0.194,0.0025912316294914224,67.97,93.35,0:01:59.059933,0:00:06.246897,yes
134,0.596,0.190,0.0025227066578379616,68.85,93.50,0:01:59.113321,0:00:06.238727,yes
135,0.588,0.196,0.0024547929212481432,69.47,93.45,0:01:58.929254,0:00:06.221077,yes
136,0.593,0.202,0.0023875071764202557,68.97,93.18,0:01:58.772512,0:00:06.244302,yes
137,0.586,0.195,0.0023208660251050153,69.34,93.63,0:01:58.783247,0:00:06.514652,yes
138,0.601,0.196,0.0022548859100093403,68.43,93.49,0:01:59.267919,0:00:06.244501,yes
139,0.609,0.206,0.0021895831107393462,67.41,93.31,0:01:59.011165,0:00:06.226415,yes
140,0.593,0.192,0.002124973739783607,68.37,93.63,0:01:58.798008,0:00:06.231196,yes
141,0.578,0.192,0.0020610737385376348,69.39,93.68,0:01:58.846555,0:00:06.526429,yes
142,0.573,0.194,0.0019978988733705804,69.65,93.50,0:01:59.021235,0:00:06.241992,yes
143,0.582,0.187,0.001935464731735117,69.20,93.67,0:01:59.134610,0:00:06.239321,yes
144,0.592,0.193,0.0018737867183214738,68.29,93.52,0:01:59.114223,0:00:06.247483,yes
145,0.602,0.187,0.001812880051256551,67.83,93.59,0:01:59.161215,0:00:06.244525,yes
146,0.588,0.188,0.001752759758349082,68.19,93.70,0:01:59.262334,0:00:06.520243,yes
147,0.582,0.185,0.0016934406733817413,68.63,93.79,0:01:59.219129,0:00:06.535077,yes
148,0.579,0.188,0.0016349374324511328,69.05,93.70,0:01:59.183697,0:00:06.296508,yes
149,0.578,0.188,0.0015772644703565563,68.86,93.73,0:01:58.937979,0:00:06.227008,yes
150,0.576,0.199,0.0015204360170384284,69.09,93.36,0:01:58.867787,0:00:06.243199,yes
151,0.579,0.189,0.0014644660940672626,68.72,93.62,0:01:59.108045,0:00:06.222396,yes
152,0.584,0.187,0.0014093685111840565,68.32,93.71,0:01:59.054743,0:00:06.329108,yes
153,0.574,0.189,0.0013551568628929432,69.37,93.41,0:01:58.953891,0:00:06.221069,yes
154,0.577,0.187,0.001301844525106951,68.64,93.67,0:01:58.996124,0:00:06.241152,yes
155,0.571,0.186,0.0012494446518477018,68.99,93.69,0:01:59.129095,0:00:06.243076,yes
156,0.574,0.187,0.0011979701719998452,68.90,93.65,0:01:59.094631,0:00:06.243131,yes
157,0.582,0.186,0.001147433786121054,68.18,93.76,0:01:59.135187,0:00:06.243439,yes
158,0.575,0.191,0.001097847963308352,68.68,93.59,0:01:59.135393,0:00:06.239849,yes
159,0.563,0.184,0.0010492249381215478,69.58,93.64,0:01:59.225307,0:00:06.250607,yes
160,0.567,0.186,0.001001576707564547,68.96,93.67,0:01:59.150722,0:00:06.246874,yes
161,0.573,0.182,0.0009549150281252633,68.22,93.87,0:01:59.230190,0:00:06.524941,yes
162,0.555,0.199,0.0009092514128748835,69.77,93.33,0:01:59.161614,0:00:06.246607,yes
163,0.565,0.184,0.0008645971286271914,68.89,93.91,0:01:59.208275,0:00:06.573056,yes
164,0.570,0.184,0.0008209631931586497,68.66,93.72,0:01:58.988332,0:00:06.224716,yes
165,0.557,0.184,0.0007783603724899257,69.66,93.84,0:01:58.849126,0:00:06.247455,yes
166,0.567,0.186,0.0007367991782295402,68.80,93.76,0:01:59.159484,0:00:06.248705,yes
167,0.568,0.187,0.0006962898649802812,68.55,93.73,0:01:59.480342,0:00:06.240567,yes
168,0.556,0.188,0.0006568424278090434,69.38,93.70,0:01:59.096270,0:00:06.234704,yes
169,0.566,0.188,0.0006184665997806821,68.77,93.77,0:01:58.888086,0:00:06.221096,yes
170,0.578,0.187,0.0005811718495565327,67.73,93.76,0:01:58.940743,0:00:06.243414,yes
171,0.556,0.185,0.0005449673790581611,69.35,93.80,0:01:59.156738,0:00:06.242018,yes
172,0.558,0.183,0.0005098621211969223,68.92,93.85,0:01:59.121790,0:00:06.243021,yes
173,0.563,0.185,0.0004758647376699032,68.66,93.73,0:01:59.098720,0:00:06.310238,yes
174,0.557,0.185,0.00044298361682277464,69.25,93.67,0:01:59.337103,0:00:06.263340,yes
175,0.559,0.184,0.0004112268715800954,68.79,93.69,0:01:59.535994,0:00:06.239037,yes
176,0.555,0.183,0.0003806023374435674,69.26,93.80,0:01:59.245580,0:00:06.235668,yes
177,0.548,0.184,0.00035111757055874323,70.00,93.79,0:01:59.178042,0:00:06.251363,yes
178,0.550,0.185,0.0003227798458506631,69.54,93.70,0:01:58.987228,0:00:06.221631,yes
179,0.551,0.182,0.0002955961552288727,69.36,93.94,0:01:58.845914,0:00:06.513852,yes
180,0.548,0.183,0.00026957320586227347,69.71,93.86,0:01:58.805838,0:00:06.233590,yes
181,0.538,0.181,0.0002447174185242323,70.42,93.80,0:01:59.383271,0:00:06.245988,yes
182,0.546,0.182,0.00022103492600834934,69.66,93.75,0:01:58.948534,0:00:06.228408,yes
183,0.550,0.184,0.0001985315716152852,69.08,93.75,0:01:58.826577,0:00:06.229418,yes
184,0.565,0.181,0.00017721290771101014,67.87,93.82,0:01:58.955299,0:00:06.250923,yes
185,0.540,0.182,0.00015708419435684514,70.09,93.80,0:01:58.881990,0:00:06.232304,yes
186,0.543,0.181,0.0001381503980116172,69.78,93.86,0:01:58.949744,0:00:06.231721,yes
187,0.551,0.183,0.00012041619030626336,68.90,93.79,0:01:58.973427,0:00:06.254652,yes
188,0.555,0.182,0.00010388594689117068,68.99,93.80,0:01:59.249170,0:00:06.260143,yes
189,0.558,0.184,8.856374635655638e-05,68.50,93.79,0:01:59.244353,0:00:06.253930,yes
190,0.549,0.182,7.445336922613064e-05,69.16,93.80,0:01:59.077349,0:00:06.224838,yes
191,0.547,0.183,6.155829702431169e-05,69.19,93.68,0:01:59.250356,0:00:06.229807,yes
192,0.539,0.182,4.988171141721231e-05,69.77,93.84,0:01:59.120635,0:00:06.226353,yes
193,0.540,0.182,3.9426493427611173e-05,69.89,93.79,0:01:58.845640,0:00:06.230329,yes
194,0.533,0.183,3.0195222724102018e-05,70.59,93.82,0:01:58.860594,0:00:06.225424,yes
195,0.546,0.184,2.2190176984600013e-05,69.30,93.75,0:01:58.860474,0:00:06.384731,yes
196,0.553,0.182,1.5413331334360176e-05,68.88,93.81,0:01:59.145095,0:00:06.244123,yes
197,0.547,0.181,9.866357858642203e-06,69.09,93.78,0:01:59.065372,0:00:06.233106,yes
198,0.541,0.181,5.5506251901504804e-06,69.67,93.87,0:01:58.845220,0:00:06.235726,yes
199,0.554,0.184,2.467198171341999e-06,68.47,93.81,0:01:58.870745,0:00:06.250716,yes
200,0.554,0.183,6.168375916970613e-07,68.67,93.81,0:01:59.131692,0:00:06.250005,yes
