epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
71,0.727,0.740,0.007269952498697728,76.08,76.62,0:00:59.950090,0:00:02.217810
72,0.727,0.669,0.007199695849279568,76.01,79.12,0:01:00.624776,0:00:02.196273
73,0.733,0.761,0.0071288964578253575,75.74,75.50,0:00:59.641385,0:00:02.196709
74,0.729,0.677,0.007057571793025539,75.69,79.03,0:00:59.649662,0:00:02.193496
75,0.729,0.691,0.006985739453173897,75.75,78.00,0:00:59.825786,0:00:02.219248
76,0.724,0.677,0.006913417161825444,75.91,78.65,0:00:59.922143,0:00:02.226718
77,0.720,0.674,0.0068406227634233855,76.18,78.60,0:00:59.933141,0:00:02.214629
78,0.718,0.671,0.006767374218896281,76.31,78.89,0:00:59.929878,0:00:02.224154
79,0.722,0.718,0.006693689601226453,76.18,77.83,0:01:00.019000,0:00:02.220272
80,0.713,0.699,0.006619587090990743,76.52,77.76,0:00:59.805206,0:00:02.225708
81,0.714,0.715,0.006545084971874733,76.33,77.64,0:00:59.862665,0:00:02.192924
82,0.715,0.687,0.006470201626161516,76.44,78.73,0:00:59.880833,0:00:02.204158
83,0.711,0.684,0.006394955530196143,76.70,79.01,0:01:00.180072,0:00:02.217478
84,0.710,0.666,0.00631936524982686,76.84,79.88,0:00:59.976618,0:00:02.217475
85,0.708,0.694,0.00624344943582427,76.74,77.79,0:00:59.888309,0:00:02.219226
86,0.708,0.656,0.006167226819279525,76.77,79.32,0:00:59.728597,0:00:02.307558
87,0.707,0.721,0.006090716206982711,76.59,77.39,0:00:59.696336,0:00:02.215656
88,0.698,0.716,0.006013936476782561,77.11,77.29,0:00:59.654197,0:00:02.233816
89,0.701,0.700,0.005936906572928622,76.85,78.66,0:00:59.867584,0:00:02.215880
90,0.703,0.690,0.005859645501397045,76.95,78.51,0:00:59.650557,0:00:02.217674
91,0.694,0.685,0.005782172325201152,77.22,77.83,0:00:59.635577,0:00:02.202229
92,0.697,0.676,0.005704506159687911,77.28,78.96,0:00:59.778349,0:00:02.217282
93,0.696,0.676,0.0056266661678215195,77.03,78.74,0:00:59.871252,0:00:02.228480
94,0.690,0.636,0.005548671555455224,77.37,80.35,0:00:59.881372,0:00:02.202894
