epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used
1,1.782,1.642,0.01,25.57,40.08,0:01:04.287240,0:00:02.426969,yes
2,1.596,1.550,0.009999383162408303,33.94,45.17,0:01:03.892347,0:00:02.413553,yes
3,1.480,1.291,0.009997532801828657,39.42,54.67,0:01:03.831405,0:00:02.397795,yes
4,1.397,1.168,0.00999444937480985,42.79,60.73,0:01:04.377319,0:00:02.406275,yes
5,1.338,1.066,0.009990133642141357,44.81,63.50,0:01:03.803143,0:00:02.420878,yes
6,1.287,1.045,0.009984586668665639,46.67,65.06,0:01:03.837098,0:00:02.410320,yes
7,1.252,1.010,0.009977809823015398,48.24,66.74,0:01:03.873831,0:00:02.389453,yes
8,1.200,0.924,0.009969804777275897,50.34,70.15,0:01:03.884203,0:00:02.409125,yes
9,1.176,0.815,0.009960573506572387,50.86,73.78,0:01:03.821899,0:00:02.403049,yes
10,1.141,0.830,0.009950118288582784,52.55,73.72,0:01:03.920803,0:00:02.407420,yes
11,1.132,0.916,0.009938441702975684,52.42,70.18,0:01:03.976728,0:00:02.381840,yes
12,1.115,0.833,0.009925546630773864,53.15,74.31,0:01:04.043105,0:00:02.414696,yes
13,1.098,0.785,0.009911436253643439,53.71,75.49,0:01:03.980179,0:00:02.396132,yes
14,1.080,0.845,0.009896114053108824,54.34,73.13,0:01:04.077069,0:00:02.404384,yes
15,1.061,0.788,0.009879583809693733,55.02,74.55,0:01:04.025141,0:00:02.400557,yes
16,1.062,0.812,0.009861849601988378,54.77,74.14,0:01:03.862778,0:00:02.401953,yes
17,1.052,0.749,0.00984291580564315,54.96,76.91,0:01:03.894626,0:00:02.408837,yes
18,1.032,0.736,0.009822787092288985,56.05,76.79,0:01:03.650088,0:00:02.404786,yes
19,1.023,0.703,0.00980146842838471,56.64,78.49,0:01:03.761724,0:00:02.419217,yes
20,1.015,0.690,0.009778965073991645,56.29,78.58,0:01:03.832981,0:00:02.416031,yes
21,1.014,0.742,0.009755282581475762,56.28,76.75,0:01:03.381102,0:00:02.327592,yes
22,1.002,0.730,0.00973042679413772,56.91,77.54,0:01:03.310068,0:00:02.327258,yes
23,0.991,0.675,0.00970440384477112,57.42,79.08,0:01:03.243370,0:00:02.356492,yes
24,1.008,0.716,0.00967722015414933,55.98,77.45,0:01:03.257572,0:00:02.349797,yes
25,0.998,0.731,0.00964888242944125,56.41,76.57,0:01:03.510842,0:00:02.346599,yes
26,0.995,0.667,0.009619397662556426,56.55,79.46,0:01:03.448589,0:00:02.359588,yes
27,0.986,0.664,0.009588773128419898,56.81,79.68,0:01:03.415247,0:00:02.361885,yes
28,0.971,0.637,0.009557016383177219,57.37,80.33,0:01:03.405214,0:00:02.363285,yes
29,0.975,0.699,0.009524135262330091,57.13,78.42,0:01:03.250746,0:00:02.344542,yes
30,0.964,0.640,0.009490137878803071,57.66,80.78,0:01:03.422533,0:00:02.365259,yes
31,0.965,0.692,0.009455032620941833,57.20,78.81,0:01:04.164920,0:00:02.343026,yes
32,0.948,0.669,0.009418828150443462,58.21,79.51,0:01:03.434815,0:00:02.342977,yes
33,0.961,0.693,0.009381533400219312,57.44,79.09,0:01:03.445133,0:00:02.344390,yes
34,0.945,0.646,0.00934315757219095,58.49,80.80,0:01:03.362586,0:00:02.359643,yes
35,0.955,0.681,0.009303710135019712,57.46,79.70,0:01:03.469386,0:00:02.345947,yes
36,0.944,0.673,0.009263200821770455,58.28,80.12,0:01:03.181295,0:00:02.325268,yes
37,0.948,0.649,0.009221639627510068,57.82,80.26,0:01:03.397647,0:00:02.320964,yes
38,0.941,0.680,0.009179036806841345,57.94,79.70,0:01:03.271554,0:00:02.329019,yes
39,0.926,0.662,0.009135402871372801,59.05,79.76,0:01:03.417917,0:00:02.346634,yes
40,0.926,0.613,0.00909074858712511,58.79,81.30,0:01:03.439006,0:00:02.363024,yes
41,0.929,0.628,0.00904508497187473,58.21,81.24,0:01:03.477027,0:00:02.329304,yes
42,0.932,0.645,0.008998423292435446,58.31,80.81,0:01:03.389489,0:00:02.347298,yes
43,0.930,0.640,0.008950775061878443,58.00,81.36,0:01:03.308991,0:00:02.341102,yes
44,0.920,0.729,0.008902152036691641,58.62,77.42,0:01:03.379114,0:00:02.331737,yes
45,0.918,0.579,0.008852566213878938,59.00,83.02,0:01:03.389640,0:00:02.343550,yes
46,0.907,0.601,0.008802029828000147,59.47,82.93,0:01:03.208240,0:00:02.323485,yes
47,0.913,0.637,0.00875055534815229,59.06,81.05,0:01:03.145757,0:00:02.325190,yes
48,0.906,0.602,0.008698155474893039,59.72,82.11,0:01:03.191745,0:00:02.324607,yes
49,0.914,0.598,0.008644843137107049,58.46,82.89,0:01:03.136251,0:00:02.326708,yes
50,0.913,0.565,0.008590631488815935,58.39,83.87,0:01:03.356928,0:00:02.347630,yes
51,0.897,0.612,0.008535533905932728,59.45,81.38,0:01:03.120270,0:00:02.329211,yes
52,0.900,0.608,0.008479563982961562,59.33,82.01,0:01:03.098165,0:00:02.320502,yes
53,0.907,0.587,0.008422735529643434,58.54,82.81,0:01:03.113616,0:00:02.324291,yes
54,0.892,0.618,0.008365062567548856,59.71,82.42,0:01:03.193945,0:00:02.343723,yes
55,0.888,0.648,0.00830655932661825,59.96,80.25,0:01:03.105296,0:00:02.325738,yes
56,0.891,0.681,0.008247240241650909,59.89,79.28,0:01:03.111859,0:00:02.325163,yes
57,0.877,0.601,0.00818711994874344,60.33,82.48,0:01:03.094200,0:00:02.325201,yes
58,0.886,0.617,0.008126213281678518,59.64,81.87,0:01:03.373426,0:00:02.458840,yes
59,0.891,0.640,0.008064535268264873,59.32,80.82,0:01:03.719506,0:00:02.322953,yes
60,0.875,0.580,0.008002101126629411,60.17,83.02,0:01:03.202180,0:00:02.349641,yes
61,0.878,0.591,0.007938926261462358,59.99,82.75,0:01:03.408210,0:00:02.343760,yes
62,0.880,0.585,0.007875026260216385,59.77,83.03,0:01:03.203512,0:00:02.324518,yes
63,0.870,0.599,0.007810416889260647,60.40,82.20,0:01:03.290649,0:00:02.342964,yes
64,0.866,0.583,0.007745114089990651,60.70,83.07,0:01:03.543251,0:00:02.336850,yes
65,0.868,0.550,0.007679133974894975,60.56,83.87,0:01:03.205257,0:00:02.424484,yes
66,0.867,0.566,0.007612492823579737,60.28,83.29,0:01:03.385596,0:00:02.333780,yes
67,0.872,0.600,0.00754520707875185,59.91,82.46,0:01:03.489169,0:00:02.348551,yes
68,0.864,0.645,0.007477293342162032,60.52,81.05,0:01:03.323828,0:00:02.347146,yes
69,0.865,0.556,0.00740876837050857,60.45,83.64,0:01:03.425103,0:00:02.346041,yes
70,0.866,0.559,0.007339649071302861,60.26,83.77,0:01:03.508124,0:00:02.342902,yes
71,0.864,0.570,0.007269952498697728,60.27,83.17,0:01:03.487134,0:00:02.323536,yes
72,0.864,0.555,0.007199695849279568,59.91,83.61,0:01:03.269996,0:00:02.346427,yes
73,0.864,0.549,0.0071288964578253575,60.02,84.24,0:01:03.189268,0:00:02.336319,yes
74,0.863,0.569,0.007057571793025539,59.97,83.59,0:01:03.097785,0:00:02.325536,yes
75,0.854,0.589,0.006985739453173897,60.66,82.43,0:01:03.097315,0:00:02.324819,yes
76,0.842,0.568,0.006913417161825444,61.71,83.86,0:01:03.074229,0:00:02.324129,yes
77,0.850,0.577,0.0068406227634233855,60.79,83.89,0:01:03.255012,0:00:02.344606,yes
78,0.851,0.560,0.006767374218896281,60.95,84.05,0:01:03.198680,0:00:02.331949,yes
79,0.848,0.533,0.006693689601226453,60.96,84.62,0:01:03.105933,0:00:02.340858,yes
80,0.858,0.548,0.006619587090990743,59.60,84.23,0:01:03.116705,0:00:02.321900,yes
81,0.843,0.566,0.006545084971874733,60.91,83.58,0:01:03.241315,0:00:02.325539,yes
82,0.835,0.586,0.006470201626161516,61.42,83.31,0:01:03.064365,0:00:02.320081,yes
83,0.848,0.557,0.006394955530196143,60.35,84.02,0:01:03.148796,0:00:02.341862,yes
84,0.824,0.525,0.00631936524982686,62.25,85.19,0:01:03.370697,0:00:02.354831,yes
85,0.838,0.582,0.00624344943582427,60.81,82.66,0:01:03.350440,0:00:02.325837,yes
86,0.835,0.549,0.006167226819279525,61.29,84.34,0:01:04.002404,0:00:02.323963,yes
87,0.841,0.538,0.006090716206982711,60.92,84.86,0:01:03.227560,0:00:02.342473,yes
88,0.836,0.563,0.006013936476782561,61.14,84.30,0:01:03.445721,0:00:02.342947,yes
89,0.831,0.543,0.005936906572928622,61.12,84.88,0:01:03.263088,0:00:02.324233,yes
90,0.835,0.511,0.005859645501397045,60.74,85.67,0:01:03.137813,0:00:02.338004,yes
91,0.842,0.570,0.005782172325201152,60.25,83.78,0:01:03.360920,0:00:02.324308,yes
92,0.817,0.512,0.005704506159687911,61.88,85.75,0:01:03.450343,0:00:02.359525,yes
