epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.770,1.604,0.01,32.05,41.59,0:01:03.699390,0:00:02.318359
2,1.455,1.243,0.009999383162408303,46.17,54.88,0:01:03.567380,0:00:02.326439
3,1.267,1.091,0.009997532801828657,54.08,62.52,0:01:03.437703,0:00:02.303357
4,1.141,1.115,0.00999444937480985,59.52,62.29,0:01:03.246011,0:00:02.312956
5,1.062,1.075,0.009990133642141357,63.01,64.30,0:01:03.457026,0:00:02.334002
6,1.010,0.981,0.009984586668665639,64.76,67.18,0:01:03.424809,0:00:02.308482
7,0.958,0.838,0.009977809823015398,66.93,72.23,0:01:03.293493,0:00:02.318906
8,0.909,0.873,0.009969804777275897,68.87,70.79,0:01:03.145096,0:00:02.289749
9,0.878,0.834,0.009960573506572387,70.04,72.87,0:01:02.915872,0:00:02.299320
10,0.848,0.810,0.009950118288582784,71.38,74.08,0:01:03.214245,0:00:02.300105
11,0.824,0.744,0.009938441702975684,72.13,75.99,0:01:02.981829,0:00:02.307207
12,0.799,0.741,0.009925546630773864,73.18,76.64,0:01:03.274059,0:00:02.319903
13,0.788,0.750,0.009911436253643439,73.70,75.93,0:01:03.281608,0:00:02.319613
14,0.766,0.751,0.009896114053108824,74.54,75.84,0:01:03.360797,0:00:02.295563
15,0.756,0.772,0.009879583809693733,74.92,75.58,0:01:03.174142,0:00:02.317020
16,0.742,0.729,0.009861849601988378,75.40,76.85,0:01:03.400136,0:00:02.330478
17,0.734,0.685,0.00984291580564315,75.81,78.30,0:01:03.248361,0:00:02.319881
18,0.723,0.673,0.009822787092288985,76.07,78.89,0:01:03.222752,0:00:02.318920
19,0.715,0.634,0.00980146842838471,76.40,80.51,0:01:03.274924,0:00:02.322187
20,0.700,0.702,0.009778965073991645,77.12,77.79,0:01:03.354503,0:00:02.318981
21,0.689,0.642,0.009755282581475762,77.08,79.78,0:01:03.224140,0:00:02.314075
22,0.686,0.652,0.00973042679413772,77.28,80.18,0:01:03.924224,0:00:02.296583
23,0.683,0.601,0.00970440384477112,77.80,81.07,0:01:03.125307,0:00:02.320970
24,0.676,0.649,0.00967722015414933,77.77,80.28,0:01:03.303960,0:00:02.318952
25,0.668,0.675,0.00964888242944125,78.01,79.28,0:01:03.085356,0:00:02.296114
26,0.662,0.642,0.009619397662556426,78.36,80.19,0:01:03.122550,0:00:02.306877
27,0.661,0.594,0.009588773128419898,78.33,81.83,0:01:03.349577,0:00:02.308586
28,0.658,0.648,0.009557016383177219,78.40,79.96,0:01:03.416830,0:00:02.302882
29,0.649,0.576,0.009524135262330091,78.75,82.10,0:01:03.174166,0:00:02.319363
30,0.651,0.654,0.009490137878803071,78.75,79.72,0:01:03.236301,0:00:02.295886
31,0.642,0.635,0.009455032620941833,79.07,80.36,0:01:03.137808,0:00:02.295319
32,0.640,0.603,0.009418828150443462,79.47,81.13,0:01:03.974474,0:00:02.441127
33,0.637,0.600,0.009381533400219312,79.28,81.91,0:01:04.479999,0:00:02.325217
34,0.631,0.637,0.00934315757219095,79.38,80.26,0:01:03.962438,0:00:02.302287
35,0.626,0.606,0.009303710135019712,79.87,81.52,0:01:06.533067,0:00:02.396232
36,0.626,0.585,0.009263200821770455,79.69,82.15,0:01:03.028749,0:00:02.303739
37,0.613,0.632,0.009221639627510068,80.10,80.47,0:01:02.906230,0:00:02.292092
38,0.610,0.646,0.009179036806841345,80.22,80.05,0:01:03.006815,0:00:02.295811
39,0.615,0.610,0.009135402871372801,80.16,81.34,0:01:03.002270,0:00:02.319856
40,0.610,0.628,0.00909074858712511,80.38,80.60,0:01:03.426730,0:00:02.315418
41,0.609,0.595,0.00904508497187473,80.32,82.14,0:01:03.032303,0:00:02.290898
42,0.607,0.591,0.008998423292435446,80.46,82.33,0:01:03.284650,0:00:02.318763
43,0.600,0.566,0.008950775061878443,80.77,82.82,0:01:03.249496,0:00:02.313908
44,0.597,0.574,0.008902152036691641,80.75,82.39,0:01:03.335989,0:00:02.314402
45,0.598,0.540,0.008852566213878938,80.91,83.82,0:01:03.064747,0:00:02.299402
46,0.592,0.554,0.008802029828000147,81.00,82.93,0:01:03.092764,0:00:02.293915
47,0.592,0.604,0.00875055534815229,80.94,81.72,0:01:03.029942,0:00:02.306111
48,0.589,0.511,0.008698155474893039,81.07,84.70,0:01:03.251861,0:00:02.315804
49,0.590,0.569,0.008644843137107049,81.11,82.46,0:01:03.872054,0:00:02.394445
50,0.583,0.609,0.008590631488815935,81.42,81.79,0:01:03.125467,0:00:02.307777
51,0.585,0.536,0.008535533905932728,81.43,83.98,0:01:02.895127,0:00:02.307855
52,0.583,0.578,0.008479563982961562,81.49,82.57,0:01:03.359832,0:00:02.321205
53,0.581,0.561,0.008422735529643434,81.27,82.89,0:01:03.205018,0:00:02.313226
54,0.575,0.539,0.008365062567548856,81.51,84.09,0:01:03.271247,0:00:02.313674
55,0.570,0.541,0.00830655932661825,81.73,83.74,0:01:04.759931,0:00:02.318019
56,0.565,0.545,0.008247240241650909,82.10,83.47,0:01:03.384734,0:00:02.310339
57,0.571,0.536,0.00818711994874344,81.87,84.05,0:01:03.187460,0:00:02.295898
58,0.571,0.524,0.008126213281678518,81.88,84.61,0:01:03.223999,0:00:02.291967
59,0.564,0.533,0.008064535268264873,82.19,83.67,0:01:03.244128,0:00:02.303624
60,0.560,0.570,0.008002101126629411,82.26,82.98,0:01:03.232031,0:00:02.290636
61,0.559,0.540,0.007938926261462358,82.18,83.06,0:01:03.314805,0:00:02.313818
62,0.557,0.532,0.007875026260216385,82.42,84.15,0:01:03.421828,0:00:02.313024
63,0.558,0.534,0.007810416889260647,82.46,83.85,0:01:03.338534,0:00:02.312309
64,0.556,0.509,0.007745114089990651,82.29,84.87,0:01:03.149284,0:00:02.307419
65,0.555,0.528,0.007679133974894975,82.29,84.60,0:01:03.039242,0:00:02.296318
66,0.553,0.563,0.007612492823579737,82.55,83.01,0:01:03.002098,0:00:02.297268
67,0.548,0.528,0.00754520707875185,82.49,84.41,0:01:03.037348,0:00:02.313805
68,0.548,0.543,0.007477293342162032,82.64,83.72,0:01:03.312450,0:00:02.297063
69,0.545,0.538,0.00740876837050857,82.71,83.87,0:01:02.897500,0:00:02.290178
70,0.546,0.498,0.007339649071302861,82.70,85.29,0:01:02.985431,0:00:02.301861
71,0.542,0.527,0.007269952498697728,82.93,84.49,0:01:02.952438,0:00:02.289210
72,0.537,0.538,0.007199695849279568,83.24,83.77,0:01:03.059660,0:00:02.292202
73,0.538,0.541,0.0071288964578253575,82.94,84.09,0:01:02.932904,0:00:02.291936
74,0.533,0.514,0.007057571793025539,83.23,84.97,0:01:03.051348,0:00:02.320126
75,0.535,0.501,0.006985739453173897,83.17,84.82,0:01:03.313774,0:00:02.309387
76,0.528,0.508,0.006913417161825444,83.35,84.84,0:01:03.291834,0:00:02.305793
77,0.534,0.512,0.0068406227634233855,83.31,84.89,0:01:03.906331,0:00:02.290550
78,0.530,0.500,0.006767374218896281,83.36,85.04,0:01:03.239578,0:00:02.324375
79,0.524,0.570,0.006693689601226453,83.42,82.85,0:01:03.225964,0:00:02.310219
80,0.518,0.531,0.006619587090990743,83.79,84.52,0:01:03.263318,0:00:02.313243
81,0.517,0.528,0.006545084971874733,83.78,84.03,0:01:03.260096,0:00:02.288222
82,0.520,0.510,0.006470201626161516,83.70,84.62,0:01:03.114423,0:00:02.296392
83,0.511,0.498,0.006394955530196143,84.14,84.80,0:01:03.122878,0:00:02.295543
84,0.515,0.490,0.00631936524982686,83.88,85.44,0:01:03.284177,0:00:02.319656
85,0.515,0.490,0.00624344943582427,83.85,85.56,0:01:03.465627,0:00:02.323604
86,0.512,0.494,0.006167226819279525,84.11,85.51,0:01:03.361848,0:00:02.318681
87,0.512,0.500,0.006090716206982711,84.00,85.16,0:01:03.243505,0:00:02.293186
88,0.503,0.483,0.006013936476782561,84.35,85.40,0:01:03.393360,0:00:02.292924
89,0.501,0.563,0.005936906572928622,84.51,83.00,0:01:03.199469,0:00:02.309810
90,0.500,0.513,0.005859645501397045,84.38,85.04,0:01:03.325635,0:00:02.316339
91,0.499,0.511,0.005782172325201152,84.30,84.69,0:01:02.932092,0:00:02.288640
92,0.497,0.505,0.005704506159687911,84.42,85.09,0:01:02.972013,0:00:02.288447
93,0.497,0.460,0.0056266661678215195,84.49,86.03,0:01:02.910366,0:00:02.300639
94,0.496,0.497,0.005548671555455224,84.65,85.07,0:01:03.026679,0:00:02.294144
95,0.493,0.510,0.0054705415665925695,84.83,85.01,0:01:03.199361,0:00:02.310165
96,0.489,0.500,0.005392295478639223,84.96,85.29,0:01:03.355849,0:00:02.309047
97,0.489,0.512,0.005313952597646565,84.88,84.84,0:01:03.240493,0:00:02.308792
98,0.488,0.485,0.00523553225354821,84.98,85.42,0:01:03.078697,0:00:02.288854
99,0.486,0.506,0.005157053795390639,85.16,85.09,0:01:02.985192,0:00:02.312893
100,0.482,0.505,0.005078536586559101,85.27,85.01,0:01:03.225458,0:00:02.292705
101,0.484,0.464,0.004999999999999997,85.11,86.19,0:01:02.979278,0:00:02.303208
102,0.481,0.485,0.004921463413440894,85.15,85.91,0:01:02.968808,0:00:02.292731
103,0.479,0.471,0.004842946204609355,85.23,86.54,0:01:02.915412,0:00:02.295133
104,0.477,0.459,0.004764467746451784,85.48,86.68,0:01:03.840992,0:00:02.320050
105,0.474,0.473,0.00468604740235343,85.52,86.32,0:01:03.047304,0:00:02.309832
106,0.471,0.461,0.004607704521360773,85.55,86.64,0:01:03.231750,0:00:02.289483
107,0.469,0.475,0.0045294584334074255,85.87,85.91,0:01:02.918056,0:00:02.306476
108,0.472,0.487,0.004451328444544771,85.71,85.71,0:01:03.324087,0:00:02.309649
109,0.466,0.469,0.004373333832178476,85.80,86.09,0:01:03.298430,0:00:02.312514
110,0.462,0.455,0.004295493840312086,86.10,86.94,0:01:03.496837,0:00:02.306021
111,0.464,0.462,0.004217827674798844,85.92,86.58,0:01:03.140129,0:00:02.288168
112,0.458,0.474,0.00414035449860295,86.06,86.25,0:01:03.307153,0:00:02.310217
113,0.454,0.466,0.004063093427071376,86.15,86.32,0:01:03.323275,0:00:02.290194
114,0.456,0.458,0.003986063523217437,86.16,86.61,0:01:03.411695,0:00:02.296877
115,0.452,0.459,0.003909283793017288,86.24,86.83,0:01:03.431152,0:00:02.299613
116,0.455,0.437,0.0038327731807204714,86.24,87.27,0:01:03.470756,0:00:02.311549
117,0.448,0.459,0.003756550564175725,86.60,86.87,0:01:03.243377,0:00:02.311072
118,0.452,0.443,0.0036806347501731345,86.28,87.22,0:01:03.397861,0:00:02.308750
119,0.445,0.457,0.003605044469803853,86.71,86.35,0:01:03.240693,0:00:02.307388
120,0.446,0.450,0.00352979837383848,86.50,87.53,0:01:03.078946,0:00:02.297626
121,0.442,0.482,0.0034549150281252636,86.64,85.47,0:01:02.908985,0:00:02.286992
122,0.438,0.441,0.0033804129090092517,87.05,87.34,0:01:02.976986,0:00:02.294060
123,0.438,0.455,0.003306310398773542,86.90,86.85,0:01:02.986436,0:00:02.305729
124,0.435,0.425,0.003232625781103714,87.02,87.89,0:01:03.239815,0:00:02.294829
125,0.432,0.441,0.0031593772365766104,87.17,87.30,0:01:02.816864,0:00:02.289801
126,0.434,0.428,0.0030865828381745515,87.05,87.83,0:01:02.929177,0:00:02.295042
127,0.430,0.434,0.0030142605468260956,87.27,87.47,0:01:02.925036,0:00:02.290748
128,0.426,0.431,0.0029424282069744553,87.26,87.58,0:01:03.052074,0:00:02.291472
129,0.426,0.461,0.002871103542174636,87.35,86.79,0:01:03.144348,0:00:02.290041
130,0.420,0.435,0.0028003041507204235,87.58,87.45,0:01:03.065057,0:00:02.289281
131,0.425,0.433,0.002730047501302266,87.28,87.97,0:01:03.013363,0:00:02.319179
132,0.417,0.422,0.0026603509286971336,87.68,88.33,0:01:03.915525,0:00:02.317333
133,0.418,0.440,0.0025912316294914224,87.81,87.58,0:01:03.011287,0:00:02.289059
134,0.417,0.424,0.0025227066578379616,87.68,88.10,0:01:03.060926,0:00:02.316603
135,0.411,0.423,0.0024547929212481432,87.97,88.00,0:01:02.940361,0:00:02.288663
136,0.411,0.410,0.0023875071764202557,87.90,88.53,0:01:03.019004,0:00:02.296289
137,0.410,0.412,0.0023208660251050153,87.99,88.45,0:01:03.075008,0:00:02.308774
138,0.403,0.430,0.0022548859100093403,88.21,87.68,0:01:03.533188,0:00:02.311338
139,0.402,0.417,0.0021895831107393462,88.25,88.52,0:01:03.342754,0:00:02.290344
140,0.403,0.421,0.002124973739783607,88.12,88.31,0:01:03.290737,0:00:02.294372
141,0.402,0.435,0.0020610737385376348,88.45,87.77,0:01:03.377675,0:00:02.308351
142,0.397,0.425,0.0019978988733705804,88.44,88.19,0:01:03.354506,0:00:02.290860
143,0.396,0.418,0.001935464731735117,88.61,88.39,0:01:03.255816,0:00:02.289043
144,0.392,0.401,0.0018737867183214738,88.73,88.63,0:01:03.256782,0:00:02.299912
145,0.392,0.419,0.001812880051256551,88.63,88.15,0:01:03.204985,0:00:02.312336
146,0.388,0.406,0.001752759758349082,88.87,88.85,0:01:03.346946,0:00:02.318335
147,0.383,0.410,0.0016934406733817413,89.03,88.75,0:01:03.288897,0:00:02.308153
148,0.382,0.414,0.0016349374324511328,89.13,88.26,0:01:03.365908,0:00:02.311305
149,0.383,0.403,0.0015772644703565563,89.02,88.78,0:01:03.237827,0:00:02.316415
150,0.379,0.396,0.0015204360170384284,89.07,89.09,0:01:03.328269,0:00:02.318156
151,0.376,0.414,0.0014644660940672626,89.34,88.58,0:01:03.083537,0:00:02.285369
152,0.373,0.389,0.0014093685111840565,89.40,89.02,0:01:03.029662,0:00:02.287730
153,0.376,0.402,0.0013551568628929432,89.39,88.99,0:01:03.091244,0:00:02.307426
