epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.310,2.339,0.05,15.79,14.74,0:01:39.047796,0:00:06.459325,yes,no
2,2.163,2.195,0.04998766400914329,18.83,21.15,0:01:38.535494,0:00:06.442905,yes,no
3,2.123,2.369,0.04995066821070679,20.74,19.90,0:01:38.480777,0:00:06.325969,yes,no
4,2.095,2.330,0.049889049115077,22.28,20.17,0:01:38.339535,0:00:06.310039,yes,no
5,2.072,2.357,0.04980286753286195,23.11,15.66,0:01:38.374360,0:00:06.335720,yes,no
6,2.062,1.884,0.04969220851487844,23.73,30.51,0:01:38.139082,0:00:06.367030,yes,no
7,2.043,2.475,0.04955718126821722,24.81,14.94,0:01:38.182177,0:00:06.313111,yes,no
8,2.036,2.103,0.049397919048468686,25.21,22.38,0:01:38.445888,0:00:06.255419,yes,no
9,2.028,1.993,0.04921457902821578,25.51,26.12,0:01:39.186121,0:00:06.265212,yes,no
10,2.020,1.886,0.04900734214192358,26.11,31.87,0:01:38.243012,0:00:06.407924,yes,no
11,2.017,2.314,0.048776412907378844,26.25,21.90,0:01:38.123375,0:00:06.285256,yes,no
12,2.011,2.080,0.04852201922385564,26.39,22.45,0:01:41.101046,0:00:06.271579,yes,no
13,2.004,2.019,0.04824441214720629,27.05,24.90,0:01:46.445395,0:00:06.246869,yes,no
14,1.996,2.127,0.04794386564209953,27.43,22.53,0:01:37.590423,0:00:06.245278,yes,no
15,1.993,2.356,0.04762067631165049,27.73,22.68,0:01:37.605506,0:00:06.245140,yes,no
16,1.995,2.437,0.0472751631047092,27.54,20.05,0:01:37.818502,0:00:06.298049,yes,no
17,1.987,2.474,0.046907667001096595,27.95,16.55,0:01:37.992541,0:00:06.269063,yes,no
18,1.982,2.164,0.0465185506750986,28.49,22.58,0:01:41.689903,0:00:06.276252,yes,no
19,1.982,2.335,0.04610819813755039,28.29,19.64,0:01:45.049918,0:00:06.301085,yes,no
20,1.984,3.514,0.04567701435686406,28.19,17.47,0:02:23.915784,0:00:11.020960,yes,no
21,1.982,2.672,0.045225424859373704,28.51,15.27,0:02:42.834642,0:00:09.672406,yes,no
22,1.971,2.100,0.044753875309392274,28.83,23.86,0:02:37.753684,0:00:11.011015,yes,no
23,1.970,4.020,0.04426283106939475,28.80,10.02,0:02:26.533235,0:00:06.396786,yes,no
24,1.973,2.060,0.04375277674076151,28.84,27.20,0:01:44.372482,0:00:06.242644,yes,no
25,1.967,14.638,0.043224215685535305,29.09,10.05,0:01:41.872226,0:00:06.268488,yes,no
26,1.971,2.585,0.0426776695296637,28.91,20.85,0:01:40.880520,0:00:06.257979,yes,no
27,1.961,2.146,0.04211367764821723,29.39,19.69,0:01:37.828882,0:00:06.245172,yes,no
28,1.968,11.232,0.04153279663309131,29.08,10.38,0:01:41.503562,0:00:06.259809,yes,no
29,1.970,1.873,0.04093559974371726,28.99,27.29,0:01:41.561084,0:00:06.239814,yes,no
30,1.970,2.237,0.04032267634132443,29.16,23.68,0:01:37.702248,0:00:06.253107,yes,no
31,1.966,1.949,0.03969463130731185,29.38,30.41,0:01:41.239881,0:00:06.244134,yes,no
32,1.949,2.569,0.03905208444630329,29.85,17.32,0:01:37.916857,0:00:06.270079,yes,no
33,1.958,3.048,0.03839566987447493,29.60,9.93,0:01:37.818336,0:00:06.237017,yes,no
34,1.960,3.434,0.0377260353937593,29.63,10.42,0:01:37.953629,0:00:06.271670,yes,no
35,1.960,2.056,0.0370438418525429,29.73,26.57,0:01:37.955028,0:00:06.270624,yes,no
36,1.952,2.158,0.03634976249348869,30.08,24.39,0:01:37.898387,0:00:06.281949,yes,no
37,1.947,2.004,0.03564448228912683,30.33,27.20,0:01:37.963923,0:00:06.276338,yes,no
38,1.946,2.369,0.03492869726586953,30.38,19.11,0:01:37.942733,0:00:06.268493,yes,no
39,1.947,2.534,0.03420311381711697,30.35,16.05,0:01:41.210926,0:00:06.310532,yes,no
40,1.946,2.134,0.03346844800613231,30.36,24.71,0:01:37.925274,0:00:06.239223,yes,no
41,1.952,2.016,0.03272542485937371,29.99,26.52,0:01:38.816732,0:00:06.435940,yes,no
42,1.945,1.932,0.03197477765098076,30.54,30.06,0:01:40.253651,0:00:06.322100,yes,no
43,1.940,2.174,0.031217247179121388,30.61,22.60,0:01:44.329537,0:00:06.246547,yes,no
44,1.947,3.314,0.03045358103491359,30.46,15.71,0:01:37.667935,0:00:06.247682,yes,no
45,1.932,1.811,0.02968453286464314,31.05,32.78,0:01:41.538805,0:00:06.498581,yes,no
46,1.939,9.222,0.028910861626005795,30.82,9.82,0:01:40.059077,0:00:06.269655,yes,no
47,1.934,2.200,0.028133330839107632,31.09,28.63,0:01:41.264169,0:00:06.567445,yes,no
48,1.931,1.820,0.027352707832962876,31.12,31.89,0:01:39.836178,0:00:06.743927,yes,no
49,1.930,1.725,0.026569762988232857,31.25,38.95,0:01:42.937759,0:00:06.511404,yes,no
50,1.923,2.075,0.025785268976953227,31.34,23.49,0:01:38.996454,0:00:06.269499,yes,no
51,1.926,1.813,0.02500000000000002,31.37,34.16,0:01:38.271030,0:00:06.267274,yes,no
52,1.925,2.363,0.02421473102304681,31.61,19.97,0:01:41.751498,0:00:06.265898,yes,no
53,1.922,2.322,0.023430237011767184,31.51,26.30,0:01:38.714011,0:00:06.275663,yes,no
54,1.922,1.862,0.022647292167037158,31.81,32.82,0:01:37.818281,0:00:06.240453,yes,no
55,1.904,1.700,0.021866669160892412,32.29,33.36,0:01:37.888122,0:00:06.265586,yes,no
56,1.915,2.096,0.021089138373994242,31.84,25.70,0:01:37.899728,0:00:06.267446,yes,no
57,1.912,2.403,0.0203154671353569,32.23,17.88,0:01:38.498718,0:00:06.269728,yes,no
58,1.914,1.711,0.019546418965086458,32.05,36.96,0:01:38.548756,0:00:06.256238,yes,no
59,1.905,1.829,0.018782752820878643,32.51,32.19,0:01:37.727164,0:00:06.264721,yes,no
60,1.906,2.170,0.018025222349019286,32.49,23.55,0:01:37.811341,0:00:06.265063,yes,no
61,1.909,1.750,0.017274575140626337,32.35,36.46,0:01:37.797343,0:00:06.261165,yes,no
62,1.889,2.109,0.01653155199386773,33.30,25.93,0:01:37.860551,0:00:06.258794,yes,no
63,1.890,1.630,0.015796886182883073,33.08,42.39,0:01:37.891319,0:00:06.377326,yes,no
64,1.890,1.771,0.015071302734130496,33.26,36.71,0:01:37.848095,0:00:06.247774,yes,no
65,1.890,2.440,0.014355517710873197,33.08,26.67,0:01:38.304013,0:00:06.277324,yes,no
