epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,4.415,1.949,0.01,22.92,33.18,0:01:40.262252,0:00:06.439760,no,yes
2,1.792,1.673,0.009999383162408303,33.19,38.20,0:01:39.629477,0:00:06.378910,no,yes
3,1.751,1.622,0.009997532801828657,34.16,38.39,0:01:40.443852,0:00:06.551703,no,yes
4,1.731,1.605,0.00999444937480985,35.32,39.76,0:01:39.859130,0:00:06.384417,no,yes
5,1.706,1.571,0.009990133642141357,36.20,40.80,0:01:39.834163,0:00:06.512511,no,yes
6,1.692,1.557,0.009984586668665639,36.49,42.51,0:01:39.693794,0:00:06.364881,no,yes
7,1.673,1.547,0.009977809823015398,37.50,42.63,0:01:39.862332,0:00:06.423314,no,yes
8,1.661,1.539,0.009969804777275897,38.44,42.56,0:01:39.814882,0:00:06.282207,no,yes
9,1.642,1.533,0.009960573506572387,38.84,43.65,0:01:39.762551,0:00:06.371400,no,yes
10,1.629,1.531,0.009950118288582784,39.30,43.64,0:01:39.775177,0:00:06.349177,no,yes
11,1.618,1.495,0.009938441702975684,39.98,44.03,0:01:40.139289,0:00:06.472969,no,yes
12,1.606,1.490,0.009925546630773864,40.59,45.37,0:01:39.856012,0:00:06.392473,no,yes
13,1.596,1.466,0.009911436253643439,40.95,46.11,0:01:39.547561,0:00:06.365300,no,yes
14,1.584,1.458,0.009896114053108824,41.50,45.76,0:01:39.732377,0:00:06.279354,no,yes
15,1.573,1.440,0.009879583809693733,42.38,47.50,0:01:39.989349,0:00:06.388386,no,yes
16,1.562,1.449,0.009861849601988378,42.57,46.25,0:01:39.551121,0:00:06.248857,no,yes
17,1.551,1.436,0.00984291580564315,42.95,47.25,0:01:39.523783,0:00:06.266169,no,yes
18,1.544,1.427,0.009822787092288985,43.67,47.95,0:01:39.516268,0:00:06.361394,no,yes
19,1.533,1.434,0.00980146842838471,43.78,48.05,0:01:39.613555,0:00:06.378820,no,yes
20,1.527,1.418,0.009778965073991645,44.13,48.59,0:01:39.490086,0:00:06.345298,no,yes
21,1.518,1.367,0.009755282581475762,44.66,50.15,0:01:39.320497,0:00:06.347371,no,yes
22,1.514,1.395,0.00973042679413772,44.79,49.43,0:01:39.689398,0:00:06.357668,no,yes
23,1.501,1.378,0.00970440384477112,45.36,49.55,0:01:39.502802,0:00:06.246776,no,yes
24,1.495,1.372,0.00967722015414933,45.52,50.28,0:01:39.732811,0:00:06.346705,no,yes
25,1.488,1.329,0.00964888242944125,46.07,51.34,0:01:39.710570,0:00:06.368662,no,yes
26,1.485,1.370,0.009619397662556426,45.95,50.38,0:01:39.618247,0:00:06.241638,no,yes
27,1.467,1.374,0.009588773128419898,46.61,50.04,0:01:39.600898,0:00:06.261891,no,yes
28,1.461,1.318,0.009557016383177219,46.92,52.55,0:01:39.546162,0:00:06.363706,no,yes
29,1.457,1.315,0.009524135262330091,46.92,52.51,0:01:42.691890,0:00:06.231036,no,yes
30,1.454,1.300,0.009490137878803071,47.56,53.08,0:01:39.326368,0:00:06.349844,no,yes
31,1.444,1.323,0.009455032620941833,47.72,52.34,0:01:39.314744,0:00:06.240759,no,yes
32,1.433,1.314,0.009418828150443462,48.03,52.66,0:01:39.281549,0:00:06.235332,no,yes
33,1.436,1.330,0.009381533400219312,47.91,52.35,0:01:39.310068,0:00:06.256687,no,yes
34,1.427,1.318,0.00934315757219095,48.32,51.99,0:01:39.595702,0:00:06.261560,no,yes
35,1.421,1.343,0.009303710135019712,48.53,52.03,0:01:39.505387,0:00:06.237357,no,yes
36,1.412,1.308,0.009263200821770455,48.65,52.52,0:01:39.356716,0:00:06.264217,no,yes
37,1.400,1.298,0.009221639627510068,48.98,53.49,0:01:39.497303,0:00:06.368746,no,yes
38,1.409,1.296,0.009179036806841345,49.11,53.30,0:01:39.545810,0:00:06.248972,no,yes
39,1.403,1.296,0.009135402871372801,49.43,53.04,0:01:39.773121,0:00:06.333837,no,yes
40,1.396,1.310,0.00909074858712511,49.68,52.81,0:01:39.586181,0:00:06.313157,no,yes
41,1.393,1.254,0.00904508497187473,49.49,55.00,0:01:39.566619,0:00:06.354572,no,yes
42,1.389,1.287,0.008998423292435446,49.98,54.76,0:01:39.629358,0:00:06.264881,no,yes
43,1.384,1.287,0.008950775061878443,50.21,53.42,0:01:39.702069,0:00:06.247655,no,yes
44,1.381,1.278,0.008902152036691641,49.98,54.13,0:01:39.666824,0:00:06.254781,no,yes
45,1.372,1.261,0.008852566213878938,50.41,55.15,0:01:39.525242,0:00:06.356378,no,yes
46,1.373,1.254,0.008802029828000147,50.38,54.46,0:01:39.529432,0:00:06.256855,no,yes
47,1.367,1.265,0.00875055534815229,50.67,54.61,0:01:39.224035,0:00:06.228622,no,yes
48,1.362,1.251,0.008698155474893039,51.07,54.97,0:01:39.181985,0:00:06.227681,no,yes
49,1.364,1.224,0.008644843137107049,50.45,55.68,0:01:39.198442,0:00:06.347723,no,yes
50,1.363,1.243,0.008590631488815935,50.62,55.07,0:01:39.251752,0:00:06.232915,no,yes
51,1.349,1.214,0.008535533905932728,51.07,56.28,0:01:39.233004,0:00:06.346018,no,yes
52,1.346,1.211,0.008479563982961562,51.43,56.08,0:01:39.424754,0:00:06.250700,no,yes
53,1.350,1.222,0.008422735529643434,51.08,55.76,0:01:39.460725,0:00:06.247072,no,yes
54,1.344,1.223,0.008365062567548856,51.41,55.82,0:01:39.419520,0:00:06.256764,no,yes
55,1.344,1.214,0.00830655932661825,51.82,56.85,0:01:39.476808,0:00:06.339510,no,yes
56,1.341,1.214,0.008247240241650909,51.74,56.56,0:01:39.581283,0:00:06.375995,no,yes
57,1.342,1.221,0.00818711994874344,51.59,56.10,0:01:39.443592,0:00:06.236015,no,yes
58,1.341,1.222,0.008126213281678518,51.67,56.23,0:01:39.481562,0:00:06.236344,no,yes
59,1.334,1.205,0.008064535268264873,51.88,57.00,0:01:39.489124,0:00:06.353866,no,yes
60,1.335,1.231,0.008002101126629411,51.85,56.07,0:01:39.585472,0:00:06.227288,no,yes
61,1.329,1.212,0.007938926261462358,52.12,56.26,0:01:39.412984,0:00:06.236251,no,yes
62,1.332,1.190,0.007875026260216385,52.15,56.91,0:01:39.575045,0:00:06.251096,no,yes
63,1.331,1.234,0.007810416889260647,52.07,55.55,0:01:39.583678,0:00:06.253742,no,yes
64,1.325,1.209,0.007745114089990651,52.36,56.30,0:01:39.301315,0:00:06.237214,no,yes
65,1.323,1.193,0.007679133974894975,52.26,57.24,0:01:39.403099,0:00:06.362431,no,yes
66,1.328,1.190,0.007612492823579737,52.18,56.94,0:01:39.358186,0:00:06.237103,no,yes
67,1.317,1.203,0.00754520707875185,52.66,57.28,0:01:39.254174,0:00:06.337148,no,yes
68,1.322,1.223,0.007477293342162032,52.30,56.63,0:01:39.161413,0:00:06.230699,no,yes
69,1.325,1.219,0.00740876837050857,52.13,56.05,0:01:39.166585,0:00:06.237115,no,yes
70,1.317,1.204,0.007339649071302861,52.60,56.57,0:01:39.166455,0:00:06.226208,no,yes
71,1.317,1.170,0.007269952498697728,52.50,57.97,0:01:39.196711,0:00:06.342897,no,yes
72,1.311,1.209,0.007199695849279568,52.85,56.73,0:01:39.251243,0:00:06.232667,no,yes
73,1.307,1.214,0.0071288964578253575,52.95,56.54,0:01:39.466462,0:00:06.416894,no,yes
74,1.317,1.177,0.007057571793025539,52.60,57.79,0:01:39.750655,0:00:06.235432,no,yes
75,1.307,1.169,0.006985739453173897,52.90,58.26,0:01:39.597764,0:00:06.393796,no,yes
76,1.312,1.157,0.006913417161825444,52.78,58.11,0:01:39.642429,0:00:06.254649,no,yes
77,1.306,1.150,0.0068406227634233855,52.96,58.74,0:01:39.653422,0:00:06.363664,no,yes
78,1.305,1.179,0.006767374218896281,53.30,57.77,0:01:39.406624,0:00:06.229831,no,yes
