epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,4.576,1.953,0.01,22.35,31.51,0:01:39.669673,0:00:06.357857,no,yes
2,1.847,1.743,0.009999901304280686,31.72,36.97,0:01:39.739974,0:00:06.590393,no,yes
3,1.806,1.684,0.009999605221019083,33.14,38.28,0:01:39.543983,0:00:06.531831,no,yes
4,1.776,1.686,0.009999111761904047,34.53,39.04,0:01:39.858116,0:00:06.551140,no,yes
5,1.759,1.656,0.009998420946416502,34.94,38.91,0:01:39.626423,0:00:06.234264,no,yes
6,1.739,1.627,0.00999753280182866,35.73,40.71,0:01:39.166342,0:00:06.619947,no,yes
7,1.722,1.640,0.009996447363202949,36.48,42.25,0:01:39.689427,0:00:06.564134,no,yes
8,1.701,1.644,0.009995164673390627,37.16,41.51,0:01:39.410276,0:00:06.238297,no,yes
9,1.691,1.629,0.009993684783030091,37.50,42.79,0:01:39.461088,0:00:06.545762,no,yes
10,1.677,1.559,0.009992007750544879,38.19,44.02,0:01:39.414441,0:00:06.527638,no,yes
11,1.666,1.594,0.009990133642141361,38.70,43.93,0:01:39.163748,0:00:06.222606,no,yes
12,1.653,1.550,0.009988062531806128,39.05,44.65,0:01:39.180065,0:00:06.545286,no,yes
13,1.640,1.536,0.009985794501303071,39.55,45.12,0:01:39.296270,0:00:06.543378,no,yes
14,1.629,1.549,0.00998332964017015,40.23,44.15,0:01:39.152730,0:00:06.225797,no,yes
15,1.624,1.497,0.009980668045715865,40.35,45.65,0:01:39.078029,0:00:06.527828,no,yes
16,1.609,1.496,0.009977809823015403,41.01,45.92,0:01:39.138088,0:00:06.543302,no,yes
17,1.603,1.459,0.009974755084906504,41.34,47.32,0:01:39.453936,0:00:06.548406,no,yes
18,1.591,1.483,0.009971503951984997,41.89,46.91,0:01:39.413965,0:00:06.251545,no,yes
19,1.585,1.478,0.009968056552600045,42.24,46.51,0:01:39.385529,0:00:06.271575,no,yes
20,1.572,1.472,0.00996441302284907,42.53,45.89,0:01:39.528413,0:00:06.256045,no,yes
21,1.559,1.459,0.009960573506572392,42.79,47.16,0:01:39.697188,0:00:06.231146,no,yes
22,1.548,1.420,0.009956538155347534,43.58,49.01,0:01:39.422074,0:00:06.547241,no,yes
23,1.546,1.460,0.009952307128483258,43.83,48.16,0:01:39.375910,0:00:06.241793,no,yes
24,1.538,1.489,0.009947880593013256,44.04,46.46,0:01:39.399705,0:00:06.253324,no,yes
25,1.528,1.448,0.009943258723689572,44.31,47.07,0:01:39.382466,0:00:06.258438,no,yes
26,1.520,1.400,0.00993844170297569,44.49,49.90,0:01:39.146378,0:00:06.519879,no,yes
27,1.515,1.404,0.009933429721039342,44.90,49.24,0:01:39.076248,0:00:06.233184,no,yes
28,1.509,1.367,0.009928222975744992,45.13,50.69,0:01:39.115780,0:00:06.526509,no,yes
29,1.508,1.431,0.00992282167264603,45.20,48.65,0:01:39.247089,0:00:06.228031,no,yes
30,1.490,1.378,0.00991722602497665,45.76,50.00,0:01:39.364582,0:00:06.255256,no,yes
31,1.486,1.411,0.009911436253643446,45.71,49.25,0:01:39.375115,0:00:06.245084,no,yes
32,1.478,1.353,0.009905452587216671,46.21,51.29,0:01:39.402558,0:00:06.545330,no,yes
33,1.473,1.339,0.009899275261921235,46.53,51.71,0:01:39.523644,0:00:06.536900,no,yes
34,1.466,1.354,0.009892904521627362,46.83,51.00,0:01:39.306331,0:00:06.260983,no,yes
35,1.462,1.328,0.00988634061784097,47.01,51.54,0:01:39.437453,0:00:06.250788,no,yes
36,1.459,1.315,0.00987958380969374,47.20,52.73,0:01:39.323890,0:00:06.563597,no,yes
37,1.446,1.303,0.009872634363932889,47.77,52.02,0:01:39.375885,0:00:06.230655,no,yes
38,1.442,1.332,0.009865492554910635,47.93,51.93,0:01:39.659982,0:00:06.252938,no,yes
39,1.435,1.284,0.009858158664573373,48.08,53.47,0:01:39.353922,0:00:06.554003,no,yes
40,1.430,1.314,0.009850632982450532,48.33,52.50,0:01:39.056462,0:00:06.224470,no,yes
41,1.425,1.318,0.009842915805643159,48.58,52.32,0:01:39.148082,0:00:06.225200,no,yes
42,1.421,1.286,0.009835007438812179,48.51,53.55,0:01:39.043902,0:00:06.524319,no,yes
43,1.422,1.260,0.009826908194166373,48.55,55.21,0:01:39.283443,0:00:06.531776,no,yes
44,1.404,1.274,0.009818618391450052,49.22,53.95,0:01:39.293371,0:00:06.251025,no,yes
45,1.399,1.275,0.009810138357930433,49.39,54.29,0:01:39.285931,0:00:06.241090,no,yes
46,1.396,1.283,0.009801468428384719,49.58,54.08,0:01:39.319893,0:00:06.243835,no,yes
47,1.394,1.264,0.009792608945086883,49.52,54.39,0:01:39.304389,0:00:06.249383,no,yes
48,1.384,1.285,0.009783560257794158,50.13,52.78,0:01:39.224734,0:00:06.223854,no,yes
49,1.381,1.243,0.00977432272373322,50.13,55.25,0:01:39.013628,0:00:06.557144,no,yes
50,1.372,1.219,0.0097648967075861,50.39,55.33,0:01:39.090735,0:00:06.524284,no,yes
51,1.374,1.264,0.009755282581475773,50.16,54.72,0:01:39.143405,0:00:06.229640,no,yes
52,1.365,1.299,0.009745480724951476,50.68,52.66,0:01:39.315267,0:00:06.248662,no,yes
53,1.363,1.208,0.009735491524973723,50.97,56.40,0:01:39.238381,0:00:06.509654,no,yes
54,1.363,1.255,0.009725315375899025,50.84,54.95,0:01:39.326845,0:00:06.261553,no,yes
55,1.362,1.213,0.009714952679464324,50.73,55.74,0:01:39.565923,0:00:06.246551,no,yes
56,1.356,1.204,0.00970440384477113,51.30,56.31,0:01:39.424517,0:00:06.258450,no,yes
57,1.356,1.222,0.009693669288269374,51.18,55.53,0:01:39.282103,0:00:06.244121,no,yes
58,1.357,1.210,0.009682749433740966,51.02,56.21,0:01:39.204223,0:00:06.229361,no,yes
59,1.360,1.223,0.009671644712283064,50.74,56.12,0:01:39.232684,0:00:06.238146,no,yes
60,1.349,1.211,0.009660355562291058,51.43,56.65,0:01:39.109652,0:00:06.529242,no,yes
61,1.347,1.217,0.009648882429441261,51.72,56.06,0:01:39.009611,0:00:06.243437,no,yes
62,1.347,1.206,0.009637225766673311,51.28,56.29,0:01:39.197565,0:00:06.219934,no,yes
63,1.340,1.173,0.009625386034172293,51.74,57.71,0:01:39.316455,0:00:06.515228,no,yes
64,1.343,1.213,0.009613363699350577,51.75,56.01,0:01:39.292832,0:00:06.240026,no,yes
65,1.338,1.197,0.009601159236829354,51.67,57.09,0:01:39.310945,0:00:06.246054,no,yes
66,1.343,1.187,0.009588773128419908,51.68,57.24,0:01:39.267667,0:00:06.240659,no,yes
67,1.334,1.219,0.00957620586310459,51.94,55.50,0:01:39.310263,0:00:06.244456,no,yes
68,1.337,1.227,0.009563457937017517,52.25,55.84,0:01:39.321388,0:00:06.250699,no,yes
69,1.334,1.215,0.00955052985342498,52.04,56.38,0:01:39.406970,0:00:06.244069,no,yes
70,1.337,1.194,0.009537422122705587,52.35,56.07,0:01:39.188937,0:00:06.217277,no,yes
71,1.335,1.223,0.0095241352623301,52.02,55.96,0:01:39.313010,0:00:06.227050,no,yes
72,1.330,1.169,0.009510669796841016,52.09,57.77,0:01:39.448747,0:00:06.571383,no,yes
73,1.330,1.235,0.009497026257831859,52.28,54.55,0:01:39.171088,0:00:06.228841,no,yes
74,1.332,1.180,0.009483205183926183,51.85,57.36,0:01:38.973212,0:00:06.226851,no,yes
75,1.325,1.191,0.009469207120756322,52.37,56.86,0:01:39.092421,0:00:06.244993,no,yes
76,1.326,1.201,0.009455032620941842,52.44,56.66,0:01:39.066954,0:00:06.221315,no,yes
77,1.327,1.252,0.009440682244067725,52.41,55.34,0:01:39.304738,0:00:06.247404,no,yes
78,1.323,1.176,0.009426156556662279,52.43,57.52,0:01:39.278898,0:00:06.239824,no,yes
79,1.317,1.165,0.00941145613217477,52.66,58.12,0:01:39.320544,0:00:06.533390,no,yes
80,1.320,1.158,0.009396581550952784,52.42,58.20,0:01:39.223748,0:00:06.526592,no,yes
81,1.324,1.171,0.00938153340021932,52.41,58.01,0:01:39.152735,0:00:06.250360,no,yes
82,1.317,1.168,0.009366312274049604,52.67,57.16,0:01:39.288654,0:00:06.245225,no,yes
83,1.321,1.171,0.009350918773347632,52.51,57.46,0:01:39.013410,0:00:06.227734,no,yes
84,1.316,1.182,0.009335353505822454,52.79,57.27,0:01:39.179546,0:00:06.243143,no,yes
85,1.317,1.144,0.00931961708596418,52.38,58.35,0:01:39.285313,0:00:06.548410,no,yes
86,1.315,1.176,0.009303710135019724,52.64,57.82,0:01:39.253370,0:00:06.241380,no,yes
87,1.315,1.208,0.009287633280968268,53.01,56.32,0:01:39.376139,0:00:06.240419,no,yes
88,1.319,1.205,0.009271387158496482,52.69,56.32,0:01:39.359402,0:00:06.242777,no,yes
89,1.321,1.190,0.009254972408973466,52.54,57.37,0:01:39.590855,0:00:06.247966,no,yes
90,1.313,1.184,0.009238389680425422,53.11,57.68,0:01:39.211384,0:00:06.228919,no,yes
91,1.312,1.174,0.00922163962751008,53.02,58.31,0:01:39.228407,0:00:06.245039,no,yes
92,1.310,1.156,0.00920472291149085,53.04,58.39,0:01:39.109179,0:00:06.523447,no,yes
93,1.313,1.234,0.009187640200210713,52.80,55.49,0:01:39.152817,0:00:06.247019,no,yes
94,1.315,1.172,0.00917039216806586,52.85,58.14,0:01:39.239806,0:00:06.241383,no,yes
95,1.308,1.197,0.009152979495979067,52.94,56.52,0:01:39.276761,0:00:06.240761,no,yes
96,1.311,1.208,0.009135402871372813,53.12,56.36,0:01:39.252346,0:00:06.240646,no,yes
97,1.314,1.190,0.009117662988142141,52.88,56.82,0:01:39.298219,0:00:06.247485,no,yes
98,1.308,1.170,0.009099760546627266,52.82,58.11,0:01:39.100781,0:00:06.224101,no,yes
99,1.306,1.266,0.009081696253585923,53.34,55.51,0:01:38.996848,0:00:06.240750,no,yes
100,1.311,1.178,0.009063470822165472,52.75,57.22,0:01:39.202947,0:00:06.227071,no,yes
101,1.305,1.169,0.009045084971874739,52.89,58.15,0:01:38.978541,0:00:06.225081,no,yes
102,1.307,1.198,0.009026539428555611,53.09,56.91,0:01:39.085681,0:00:06.247206,no,yes
103,1.312,1.179,0.009007834924354386,52.83,57.79,0:01:39.371343,0:00:06.283109,no,yes
