epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,1.952,1.260,0.01,31.47,55.91,0:01:38.358536,0:00:06.508801,yes,no
2,1.697,0.973,0.009997532801828659,43.18,67.55,0:01:38.813949,0:00:06.370054,yes,no
3,1.588,0.910,0.00999013364214136,48.22,70.02,0:01:37.540290,0:00:06.367838,yes,no
4,1.499,0.830,0.009977809823015401,51.92,74.31,0:01:37.614539,0:00:06.413933,yes,no
5,1.476,0.719,0.009960573506572392,52.72,78.18,0:01:38.037310,0:00:06.433887,yes,no
6,1.428,0.759,0.00993844170297569,54.90,78.11,0:01:39.796589,0:00:09.210178,yes,no
7,1.382,0.679,0.009911436253643446,56.58,78.82,0:02:27.428786,0:00:09.874969,yes,no
8,1.353,0.684,0.009879583809693738,57.86,81.10,0:02:26.511144,0:00:09.861058,yes,no
9,1.330,0.673,0.009842915805643155,58.79,81.54,0:02:25.934444,0:00:09.828690,yes,no
10,1.328,0.615,0.009801468428384716,59.09,82.62,0:02:24.004510,0:00:09.545424,yes,no
11,1.303,0.669,0.009755282581475767,59.99,80.37,0:02:24.721570,0:00:08.625489,yes,no
12,1.308,0.613,0.009704403844771127,59.45,84.08,0:02:24.024054,0:00:09.551665,yes,no
13,1.285,0.559,0.009648882429441256,60.72,84.30,0:02:23.016794,0:00:09.556671,yes,no
14,1.271,0.634,0.009588773128419903,61.02,84.24,0:02:23.900583,0:00:09.430172,yes,no
15,1.247,0.588,0.009524135262330096,62.13,84.22,0:02:24.864033,0:00:09.077926,yes,no
16,1.267,0.563,0.009455032620941838,60.97,84.89,0:02:24.321813,0:00:09.537558,yes,no
17,1.249,0.534,0.009381533400219317,61.75,86.32,0:02:23.907355,0:00:09.540713,yes,no
18,1.242,0.518,0.009303710135019717,62.08,86.16,0:02:23.870965,0:00:09.439373,yes,no
19,1.230,0.539,0.009221639627510075,62.53,86.03,0:02:24.498283,0:00:09.005170,yes,no
20,1.192,0.541,0.00913540287137281,63.76,85.56,0:02:23.711798,0:00:09.563958,yes,no
21,1.176,0.527,0.009045084971874739,64.41,86.29,0:02:24.157856,0:00:09.417010,yes,no
22,1.189,0.517,0.008950775061878451,63.91,85.49,0:02:23.823092,0:00:09.410701,yes,no
23,1.194,0.480,0.008852566213878947,63.94,87.45,0:02:24.768335,0:00:09.190779,yes,no
24,1.166,0.453,0.008750555348152299,64.85,88.84,0:02:24.141487,0:00:09.544679,yes,no
25,1.176,0.477,0.00864484313710706,64.67,87.72,0:02:23.928075,0:00:09.426699,yes,no
26,1.185,0.457,0.008535533905932738,64.18,88.17,0:02:20.616020,0:00:06.237581,yes,no
27,1.191,0.534,0.008422735529643444,63.93,86.55,0:01:37.328352,0:00:06.235712,yes,no
28,1.174,0.500,0.00830655932661826,64.48,88.55,0:01:37.444795,0:00:06.239507,yes,no
29,1.153,0.434,0.00818711994874345,65.42,88.92,0:01:37.421294,0:00:06.367467,yes,no
30,1.162,0.432,0.008064535268264884,64.91,90.02,0:01:37.315951,0:00:06.382454,yes,no
31,1.156,0.451,0.007938926261462368,65.27,88.65,0:01:37.184922,0:00:06.243227,yes,no
32,1.143,0.471,0.007810416889260655,65.65,88.82,0:01:37.172027,0:00:06.251912,yes,no
33,1.141,0.450,0.0076791339748949845,65.88,90.10,0:01:37.217271,0:00:06.363234,yes,no
34,1.151,0.453,0.007545207078751858,65.13,89.43,0:01:37.305880,0:00:06.256724,yes,no
35,1.108,0.407,0.007408768370508578,66.95,89.83,0:01:37.822102,0:00:06.241007,yes,no
36,1.126,0.430,0.0072699524986977355,66.03,90.38,0:01:37.162097,0:00:06.362792,yes,no
37,1.130,0.456,0.007128896457825365,66.13,89.00,0:01:37.320605,0:00:06.253686,yes,no
38,1.128,0.415,0.006985739453173905,66.01,90.14,0:01:37.104352,0:00:06.236160,yes,no
39,1.102,0.421,0.006840622763423393,67.15,90.66,0:01:37.044976,0:00:06.346279,yes,no
40,1.117,0.427,0.00669368960122646,66.25,90.17,0:01:37.048253,0:00:06.240294,yes,no
41,1.104,0.402,0.00654508497187474,66.71,90.60,0:01:37.049088,0:00:06.241181,yes,no
42,1.087,0.402,0.00639495553019615,67.76,91.30,0:01:37.129849,0:00:06.362996,yes,no
43,1.089,0.423,0.006243449435824276,67.23,89.45,0:01:37.415930,0:00:06.255257,yes,no
44,1.098,0.413,0.006090716206982716,67.09,90.26,0:01:37.380329,0:00:06.264389,yes,no
45,1.089,0.395,0.005936906572928627,67.43,90.72,0:01:37.461402,0:00:06.243726,yes,no
46,1.102,0.420,0.005782172325201158,66.86,91.05,0:01:37.373196,0:00:06.238414,yes,no
47,1.088,0.368,0.0056266661678215256,67.37,91.52,0:01:37.343890,0:00:06.362499,yes,no
48,1.098,0.416,0.005470541566592575,66.84,91.27,0:01:37.445029,0:00:06.265027,yes,no
49,1.069,0.365,0.0053139525976465705,68.08,91.72,0:01:37.100341,0:00:06.336147,yes,no
50,1.076,0.384,0.005157053795390645,67.53,91.36,0:01:36.989640,0:00:06.241046,yes,no
51,1.071,0.366,0.005000000000000004,68.14,92.11,0:01:37.011521,0:00:06.343827,yes,no
52,1.057,0.381,0.004842946204609362,68.63,92.10,0:01:37.360606,0:00:06.357607,yes,no
53,1.075,0.406,0.004686047402353437,67.76,91.33,0:01:37.343542,0:00:06.235729,yes,no
54,1.057,0.359,0.004529458433407432,68.32,92.64,0:01:37.030377,0:00:06.343653,yes,no
55,1.050,0.377,0.0043733338321784825,68.77,91.96,0:01:37.071354,0:00:06.241420,yes,no
56,1.021,0.372,0.004217827674798849,69.53,92.38,0:01:37.062158,0:00:06.237448,yes,no
57,1.029,0.336,0.00406309342707138,69.48,92.19,0:01:37.081010,0:00:06.246701,yes,no
58,1.029,0.381,0.003909283793017292,69.26,91.97,0:01:37.029596,0:00:06.230637,yes,no
59,1.032,0.388,0.0037565505641757287,69.32,92.96,0:01:37.056479,0:00:06.348116,yes,no
60,1.031,0.368,0.0036050444698038572,69.31,92.69,0:01:37.194737,0:00:06.243738,yes,no
61,1.011,0.355,0.003454915028125267,70.00,92.44,0:01:37.470254,0:00:06.268155,yes,no
62,1.025,0.339,0.003306310398773546,69.34,93.23,0:01:37.462060,0:00:06.357757,yes,no
63,1.027,0.342,0.0031593772365766143,69.13,92.95,0:01:37.321064,0:00:06.242716,yes,no
64,1.010,0.321,0.0030142605468260987,69.75,93.24,0:01:37.146940,0:00:06.367879,yes,no
65,1.028,0.341,0.002871103542174639,69.20,92.81,0:01:37.422365,0:00:06.257012,yes,no
66,0.983,0.338,0.002730047501302268,70.94,93.49,0:01:37.416949,0:00:06.344811,yes,no
67,0.998,0.362,0.0025912316294914245,70.23,93.00,0:01:37.234443,0:00:06.236487,yes,no
68,0.988,0.351,0.002454792921248145,70.52,93.78,0:01:37.157579,0:00:06.372972,yes,no
69,1.014,0.356,0.002320866025105017,69.23,93.51,0:01:37.216979,0:00:06.261305,yes,no
70,0.992,0.329,0.002189583110739348,70.17,93.29,0:01:38.087619,0:00:06.267256,yes,no
71,0.978,0.338,0.002061073738537636,70.81,93.87,0:01:37.369694,0:00:06.369585,yes,no
72,0.973,0.327,0.001935464731735118,71.02,93.63,0:01:37.258529,0:00:06.247039,yes,no
73,0.951,0.314,0.0018128800512565522,71.83,93.85,0:01:37.012819,0:00:06.258732,yes,no
74,0.962,0.303,0.0016934406733817423,71.37,94.05,0:01:37.162514,0:00:06.343210,yes,no
75,0.960,0.300,0.0015772644703565572,71.41,94.25,0:01:37.212185,0:00:06.370035,yes,no
76,0.956,0.293,0.0014644660940672635,71.50,94.26,0:01:37.282351,0:00:06.350639,yes,no
77,0.971,0.320,0.001355156862892944,70.69,93.98,0:01:36.979716,0:00:06.243002,yes,no
78,0.965,0.305,0.0012494446518477027,71.11,94.26,0:01:37.136541,0:00:06.239244,yes,no
79,0.943,0.312,0.001147433786121055,71.76,94.15,0:01:37.313564,0:00:06.269172,yes,no
80,0.927,0.292,0.0010492249381215486,72.43,94.10,0:01:37.336619,0:00:06.261709,yes,no
81,0.940,0.303,0.0009549150281252639,71.93,94.33,0:01:37.207171,0:00:06.381388,yes,no
82,0.921,0.285,0.000864597128627192,72.41,94.71,0:01:37.459010,0:00:06.353257,yes,no
83,0.949,0.299,0.0007783603724899262,71.22,94.51,0:01:37.303297,0:00:06.257000,yes,no
84,0.925,0.282,0.0006962898649802817,72.18,94.59,0:01:37.269555,0:00:06.248975,yes,no
85,0.915,0.311,0.0006184665997806825,72.62,94.58,0:01:37.284293,0:00:06.260051,yes,no
86,0.919,0.261,0.0005449673790581614,72.38,94.89,0:01:37.240357,0:00:06.360870,yes,no
87,0.905,0.317,0.0004758647376699035,73.04,94.64,0:01:37.912012,0:00:06.242054,yes,no
88,0.924,0.295,0.0004112268715800957,72.40,94.75,0:01:37.031373,0:00:06.237979,yes,no
89,0.910,0.279,0.0003511175705587435,72.53,95.07,0:01:37.114678,0:00:06.346302,yes,no
90,0.930,0.275,0.00029559615522887296,71.72,94.73,0:01:37.027208,0:00:06.237149,yes,no
91,0.914,0.294,0.0002447174185242325,72.58,94.99,0:01:37.015543,0:00:06.256193,yes,no
92,0.915,0.301,0.00019853157161528535,72.42,94.92,0:01:37.241912,0:00:06.254215,yes,no
93,0.895,0.287,0.00015708419435684528,73.21,94.95,0:01:37.206726,0:00:06.253506,yes,no
94,0.910,0.290,0.00012041619030626346,72.64,95.03,0:01:37.213336,0:00:06.252082,yes,no
95,0.917,0.264,8.856374635655646e-05,72.20,95.09,0:01:37.255557,0:00:06.357272,yes,no
96,0.877,0.269,6.155829702431174e-05,73.80,95.08,0:01:37.431144,0:00:06.237709,yes,no
97,0.906,0.271,3.94264934276112e-05,72.71,95.08,0:01:37.423775,0:00:06.285898,yes,no
98,0.906,0.273,2.2190176984600033e-05,72.47,94.94,0:01:37.285323,0:00:06.284726,yes,no
99,0.903,0.277,9.866357858642211e-06,72.61,95.10,0:01:37.314569,0:00:06.356478,yes,no
100,0.905,0.299,2.4671981713420015e-06,72.72,94.95,0:01:37.244245,0:00:06.266657,yes,no
