epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,1.946,1.287,0.01,31.41,54.82,0:01:37.883578,0:00:06.427046,yes,no
2,1.700,1.013,0.009999383162408303,43.12,66.36,0:01:37.526867,0:00:06.510585,yes,no
3,1.580,1.026,0.009997532801828657,48.71,64.74,0:01:37.183187,0:00:06.238690,yes,no
4,1.495,0.816,0.00999444937480985,52.11,75.31,0:01:37.126141,0:00:06.522961,yes,no
5,1.448,0.804,0.009990133642141357,54.02,75.45,0:01:37.151639,0:00:06.525972,yes,no
6,1.425,0.716,0.009984586668665639,55.08,78.53,0:01:37.148408,0:00:06.521940,yes,no
7,1.380,0.721,0.009977809823015398,56.90,78.70,0:01:37.142123,0:00:06.522382,yes,no
8,1.385,0.736,0.009969804777275897,56.71,78.68,0:01:37.128838,0:00:06.240850,yes,no
9,1.343,0.664,0.009960573506572387,58.46,81.66,0:01:37.181629,0:00:06.526850,yes,no
10,1.333,0.661,0.009950118288582784,58.62,80.53,0:01:37.158150,0:00:06.217318,yes,no
11,1.282,0.621,0.009938441702975684,60.80,83.14,0:01:37.147832,0:00:06.523881,yes,no
12,1.311,0.629,0.009925546630773864,59.56,83.79,0:01:37.242787,0:00:06.500386,yes,no
13,1.287,0.667,0.009911436253643439,60.32,82.20,0:01:37.557354,0:00:06.254480,yes,no
14,1.266,0.575,0.009896114053108824,61.11,82.66,0:01:37.032179,0:00:06.212988,yes,no
15,1.260,0.588,0.009879583809693733,61.32,85.57,0:01:36.843691,0:00:06.506158,yes,no
16,1.246,0.530,0.009861849601988378,62.14,84.85,0:01:36.883911,0:00:06.214058,yes,no
17,1.233,0.552,0.00984291580564315,62.44,86.04,0:01:36.865659,0:00:06.501791,yes,no
18,1.226,0.545,0.009822787092288985,62.65,85.62,0:01:37.066728,0:00:06.216525,yes,no
19,1.239,0.509,0.00980146842838471,62.14,87.01,0:01:36.851845,0:00:06.503295,yes,no
20,1.226,0.497,0.009778965073991645,63.02,87.15,0:01:37.019200,0:00:06.521625,yes,no
21,1.222,0.527,0.009755282581475762,62.68,86.26,0:01:37.139857,0:00:06.236676,yes,no
22,1.189,0.457,0.00973042679413772,64.17,88.62,0:01:37.094451,0:00:06.519458,yes,no
23,1.200,0.490,0.00970440384477112,63.76,87.38,0:01:37.018507,0:00:06.220455,yes,no
24,1.183,0.482,0.00967722015414933,64.54,88.02,0:01:37.096979,0:00:06.231246,yes,no
25,1.205,0.501,0.00964888242944125,63.20,88.66,0:01:37.088413,0:00:06.506228,yes,no
26,1.182,0.552,0.009619397662556426,64.33,85.99,0:01:37.148510,0:00:06.215849,yes,no
27,1.185,0.483,0.009588773128419898,64.10,87.60,0:01:37.157404,0:00:06.226751,yes,no
28,1.155,0.482,0.009557016383177219,65.27,88.03,0:01:37.143630,0:00:06.230793,yes,no
29,1.179,0.457,0.009524135262330091,64.34,88.99,0:01:37.233713,0:00:06.517485,yes,no
30,1.161,0.473,0.009490137878803071,65.03,88.24,0:01:37.582045,0:00:06.233216,yes,no
31,1.165,0.492,0.009455032620941833,64.90,88.67,0:01:37.250973,0:00:06.234511,yes,no
32,1.162,0.466,0.009418828150443462,65.10,89.18,0:01:36.860902,0:00:06.517506,yes,no
33,1.165,0.442,0.009381533400219312,64.86,90.02,0:01:37.031515,0:00:06.503356,yes,no
34,1.141,0.463,0.00934315757219095,65.74,89.78,0:01:36.861812,0:00:06.218289,yes,no
35,1.158,0.413,0.009303710135019712,65.07,90.28,0:01:36.828509,0:00:06.501137,yes,no
36,1.134,0.403,0.009263200821770455,65.64,89.86,0:01:36.826996,0:00:06.219371,yes,no
37,1.134,0.420,0.009221639627510068,66.12,89.90,0:01:36.794072,0:00:06.213383,yes,no
38,1.146,0.472,0.009179036806841345,65.61,89.08,0:01:36.804801,0:00:06.219756,yes,no
39,1.146,0.431,0.009135402871372801,65.64,90.45,0:01:36.788186,0:00:06.500751,yes,no
40,1.121,0.460,0.00909074858712511,66.44,90.26,0:01:36.838165,0:00:06.217008,yes,no
41,1.114,0.411,0.00904508497187473,66.51,89.87,0:01:37.006389,0:00:06.223723,yes,no
42,1.123,0.413,0.008998423292435446,66.30,90.62,0:01:36.945509,0:00:06.515113,yes,no
43,1.135,0.463,0.008950775061878443,66.09,90.19,0:01:37.137677,0:00:06.222576,yes,no
44,1.117,0.418,0.008902152036691641,66.42,90.39,0:01:37.057458,0:00:06.223793,yes,no
45,1.128,0.412,0.008852566213878938,65.92,90.54,0:01:37.192876,0:00:06.222102,yes,no
46,1.130,0.450,0.008802029828000147,65.87,89.91,0:01:37.259744,0:00:06.227143,yes,no
47,1.117,0.422,0.00875055534815229,66.46,89.30,0:01:37.306503,0:00:06.363950,yes,no
48,1.117,0.433,0.008698155474893039,66.54,90.45,0:01:37.267005,0:00:06.218442,yes,no
49,1.128,0.421,0.008644843137107049,66.07,90.45,0:01:37.012087,0:00:06.212248,yes,no
50,1.092,0.411,0.008590631488815935,67.29,90.34,0:01:36.842369,0:00:06.227774,yes,no
51,1.078,0.414,0.008535533905932728,67.95,91.50,0:01:37.126645,0:00:06.509971,yes,no
52,1.098,0.448,0.008479563982961562,67.11,89.28,0:01:37.122086,0:00:06.236339,yes,no
53,1.096,0.393,0.008422735529643434,67.30,91.21,0:01:36.950650,0:00:06.213303,yes,no
54,1.118,0.455,0.008365062567548856,66.33,90.57,0:01:36.790209,0:00:06.214035,yes,no
55,1.108,0.408,0.00830655932661825,66.80,91.18,0:01:36.799216,0:00:06.205589,yes,no
56,1.106,0.462,0.008247240241650909,66.84,90.40,0:01:36.778859,0:00:06.216216,yes,no
57,1.104,0.394,0.00818711994874344,66.86,91.06,0:01:36.775470,0:00:06.209524,yes,no
58,1.080,0.401,0.008126213281678518,68.02,90.93,0:01:36.796335,0:00:06.221933,yes,no
59,1.080,0.440,0.008064535268264873,67.64,90.60,0:01:36.818495,0:00:06.209328,yes,no
60,1.091,0.444,0.008002101126629411,67.29,90.67,0:01:36.813014,0:00:06.218753,yes,no
61,1.085,0.412,0.007938926261462358,67.70,90.99,0:01:36.954260,0:00:06.253021,yes,no
62,1.080,0.404,0.007875026260216385,68.02,91.35,0:01:37.059900,0:00:06.238134,yes,no
63,1.075,0.366,0.007810416889260647,68.04,91.06,0:01:37.137977,0:00:06.251556,yes,no
64,1.087,0.369,0.007745114089990651,67.22,90.72,0:01:37.160850,0:00:06.241441,yes,no
65,1.098,0.388,0.007679133974894975,67.08,91.11,0:01:37.450307,0:00:06.215947,yes,no
66,1.087,0.402,0.007612492823579737,67.30,91.22,0:01:37.143139,0:00:06.235982,yes,no
67,1.077,0.393,0.00754520707875185,67.46,91.26,0:01:37.103492,0:00:06.229164,yes,no
68,1.076,0.427,0.007477293342162032,68.00,90.52,0:01:37.077879,0:00:06.236614,yes,no
69,1.105,0.420,0.00740876837050857,66.40,91.35,0:01:36.985848,0:00:06.238298,yes,no
70,1.052,0.381,0.007339649071302861,68.86,92.39,0:01:36.952458,0:00:06.506740,yes,no
71,1.059,0.378,0.007269952498697728,68.45,91.71,0:01:36.910581,0:00:06.219559,yes,no
72,1.077,0.409,0.007199695849279568,67.73,91.85,0:01:36.897181,0:00:06.221040,yes,no
73,1.059,0.397,0.0071288964578253575,68.01,91.19,0:01:36.958187,0:00:06.211787,yes,no
74,1.045,0.358,0.007057571793025539,69.08,92.10,0:01:36.871210,0:00:06.224333,yes,no
75,1.074,0.376,0.006985739453173897,67.82,91.93,0:01:37.165864,0:00:06.235124,yes,no
76,1.058,0.367,0.006913417161825444,68.33,92.02,0:01:37.038436,0:00:06.212187,yes,no
77,1.047,0.336,0.0068406227634233855,68.85,91.84,0:01:36.851787,0:00:06.236720,yes,no
78,1.070,0.428,0.006767374218896281,67.96,91.43,0:01:37.101939,0:00:06.211289,yes,no
79,1.055,0.352,0.006693689601226453,68.24,92.48,0:01:37.382187,0:00:06.525639,yes,no
80,1.071,0.387,0.006619587090990743,67.68,92.48,0:01:37.616043,0:00:06.239792,yes,no
81,1.058,0.358,0.006545084971874733,68.37,92.46,0:01:37.337971,0:00:06.250851,yes,no
82,1.039,0.390,0.006470201626161516,69.00,91.41,0:01:37.640769,0:00:06.245314,yes,no
83,1.049,0.382,0.006394955530196143,68.55,92.08,0:01:37.194443,0:00:06.244800,yes,no
84,1.052,0.361,0.00631936524982686,68.41,92.01,0:01:36.974955,0:00:06.218202,yes,no
85,1.062,0.400,0.00624344943582427,68.15,92.19,0:01:36.896640,0:00:06.223048,yes,no
86,1.048,0.428,0.006167226819279525,68.72,90.75,0:01:36.878435,0:00:06.218103,yes,no
87,1.079,0.392,0.006090716206982711,67.31,91.82,0:01:36.850560,0:00:06.215022,yes,no
88,1.037,0.354,0.006013936476782561,68.89,93.13,0:01:36.849034,0:00:06.499727,yes,no
89,1.043,0.358,0.005936906572928622,68.51,92.60,0:01:36.898559,0:00:06.213867,yes,no
90,1.030,0.338,0.005859645501397045,69.21,92.74,0:01:36.808489,0:00:06.217939,yes,no
91,1.042,0.374,0.005782172325201152,68.68,92.54,0:01:37.026145,0:00:06.228188,yes,no
92,1.022,0.346,0.005704506159687911,69.47,92.81,0:01:37.077657,0:00:06.236410,yes,no
93,1.035,0.338,0.0056266661678215195,68.81,92.76,0:01:37.103475,0:00:06.233681,yes,no
94,1.046,0.367,0.005548671555455224,68.61,92.25,0:01:37.086977,0:00:06.240870,yes,no
95,1.034,0.346,0.0054705415665925695,68.87,93.17,0:01:37.088834,0:00:06.520240,yes,no
