epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.546,16.630,0.05,14.38,11.93,0:01:41.013675,0:00:06.438431,yes,no
2,2.286,3.254,0.04999691581204152,16.79,12.48,0:01:37.866772,0:00:06.442446,yes,no
3,2.192,3.405,0.04998766400914329,18.53,19.20,0:01:38.350506,0:00:06.585302,yes,no
4,2.129,2.174,0.049972246874049255,20.84,21.02,0:01:44.366754,0:00:06.534214,yes,no
5,2.106,3.104,0.049950668210706796,21.58,20.79,0:02:34.849504,0:00:06.371497,yes,no
