epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,4.520,1.801,0.01,23.51,34.61,0:01:40.542436,0:00:06.447165,no,yes
2,1.782,1.711,0.009997532801828659,34.24,38.95,0:01:40.090670,0:00:06.450637,no,yes
3,1.738,1.613,0.00999013364214136,35.52,41.25,0:01:40.030964,0:00:06.428568,no,yes
4,1.715,1.660,0.009977809823015401,36.50,40.37,0:01:40.147625,0:00:06.323299,no,yes
5,1.695,1.631,0.009960573506572392,37.22,41.20,0:01:39.967518,0:00:06.312476,no,yes
6,1.679,1.597,0.00993844170297569,37.84,42.04,0:01:39.982575,0:00:06.447528,no,yes
7,1.663,1.563,0.009911436253643446,38.37,43.13,0:01:40.010499,0:00:06.464141,no,yes
8,1.651,1.539,0.009879583809693738,38.99,43.10,0:01:40.036426,0:00:06.327267,no,yes
9,1.635,1.539,0.009842915805643155,39.77,43.29,0:01:40.014816,0:00:06.442034,no,yes
10,1.618,1.517,0.009801468428384716,40.44,43.95,0:01:39.945337,0:00:06.423921,no,yes
11,1.607,1.541,0.009755282581475767,40.97,44.02,0:01:39.888013,0:00:06.446624,no,yes
12,1.601,1.530,0.009704403844771127,41.21,44.66,0:01:40.321794,0:00:06.428352,no,yes
13,1.591,1.481,0.009648882429441256,41.73,46.32,0:01:39.778856,0:00:06.433685,no,yes
14,1.575,1.482,0.009588773128419903,42.29,45.74,0:01:39.778753,0:00:06.315501,no,yes
15,1.566,1.500,0.009524135262330096,42.64,45.52,0:01:39.820266,0:00:06.339341,no,yes
16,1.552,1.442,0.009455032620941838,43.47,47.55,0:01:39.946547,0:00:06.437356,no,yes
17,1.541,1.447,0.009381533400219317,43.81,46.97,0:01:39.665217,0:00:06.312474,no,yes
18,1.535,1.406,0.009303710135019717,44.21,48.42,0:01:39.713911,0:00:06.359962,no,yes
19,1.520,1.491,0.009221639627510075,44.58,45.41,0:01:39.519433,0:00:06.275705,no,yes
20,1.513,1.385,0.00913540287137281,44.93,49.56,0:01:39.643897,0:00:06.387151,no,yes
21,1.500,1.350,0.009045084971874739,45.40,50.90,0:01:39.722679,0:00:06.372653,no,yes
22,1.493,1.345,0.008950775061878451,45.59,50.92,0:01:39.859459,0:00:06.378587,no,yes
23,1.484,1.353,0.008852566213878947,46.11,50.30,0:01:39.674396,0:00:06.309899,no,yes
24,1.475,1.377,0.008750555348152299,46.53,50.28,0:01:39.628912,0:00:06.264465,no,yes
25,1.470,1.347,0.00864484313710706,46.81,51.53,0:01:39.622392,0:00:06.357894,no,yes
26,1.461,1.354,0.008535533905932738,47.17,50.99,0:01:39.579083,0:00:06.276192,no,yes
27,1.452,1.347,0.008422735529643444,47.48,52.45,0:01:39.496295,0:00:06.369123,no,yes
28,1.442,1.312,0.00830655932661826,47.89,52.81,0:01:39.621146,0:00:06.371878,no,yes
29,1.438,1.308,0.00818711994874345,47.82,52.66,0:01:40.033306,0:00:06.258864,no,yes
30,1.430,1.333,0.008064535268264884,48.45,51.79,0:01:39.400690,0:00:06.254126,no,yes
31,1.422,1.289,0.007938926261462368,48.77,53.61,0:01:39.522500,0:00:06.383996,no,yes
32,1.411,1.306,0.007810416889260655,49.11,52.89,0:01:39.672065,0:00:06.280725,no,yes
33,1.408,1.282,0.0076791339748949845,49.27,53.58,0:01:39.696040,0:00:06.272956,no,yes
34,1.397,1.336,0.007545207078751858,49.55,51.84,0:01:39.703861,0:00:06.273859,no,yes
35,1.398,1.261,0.007408768370508578,49.49,54.93,0:01:39.726903,0:00:06.381635,no,yes
36,1.388,1.238,0.0072699524986977355,50.17,55.61,0:01:39.554244,0:00:06.390034,no,yes
37,1.380,1.284,0.007128896457825365,50.57,54.15,0:01:39.593553,0:00:06.275888,no,yes
38,1.373,1.281,0.006985739453173905,50.79,53.52,0:01:39.722471,0:00:06.273402,no,yes
39,1.370,1.236,0.006840622763423393,50.70,54.97,0:01:39.753172,0:00:06.280500,no,yes
40,1.366,1.235,0.00669368960122646,50.79,55.42,0:01:39.784047,0:00:06.301969,no,yes
41,1.362,1.244,0.00654508497187474,51.27,55.35,0:01:39.778173,0:00:06.278420,no,yes
42,1.351,1.242,0.00639495553019615,51.31,55.61,0:01:39.716012,0:00:06.270679,no,yes
43,1.351,1.220,0.006243449435824276,51.44,56.41,0:01:39.386631,0:00:06.354313,no,yes
44,1.341,1.226,0.006090716206982716,51.60,56.37,0:01:39.366745,0:00:06.246964,no,yes
45,1.337,1.193,0.005936906572928627,51.91,56.75,0:01:39.317430,0:00:06.352160,no,yes
46,1.331,1.230,0.005782172325201158,52.32,54.98,0:01:39.993815,0:00:06.250567,no,yes
47,1.326,1.224,0.0056266661678215256,52.55,55.41,0:01:39.372335,0:00:06.253584,no,yes
48,1.318,1.208,0.005470541566592575,52.59,56.25,0:01:39.406741,0:00:06.259916,no,yes
49,1.319,1.196,0.0053139525976465705,52.81,56.42,0:01:39.649376,0:00:06.257535,no,yes
50,1.309,1.199,0.005157053795390645,52.94,56.27,0:01:39.635829,0:00:06.265782,no,yes
51,1.305,1.193,0.005000000000000004,53.35,57.29,0:01:39.640853,0:00:06.378396,no,yes
52,1.304,1.193,0.004842946204609362,53.01,57.00,0:01:39.595815,0:00:06.265615,no,yes
53,1.304,1.157,0.004686047402353437,53.24,58.55,0:01:39.631522,0:00:06.378840,no,yes
54,1.298,1.188,0.004529458433407432,53.32,57.09,0:01:39.621897,0:00:06.277405,no,yes
55,1.294,1.146,0.0043733338321784825,53.62,58.61,0:01:39.628567,0:00:06.358853,no,yes
56,1.292,1.139,0.004217827674798849,53.90,58.77,0:01:39.619439,0:00:06.356871,no,yes
57,1.282,1.148,0.00406309342707138,53.97,58.55,0:01:39.598438,0:00:06.312527,no,yes
58,1.283,1.143,0.003909283793017292,54.01,58.97,0:01:39.557628,0:00:06.370318,no,yes
59,1.287,1.146,0.0037565505641757287,53.82,58.40,0:01:39.559728,0:00:06.272326,no,yes
60,1.281,1.153,0.0036050444698038572,54.32,58.44,0:01:39.459389,0:00:06.271979,no,yes
61,1.281,1.140,0.003454915028125267,53.88,58.57,0:01:39.329355,0:00:06.249252,no,yes
62,1.270,1.140,0.003306310398773546,54.78,59.00,0:01:39.315372,0:00:06.368226,no,yes
63,1.264,1.139,0.0031593772365766143,54.74,59.41,0:01:39.956244,0:00:06.361633,no,yes
64,1.266,1.134,0.0030142605468260987,54.56,59.08,0:01:39.323692,0:00:06.261401,no,yes
65,1.263,1.131,0.002871103542174639,54.85,59.05,0:01:39.354495,0:00:06.256538,no,yes
66,1.257,1.113,0.002730047501302268,54.89,60.03,0:01:39.332945,0:00:06.363127,no,yes
67,1.254,1.117,0.0025912316294914245,55.06,59.59,0:01:39.370303,0:00:06.252448,no,yes
68,1.256,1.114,0.002454792921248145,55.15,59.86,0:01:39.305693,0:00:06.247713,no,yes
69,1.253,1.116,0.002320866025105017,55.03,59.74,0:01:39.487545,0:00:06.275935,no,yes
70,1.254,1.138,0.002189583110739348,55.31,59.25,0:01:39.656930,0:00:06.253339,no,yes
71,1.244,1.103,0.002061073738537636,55.67,60.40,0:01:39.537135,0:00:06.384954,no,yes
72,1.241,1.110,0.001935464731735118,55.65,60.25,0:01:39.677339,0:00:06.252421,no,yes
73,1.243,1.092,0.0018128800512565522,55.60,60.69,0:01:39.570167,0:00:06.358959,no,yes
74,1.239,1.132,0.0016934406733817423,55.87,59.53,0:01:39.767049,0:00:06.308628,no,yes
75,1.236,1.099,0.0015772644703565572,55.94,60.34,0:01:39.744144,0:00:06.258610,no,yes
76,1.234,1.097,0.0014644660940672635,55.86,60.42,0:01:39.558084,0:00:06.252046,no,yes
77,1.228,1.101,0.001355156862892944,56.11,60.56,0:01:39.347599,0:00:06.256777,no,yes
78,1.227,1.104,0.0012494446518477027,56.10,60.10,0:01:39.324206,0:00:06.246139,no,yes
79,1.227,1.090,0.001147433786121055,56.32,60.97,0:01:39.303658,0:00:06.372552,no,yes
80,1.220,1.089,0.0010492249381215486,56.41,61.14,0:01:40.134539,0:00:06.380262,no,yes
81,1.224,1.077,0.0009549150281252639,56.11,61.45,0:01:39.315152,0:00:06.363191,no,yes
82,1.218,1.087,0.000864597128627192,56.37,61.32,0:01:39.349531,0:00:06.248586,no,yes
83,1.217,1.084,0.0007783603724899262,56.71,60.89,0:01:39.370048,0:00:06.249499,no,yes
84,1.216,1.090,0.0006962898649802817,56.81,60.88,0:01:39.358042,0:00:06.252239,no,yes
85,1.209,1.080,0.0006184665997806825,56.71,61.61,0:01:39.394366,0:00:06.365094,no,yes
86,1.212,1.076,0.0005449673790581614,56.78,61.32,0:01:39.541651,0:00:06.269755,no,yes
87,1.206,1.073,0.0004758647376699035,56.97,61.73,0:01:39.647156,0:00:06.371574,no,yes
88,1.208,1.072,0.0004112268715800957,56.91,61.77,0:01:39.676552,0:00:06.371023,no,yes
89,1.205,1.069,0.0003511175705587435,56.92,61.93,0:01:39.907939,0:00:06.390969,no,yes
90,1.207,1.068,0.00029559615522887296,56.83,61.84,0:01:40.065286,0:00:06.254503,no,yes
91,1.200,1.066,0.0002447174185242325,57.32,62.15,0:01:39.772911,0:00:06.419228,no,yes
92,1.199,1.065,0.00019853157161528535,57.26,62.05,0:01:39.834873,0:00:06.272877,no,yes
93,1.200,1.071,0.00015708419435684528,57.33,61.96,0:01:39.565252,0:00:06.272231,no,yes
94,1.198,1.064,0.00012041619030626346,57.30,62.14,0:01:39.569835,0:00:06.266143,no,yes
95,1.196,1.064,8.856374635655646e-05,57.31,62.36,0:01:39.470255,0:00:06.354540,no,yes
