epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,1.952,1.386,0.01,31.03,52.84,0:01:37.760208,0:00:06.412788,yes,no
2,1.711,1.081,0.009999383162408303,42.14,62.82,0:01:37.312767,0:00:06.339386,yes,no
3,1.580,1.039,0.009997532801828657,48.46,66.16,0:01:37.089140,0:00:06.334966,yes,no
4,1.516,0.934,0.00999444937480985,51.48,68.79,0:01:37.130652,0:00:06.333629,yes,no
5,1.464,0.834,0.009990133642141357,53.60,75.28,0:01:37.157854,0:00:06.344722,yes,no
6,1.413,0.749,0.009984586668665639,55.66,76.79,0:01:37.953749,0:00:06.357027,yes,no
7,1.398,0.713,0.009977809823015398,56.25,79.73,0:01:37.396663,0:00:06.364260,yes,no
8,1.345,0.661,0.009969804777275897,58.23,80.65,0:01:37.472961,0:00:06.348103,yes,no
9,1.355,0.741,0.009960573506572387,57.90,76.97,0:01:37.408520,0:00:06.224926,yes,no
10,1.333,0.714,0.009950118288582784,58.79,79.28,0:01:37.385160,0:00:06.226104,yes,no
11,1.304,0.613,0.009938441702975684,59.87,81.86,0:01:37.375820,0:00:06.369975,yes,no
12,1.310,0.577,0.009925546630773864,59.68,83.21,0:01:37.157409,0:00:06.331512,yes,no
13,1.270,0.628,0.009911436253643439,61.14,82.58,0:01:37.095533,0:00:06.231777,yes,no
14,1.269,0.663,0.009896114053108824,61.15,82.52,0:01:37.060893,0:00:06.232666,yes,no
15,1.267,0.537,0.009879583809693733,61.29,85.07,0:01:37.064779,0:00:06.335864,yes,no
16,1.270,0.534,0.009861849601988378,61.16,84.52,0:01:37.084364,0:00:06.225057,yes,no
17,1.265,0.516,0.00984291580564315,61.26,85.76,0:01:37.121348,0:00:06.325677,yes,no
18,1.231,0.572,0.009822787092288985,62.66,86.12,0:01:37.150353,0:00:06.351338,yes,no
19,1.220,0.504,0.00980146842838471,63.07,86.84,0:01:37.349673,0:00:06.345483,yes,no
20,1.209,0.537,0.009778965073991645,63.47,85.50,0:01:37.378308,0:00:06.249038,yes,no
21,1.211,0.529,0.009755282581475762,63.39,85.42,0:01:37.382075,0:00:06.244542,yes,no
22,1.227,0.507,0.00973042679413772,62.65,87.06,0:01:37.343046,0:00:06.346258,yes,no
23,1.192,0.495,0.00970440384477112,64.07,87.74,0:01:37.895492,0:00:06.333449,yes,no
24,1.210,0.484,0.00967722015414933,63.39,87.37,0:01:37.307046,0:00:06.251985,yes,no
25,1.201,0.518,0.00964888242944125,63.52,86.79,0:01:37.409493,0:00:06.233381,yes,no
26,1.180,0.498,0.009619397662556426,64.46,88.11,0:01:37.285548,0:00:06.335727,yes,no
27,1.169,0.496,0.009588773128419898,64.91,87.47,0:01:37.467259,0:00:06.228996,yes,no
28,1.170,0.482,0.009557016383177219,64.73,87.92,0:01:37.361188,0:00:06.235534,yes,no
29,1.202,0.485,0.009524135262330091,63.27,89.07,0:01:37.323842,0:00:06.346414,yes,no
30,1.190,0.536,0.009490137878803071,64.12,87.93,0:01:37.382459,0:00:06.237746,yes,no
31,1.182,0.488,0.009455032620941833,64.47,88.22,0:01:37.359195,0:00:06.240163,yes,no
32,1.142,0.432,0.009418828150443462,65.87,89.35,0:01:37.306063,0:00:06.345734,yes,no
33,1.149,0.436,0.009381533400219312,65.55,89.66,0:01:37.319530,0:00:06.345582,yes,no
34,1.171,0.449,0.00934315757219095,64.63,88.56,0:01:37.159977,0:00:06.226364,yes,no
35,1.144,0.376,0.009303710135019712,65.71,90.22,0:01:37.164182,0:00:06.329125,yes,no
36,1.144,0.476,0.009263200821770455,65.59,88.28,0:01:37.097526,0:00:06.220848,yes,no
37,1.157,0.459,0.009221639627510068,65.12,89.03,0:01:37.077537,0:00:06.228922,yes,no
38,1.137,0.419,0.009179036806841345,66.00,89.90,0:01:37.077994,0:00:06.226866,yes,no
39,1.129,0.397,0.009135402871372801,66.09,89.83,0:01:37.251035,0:00:06.245844,yes,no
40,1.147,0.506,0.00909074858712511,65.49,88.66,0:01:37.771276,0:00:06.348754,yes,no
41,1.131,0.421,0.00904508497187473,66.09,90.41,0:01:37.427611,0:00:06.401173,yes,no
42,1.130,0.376,0.008998423292435446,66.10,90.30,0:01:37.403776,0:00:06.253622,yes,no
43,1.101,0.363,0.008950775061878443,67.03,91.28,0:01:37.434019,0:00:06.350325,yes,no
44,1.132,0.426,0.008902152036691641,66.03,89.96,0:01:37.316680,0:00:06.219855,yes,no
45,1.098,0.424,0.008852566213878938,67.04,89.67,0:01:37.435509,0:00:06.239961,yes,no
46,1.115,0.426,0.008802029828000147,66.54,90.33,0:01:37.322113,0:00:06.222302,yes,no
47,1.091,0.397,0.00875055534815229,67.49,90.39,0:01:37.182996,0:00:06.221809,yes,no
48,1.139,0.436,0.008698155474893039,65.54,90.26,0:01:37.231275,0:00:06.242421,yes,no
49,1.120,0.429,0.008644843137107049,66.06,90.89,0:01:37.170361,0:00:06.221950,yes,no
50,1.133,0.410,0.008590631488815935,65.89,90.53,0:01:37.250467,0:00:06.220728,yes,no
51,1.117,0.430,0.008535533905932728,66.23,90.18,0:01:37.054556,0:00:06.221628,yes,no
52,1.113,0.438,0.008479563982961562,66.50,89.88,0:01:37.059999,0:00:06.228651,yes,no
